function,seed,div_ev,bank_ev,base_best_f,var_best_f,base_succ_ev,var_succ_ev,n_fire,same
F17-SchafferF7,20,4773,4031,1.770310120718932e-09,1.770310120718932e-09,-1,-1,29,True
F17-SchafferF7,21,3790,2148,4.618527782440651e-14,4.618527782440651e-14,1188,1188,55,True
F17-SchafferF7,22,4419,3473,8.608225243733614e-12,8.608225243733614e-12,2277,2277,50,True
F17-SchafferF7,23,3470,2529,7.698375270592805e-11,3.552713678800501e-15,1673,1673,43,False
F17-SchafferF7,24,-1,1125,2.8777666241097677e-05,2.8777666241097677e-05,-1,-1,0,True
F17-SchafferF7,25,3895,2254,3.552713678800501e-15,3.552713678800501e-15,1469,1469,56,True
F17-SchafferF7,26,3925,2283,3.552713678800501e-15,3.552713678800501e-15,1684,1684,60,True
F17-SchafferF7,27,4245,2749,1.629093304700291e-09,7.706901783421927e-11,-1,4929,69,False
F17-SchafferF7,28,3955,2313,3.552713678800501e-15,3.552713678800501e-15,1634,1634,51,True
F17-SchafferF7,29,3865,2224,3.552713678800501e-15,3.552713678800501e-15,1714,1714,54,True
F17-SchafferF7,30,4075,2434,3.552713678800501e-15,3.552713678800501e-15,1644,1644,57,True
F17-SchafferF7,31,3830,2188,3.552713678800501e-15,3.552713678800501e-15,1629,1629,68,True
F17-SchafferF7,32,4660,2279,3.552713678800501e-15,3.552713678800501e-15,1623,1623,35,True
F17-SchafferF7,33,3805,2164,3.552713678800501e-15,3.552713678800501e-15,1599,1599,53,True
F17-SchafferF7,34,3950,2308,3.552713678800501e-15,3.552713678800501e-15,1443,1443,60,True
F17-SchafferF7,35,4000,2358,3.552713678800501e-15,3.552713678800501e-15,1604,1604,55,True
F17-SchafferF7,36,3960,2318,3.552713678800501e-15,3.552713678800501e-15,1589,1589,54,True
F17-SchafferF7,37,4420,2778,3.552713678800501e-15,3.552713678800501e-15,2144,2144,49,True
F17-SchafferF7,38,-1,1964,2.12878106253811e-08,2.12878106253811e-08,-1,-1,4,True
F17-SchafferF7,39,3870,2228,3.552713678800501e-15,3.552713678800501e-15,1559,1559,77,True
F17-SchafferF7,40,3980,2338,3.552713678800501e-15,3.552713678800501e-15,1619,1619,63,True
F17-SchafferF7,41,3790,2148,3.552713678800501e-15,3.552713678800501e-15,1553,1553,66,True
F17-SchafferF7,42,3955,2313,3.552713678800501e-15,3.552713678800501e-15,1544,1544,50,True
F17-SchafferF7,43,3865,2404,2.5224267119483557e-13,6.750155989720952e-14,1563,1563,63,False
F17-SchafferF7,44,-1,792,2.877766758757616e-05,2.877766758757616e-05,-1,-1,0,True
F17-SchafferF7,45,3565,2654,2.3913315772006172e-11,3.552713678800501e-15,1629,1629,50,False
F17-SchafferF7,46,3260,2498,1.0245852166690383e-08,3.552713678800501e-15,-1,3929,48,False
F17-SchafferF7,47,3680,2934,1.0291678620433231e-09,7.105427357601002e-15,-1,4408,39,False
F17-SchafferF7,48,4025,2384,3.552713678800501e-15,3.552713678800501e-15,1729,1729,51,True
F17-SchafferF7,49,3895,2253,3.552713678800501e-15,3.552713678800501e-15,1619,1619,50,True
F17-SchafferF7,50,-1,846,2.8777686395642377e-05,2.8777686395642377e-05,-1,-1,0,True
F17-SchafferF7,51,-1,911,2.8791840993136475e-05,2.8791840993136475e-05,-1,-1,0,True
F17-SchafferF7,52,3640,2888,4.241353934730796e-09,1.2053433806613612e-09,-1,-1,50,False
F17-SchafferF7,53,3765,2123,3.552713678800501e-15,3.552713678800501e-15,1533,1533,61,True
