function,seed,div_ev,bank_ev,base_best_f,var_best_f,base_succ_ev,var_succ_ev,n_fire,same
F01-Sphere,0,2975,1619,0.0,0.0,1363,1363,88,True
F01-Sphere,1,2160,907,0.0,0.0,717,717,106,True
F01-Sphere,2,2265,836,0.0,0.0,596,596,91,True
F01-Sphere,3,2885,1641,0.0,0.0,656,656,64,True
F01-Sphere,4,2615,1368,0.0,0.0,616,616,91,True
F01-Sphere,5,2215,976,0.0,0.0,737,737,84,True
F01-Sphere,6,2110,886,0.0,0.0,681,681,102,True
F01-Sphere,7,2140,816,0.0,0.0,667,667,110,True
F01-Sphere,8,2190,966,0.0,0.0,652,652,91,True
F01-Sphere,9,2410,1189,0.0,0.0,566,566,91,True
F01-Sphere,10,2195,929,0.0,0.0,706,706,93,True
F01-Sphere,11,2195,897,0.0,0.0,651,651,108,True
F01-Sphere,12,2170,906,0.0,0.0,616,616,96,True
F01-Sphere,13,2145,922,0.0,0.0,567,567,90,True
F01-Sphere,14,2315,1012,0.0,0.0,642,642,102,True
F01-Sphere,15,2165,893,0.0,0.0,536,536,103,True
F01-Sphere,16,2245,971,0.0,0.0,672,672,104,True
F01-Sphere,17,2250,1006,0.0,0.0,652,652,88,True
F01-Sphere,18,2185,812,0.0,0.0,572,572,88,True
F01-Sphere,19,2265,1041,0.0,0.0,651,651,108,True
F05-LinearSlope,0,1495,222,0.0,0.0,222,222,109,True
F05-LinearSlope,1,1375,151,0.0,0.0,151,151,107,True
F05-LinearSlope,2,1630,407,0.0,0.0,407,407,126,True
F05-LinearSlope,3,1620,396,0.0,0.0,396,396,133,True
F05-LinearSlope,4,1970,746,0.0,0.0,746,746,83,True
F05-LinearSlope,5,1565,341,0.0,0.0,341,341,91,True
F05-LinearSlope,6,1520,296,0.0,0.0,296,296,114,True
F05-LinearSlope,7,1645,421,0.0,0.0,421,421,100,True
F05-LinearSlope,8,1565,342,0.0,0.0,342,342,117,True
F05-LinearSlope,9,1555,332,0.0,0.0,332,332,112,True
F05-LinearSlope,10,1690,466,0.0,0.0,466,466,105,True
F05-LinearSlope,11,1845,620,0.0,0.0,620,620,96,True
F05-LinearSlope,12,1520,297,0.0,0.0,297,297,140,True
F05-LinearSlope,13,1640,415,0.0,0.0,415,415,101,True
F05-LinearSlope,14,1560,336,0.0,0.0,336,336,118,True
F05-LinearSlope,15,1565,331,0.0,0.0,331,331,98,True
F05-LinearSlope,16,1860,638,0.0,0.0,638,638,101,True
F05-LinearSlope,17,1445,220,0.0,0.0,220,220,91,True
F05-LinearSlope,18,2215,990,0.0,0.0,990,990,99,True
F05-LinearSlope,19,1495,272,0.0,0.0,272,272,123,True
F09-RosenbrockRot,0,2630,1353,0.0,0.0,1092,1092,75,True
F09-RosenbrockRot,1,2645,1283,0.0,0.0,768,768,102,True
F09-RosenbrockRot,2,2425,1194,0.0,0.0,732,732,80,True
F09-RosenbrockRot,3,2570,1289,0.0,0.0,878,878,78,True
F09-RosenbrockRot,4,2665,1348,0.0,0.0,954,954,107,True
F09-RosenbrockRot,5,2460,1126,0.0,0.0,747,747,105,True
F09-RosenbrockRot,6,2470,1244,0.0,0.0,934,934,90,True
F09-RosenbrockRot,7,2485,1242,0.0,0.0,807,807,93,True
F09-RosenbrockRot,8,2970,1328,0.0,0.0,802,802,136,True
F09-RosenbrockRot,9,2595,1199,0.0,0.0,803,803,116,True
F09-RosenbrockRot,10,2545,1201,0.0,0.0,812,812,84,True
F09-RosenbrockRot,11,2545,1193,0.0,0.0,712,712,96,True
F09-RosenbrockRot,12,2920,1591,0.0,0.0,1192,1192,66,True
F09-RosenbrockRot,13,2450,1158,0.0,0.0,837,837,92,True
F09-RosenbrockRot,14,2570,1203,0.0,0.0,923,923,118,True
F09-RosenbrockRot,15,2705,1319,0.0,0.0,893,893,130,True
F09-RosenbrockRot,16,2745,1398,0.0,0.0,902,902,81,True
F09-RosenbrockRot,17,2405,1092,0.0,0.0,821,821,110,True
F09-RosenbrockRot,18,2695,1302,0.0,0.0,952,952,88,True
F09-RosenbrockRot,19,2845,1434,0.0,0.0,1072,1072,88,True
F13-SharpRidge,0,-1,3739,0.0,0.0,1839,1839,21,True
F13-SharpRidge,1,4590,3099,0.0,0.0,1309,1309,29,True
F13-SharpRidge,2,4940,3373,0.0,0.0,1798,1798,17,True
F13-SharpRidge,3,4770,3278,0.0,0.0,1568,1568,19,True
F13-SharpRidge,4,-1,3703,0.0,0.0,1973,1973,19,True
F13-SharpRidge,5,-1,3493,0.0,0.0,1723,1723,25,True
F13-SharpRidge,6,-1,3724,0.0,0.0,1594,1594,12,True
F13-SharpRidge,7,4715,3309,0.0,0.0,1758,1758,28,True
F13-SharpRidge,8,4915,3339,0.0,0.0,1948,1948,29,True
F13-SharpRidge,9,4825,3294,0.0,0.0,1644,1644,23,True
F13-SharpRidge,10,-1,3963,0.0,0.0,1708,1708,5,True
F13-SharpRidge,11,4670,3279,0.0,0.0,1928,1928,26,True
F13-SharpRidge,12,-1,3524,0.0,0.0,1819,1819,18,True
F13-SharpRidge,13,4485,3094,0.0,0.0,1989,1989,24,True
F13-SharpRidge,14,4890,3248,0.0,0.0,1849,1849,39,True
F13-SharpRidge,15,-1,3528,0.0,0.0,1838,1838,19,True
F13-SharpRidge,16,4615,3024,0.0,0.0,1533,1533,29,True
F13-SharpRidge,17,4745,3189,0.0,0.0,1558,1558,27,True
F13-SharpRidge,18,4765,3353,0.0,0.0,1968,1968,22,True
F13-SharpRidge,19,4915,3364,0.0,0.0,2019,2019,25,True
F17-SchafferF7,0,3990,2348,3.552713678800501e-15,3.552713678800501e-15,1674,1674,56,True
F17-SchafferF7,1,-1,990,2.8777666198465113e-05,2.8777666198465113e-05,-1,-1,0,True
F17-SchafferF7,2,-1,918,2.87776661949124e-05,2.87776661949124e-05,-1,-1,0,True
F17-SchafferF7,3,4135,2494,3.552713678800501e-15,3.552713678800501e-15,1848,1848,60,True
F17-SchafferF7,4,-1,1143,2.8777732861584582e-05,2.8777732861584582e-05,-1,-1,0,True
F17-SchafferF7,5,3735,2963,4.92034146759579e-09,4.263256414560601e-14,-1,4463,33,False
F17-SchafferF7,6,4000,2359,3.552713678800501e-15,3.552713678800501e-15,1629,1629,49,True
F17-SchafferF7,7,4020,2378,3.552713678800501e-15,3.552713678800501e-15,1699,1699,49,True
F17-SchafferF7,8,4125,2484,1.2434497875801753e-13,1.2434497875801753e-13,1764,1764,43,True
F17-SchafferF7,9,-1,4995,2.1724844145865063e-11,2.1724844145865063e-11,4790,4790,1,True
F17-SchafferF7,10,3400,2234,7.765876830490015e-11,7.44684314213373e-11,1644,1644,57,False
F17-SchafferF7,11,-1,4985,1.823038620329953e-05,1.823038620329953e-05,-1,-1,0,True
F17-SchafferF7,12,3750,2569,4.391154106997419e-12,4.391154106997419e-12,1633,1633,53,True
F17-SchafferF7,13,3690,2928,2.902424967032857e-10,1.7763568394002505e-14,-1,4524,46,False
F17-SchafferF7,14,3775,3013,9.312373094871873e-11,2.7640112421067897e-12,2119,2119,54,False
F17-SchafferF7,15,3785,2203,3.552713678800501e-15,3.552713678800501e-15,1503,1503,51,True
F17-SchafferF7,16,3945,2584,3.410605131648481e-13,3.410605131648481e-13,1654,1654,40,True
F17-SchafferF7,17,3665,2878,1.7434892640721955e-08,7.105427357601002e-15,-1,4354,39,False
F17-SchafferF7,18,3940,2318,3.552713678800501e-15,3.552713678800501e-15,1564,1564,56,True
F17-SchafferF7,19,-1,4924,1.6727597085264279e-10,1.6727597085264279e-10,-1,-1,2,True
F21-Gallagher101,0,1995,773,0.0,0.0,766,766,123,True
F21-Gallagher101,1,2110,887,0.0,0.0,712,712,64,True
F21-Gallagher101,2,2340,1116,0.0,0.0,951,951,108,True
F21-Gallagher101,3,1805,581,0.0,0.0,342,342,65,True
F21-Gallagher101,4,1735,511,0.0,0.0,376,376,91,True
F21-Gallagher101,5,1840,617,0.0,0.0,302,302,78,True
F21-Gallagher101,6,2420,456,0.0,0.0,302,302,66,True
F21-Gallagher101,7,1625,402,0.0,0.0,242,242,96,True
F21-Gallagher101,8,2649,1426,0.0,0.0,1295,1295,93,True
F21-Gallagher101,9,1890,547,0.0,0.0,387,387,99,True
F21-Gallagher101,10,4020,576,0.0,0.0,411,411,48,True
F21-Gallagher101,11,1825,602,0.0,0.0,386,386,86,True
F21-Gallagher101,12,2125,481,0.0,0.0,371,371,123,True
F21-Gallagher101,13,1740,516,0.0,0.0,316,316,132,True
F21-Gallagher101,14,3403,1759,0.0,0.0,1604,1604,89,True
F21-Gallagher101,15,1770,546,0.0,0.0,317,317,89,True
F21-Gallagher101,16,2120,476,0.0,0.0,352,352,80,True
F21-Gallagher101,17,1770,546,0.0,0.0,236,236,106,True
F21-Gallagher101,18,1740,517,0.0,0.0,356,356,100,True
F21-Gallagher101,19,1710,487,0.0,0.0,351,351,101,True
