function,K,eps,seed,evals,cap,visited,reported,resel,n_resel_pts,distinct,blocked,n_reported_pts,spillover,basin_switch,hunts,landed,best_f,reported_uncapped,distinct_uncapped,n_reported_pts_uncapped
N09-Vincent3D,216,0.1,0,400000,432,216,45,-1,-1,45,0,226,215,215,215,215,0.0,45,45,226
N09-Vincent3D,216,0.1,1,400000,432,216,38,-1,-1,38,0,226,243,243,243,243,0.0,38,38,226
N09-Vincent3D,216,0.1,2,400000,432,216,37,-1,-1,37,0,226,240,240,240,240,0.0,37,37,226
N09-Vincent3D,216,0.1,3,400000,432,216,41,-1,-1,41,0,226,243,243,243,243,0.0,41,41,226
N09-Vincent3D,216,0.1,4,400000,432,216,44,-1,-1,44,0,226,233,233,233,233,0.0,44,44,226
N09-Vincent3D,216,0.001,0,400000,432,53,45,-1,-1,45,0,226,215,215,215,213,0.0,45,45,226
N09-Vincent3D,216,0.001,1,400000,432,46,38,-1,-1,38,0,226,243,243,243,236,0.0,38,38,226
N09-Vincent3D,216,0.001,2,400000,432,47,37,-1,-1,37,0,226,240,240,240,236,0.0,37,37,226
N09-Vincent3D,216,0.001,3,400000,432,45,41,-1,-1,41,0,226,243,243,243,240,0.0,41,41,226
N09-Vincent3D,216,0.001,4,400000,432,48,44,-1,-1,44,0,226,233,233,233,225,0.0,44,44,226
N09-Vincent3D,216,1e-05,0,400000,432,46,45,-1,-1,45,0,226,215,215,215,206,0.0,45,45,226
N09-Vincent3D,216,1e-05,1,400000,432,39,38,-1,-1,38,0,226,243,243,243,218,0.0,38,38,226
N09-Vincent3D,216,1e-05,2,400000,432,41,37,-1,-1,37,0,226,240,240,240,222,0.0,37,37,226
N09-Vincent3D,216,1e-05,3,400000,432,42,41,-1,-1,41,0,226,243,243,243,231,0.0,41,41,226
N09-Vincent3D,216,1e-05,4,400000,432,45,44,-1,-1,44,0,226,233,233,233,216,0.0,44,44,226
N09-Vincent3D,216,0.1,10,400000,432,216,36,-1,-1,36,0,226,239,239,239,239,0.0,36,36,226
N09-Vincent3D,216,0.1,11,400000,432,216,35,-1,-1,35,0,226,237,237,237,237,0.0,35,35,226
N09-Vincent3D,216,0.1,12,400000,432,216,35,-1,-1,35,0,226,237,237,237,237,0.0,35,35,226
N09-Vincent3D,216,0.1,13,400000,432,216,45,-1,-1,62,17,226,231,231,231,231,0.0,45,62,226
N09-Vincent3D,216,0.1,14,400000,432,216,33,-1,-1,33,0,226,240,240,240,240,0.0,33,33,226
N09-Vincent3D,216,0.001,10,400000,432,40,36,-1,-1,36,0,226,239,239,239,234,0.0,36,36,226
N09-Vincent3D,216,0.001,11,400000,432,39,35,-1,-1,35,0,226,237,237,237,234,0.0,35,35,226
N09-Vincent3D,216,0.001,12,400000,432,43,35,-1,-1,35,0,226,237,237,237,231,0.0,35,35,226
N09-Vincent3D,216,0.001,13,400000,432,52,43,-1,-1,62,19,226,231,231,231,230,0.0,43,62,226
N09-Vincent3D,216,0.001,14,400000,432,38,33,-1,-1,33,0,226,240,240,240,236,0.0,33,33,226
N09-Vincent3D,216,1e-05,10,400000,432,37,36,-1,-1,36,0,226,239,239,239,225,0.0,36,36,226
N09-Vincent3D,216,1e-05,11,400000,432,39,35,-1,-1,35,0,226,237,237,237,223,0.0,35,35,226
N09-Vincent3D,216,1e-05,12,400000,432,39,35,-1,-1,35,0,226,237,237,237,221,0.0,35,35,226
N09-Vincent3D,216,1e-05,13,400000,432,45,43,-1,-1,62,19,226,231,231,231,218,0.0,43,62,226
N09-Vincent3D,216,1e-05,14,400000,432,37,33,-1,-1,33,0,226,240,240,240,222,0.0,33,33,226
N09-Vincent3D,216,0.1,5,400000,432,216,44,-1,-1,44,0,226,238,238,238,238,0.0,44,44,226
N09-Vincent3D,216,0.1,6,400000,432,216,40,-1,-1,40,0,226,218,218,218,218,0.0,40,40,226
N09-Vincent3D,216,0.1,7,400000,432,216,46,-1,-1,55,9,226,239,238,239,239,0.0,46,55,226
N09-Vincent3D,216,0.1,8,400000,432,216,41,-1,-1,41,0,226,224,224,224,224,0.0,41,41,226
N09-Vincent3D,216,0.1,9,400000,432,216,38,-1,-1,38,0,226,238,238,238,238,0.0,38,38,226
N09-Vincent3D,216,0.001,5,400000,432,48,44,-1,-1,44,0,226,238,238,238,235,0.0,44,44,226
N09-Vincent3D,216,0.001,6,400000,432,45,40,-1,-1,40,0,226,218,218,218,215,0.0,40,40,226
N09-Vincent3D,216,0.001,7,400000,432,45,39,-1,-1,55,16,226,239,238,239,238,0.0,39,55,226
N09-Vincent3D,216,0.001,8,400000,432,47,41,-1,-1,41,0,226,224,224,224,222,0.0,41,41,226
N09-Vincent3D,216,0.001,9,400000,432,43,38,-1,-1,38,0,226,238,238,238,233,0.0,38,38,226
N09-Vincent3D,216,1e-05,5,400000,432,48,44,-1,-1,44,0,226,238,238,238,227,0.0,44,44,226
N09-Vincent3D,216,1e-05,6,400000,432,41,40,-1,-1,40,0,226,218,218,218,209,0.0,40,40,226
N09-Vincent3D,216,1e-05,7,400000,432,41,39,-1,-1,55,16,226,239,238,239,234,0.0,39,55,226
N09-Vincent3D,216,1e-05,8,400000,432,42,41,-1,-1,41,0,226,224,224,224,213,0.0,41,41,226
N09-Vincent3D,216,1e-05,9,400000,432,39,38,-1,-1,38,0,226,238,238,238,227,0.0,38,38,226
