func,budget,contrast,ref,eps,cycle,n_seeds,pr_ref,pr_arm,pr_d,pr_wtl,pr_p,pr_a12,cov_ref,cov_arm,cov_d,cov_wtl,cov_p,cov_a12,loss_ref,loss_arm,loss_d,loss_wtl,loss_p,loss_a12,cov_holm,loss_holm,silent,silent_holm,cancelling,movers,channel
N09-Vincent3D,400k,soltrim_rho / base,base,0.1,e60,15,0.1849,0.3114,0.1265,15/0/0,0.0007,1.0,1.0,1.0,0.0,0/15/0,1.0,0.5,0.8151,0.6886,-0.1265,0/0/15,0.0006,0.0,False,True,False,False,False,loss,report
N09-Vincent3D,400k,soltrim_rho / base,base,0.001,e60,15,0.1735,0.2926,0.1191,15/0/0,0.0006,1.0,0.3056,0.3056,0.0,0/15/0,1.0,0.5,0.1321,0.013,-0.1191,0/0/15,0.0006,0.0,False,True,False,False,False,loss,report
N09-Vincent3D,400k,soltrim_rho / base,base,1e-05,e60,15,0.1731,0.2741,0.1009,15/0/0,0.0007,1.0,0.2747,0.2747,0.0,0/15/0,1.0,0.5,0.1015,0.0006,-0.1009,0/0/15,0.0006,0.0,False,True,False,False,False,loss,report
N09-Vincent3D,400k,solcap2000 / base,base,0.1,e60,15,0.1849,0.2324,0.0475,15/0/0,0.0006,1.0,1.0,1.0,0.0,0/15/0,1.0,0.5,0.8151,0.7676,-0.0475,0/0/15,0.0007,0.0,False,True,False,False,False,loss,report
N09-Vincent3D,400k,solcap2000 / base,base,0.001,e60,15,0.1735,0.2324,0.059,15/0/0,0.0006,1.0,0.3056,0.3056,0.0,0/15/0,1.0,0.5,0.1321,0.0731,-0.059,0/0/15,0.0007,0.0,False,True,False,False,False,loss,report
N09-Vincent3D,400k,solcap2000 / base,base,1e-05,e60,15,0.1731,0.2324,0.0593,15/0/0,0.0006,1.0,0.2747,0.2747,0.0,0/15/0,1.0,0.5,0.1015,0.0423,-0.0593,0/0/15,0.0006,0.0,False,True,False,False,False,loss,report
N09-Vincent3D,400k,commit_place / base,base,0.1,e62,15,0.1849,0.2278,0.0429,13/0/2,0.0014,0.87,1.0,1.0,0.0,0/15/0,1.0,0.5,0.8151,0.7722,-0.0429,2/0/13,0.0014,0.13,False,True,False,False,False,loss,report
N09-Vincent3D,400k,commit_place / base,base,0.001,e62,15,0.1735,0.221,0.0475,15/0/0,0.0006,1.0,0.3056,0.3821,0.0765,15/0/0,0.0007,1.0,0.1321,0.1611,0.029,12/1/2,0.0041,0.83,True,True,False,False,False,cov+loss,mixed
N09-Vincent3D,400k,commit_place / base,base,1e-05,e62,15,0.1731,0.2207,0.0475,15/0/0,0.0006,1.0,0.2747,0.3549,0.0802,15/0/0,0.0007,1.0,0.1015,0.1343,0.0327,12/2/1,0.0021,0.87,True,True,False,False,False,cov+loss,mixed
N09-Vincent3D,400k,cp_soltrim / base,base,0.1,core,15,0.1849,0.3849,0.2,15/0/0,0.0007,1.0,1.0,1.0,0.0,0/15/0,1.0,0.5,0.8151,0.6151,-0.2,0/0/15,0.0001,0.0,False,True,False,False,False,loss,report
