function,method,rule,seed,evals,n_optima,n_reported,pr_1e-1,pr_1e-2,pr_1e-3,pr_1e-4,pr_1e-5
N20-CF4-20D,MC-ESO,current,0,400000,8,100,0.0000,0.0000,0.0000,0.0000,0.0000
N20-CF4-20D,MC-ESO,current,1,400000,8,100,0.1250,0.1250,0.1250,0.1250,0.1250
N20-CF4-20D,MC-ESO,current,2,400000,8,100,0.1250,0.1250,0.1250,0.1250,0.1250
N20-CF4-20D,MC-ESO,current,3,400000,8,100,0.0000,0.0000,0.0000,0.0000,0.0000
N20-CF4-20D,MC-ESO,current,4,400000,8,100,0.1250,0.1250,0.1250,0.1250,0.1250
N20-CF4-20D,MC-ESO,current,5,400000,8,100,0.1250,0.1250,0.1250,0.1250,0.1250
N20-CF4-20D,MC-ESO,current,6,400000,8,100,0.1250,0.1250,0.1250,0.1250,0.1250
N20-CF4-20D,MC-ESO,current,7,400000,8,100,0.1250,0.1250,0.1250,0.1250,0.1250
N20-CF4-20D,MC-ESO,current,8,400000,8,100,0.1250,0.1250,0.1250,0.1250,0.1250
N20-CF4-20D,MC-ESO,current,9,400000,8,100,0.0000,0.0000,0.0000,0.0000,0.0000
N20-CF4-20D,MC-ESO,current,10,400000,8,100,0.0000,0.0000,0.0000,0.0000,0.0000
N20-CF4-20D,MC-ESO,current,11,400000,8,100,0.0000,0.0000,0.0000,0.0000,0.0000
N20-CF4-20D,MC-ESO,current,12,400000,8,100,0.1250,0.1250,0.1250,0.1250,0.1250
N20-CF4-20D,MC-ESO,current,13,400000,8,100,0.0000,0.0000,0.0000,0.0000,0.0000
N20-CF4-20D,MC-ESO,current,14,400000,8,100,0.1250,0.1250,0.1250,0.1250,0.1250
N20-CF4-20D,MC-ESO,current,15,400000,8,100,0.0000,0.0000,0.0000,0.0000,0.0000
N20-CF4-20D,MC-ESO,current,16,400000,8,100,0.1250,0.1250,0.1250,0.1250,0.1250
N20-CF4-20D,MC-ESO,current,17,400000,8,100,0.0000,0.0000,0.0000,0.0000,0.0000
N20-CF4-20D,MC-ESO,current,18,400000,8,100,0.0000,0.0000,0.0000,0.0000,0.0000
N20-CF4-20D,MC-ESO,current,19,400000,8,100,0.1250,0.1250,0.1250,0.1250,0.1250
N20-CF4-20D,MC-ESO,current,20,400000,8,100,0.0000,0.0000,0.0000,0.0000,0.0000
N20-CF4-20D,MC-ESO,current,21,400000,8,100,0.0000,0.0000,0.0000,0.0000,0.0000
N20-CF4-20D,MC-ESO,current,22,400000,8,100,0.1250,0.1250,0.1250,0.1250,0.1250
N20-CF4-20D,MC-ESO,current,23,400000,8,100,0.0000,0.0000,0.0000,0.0000,0.0000
N20-CF4-20D,MC-ESO,current,24,400000,8,100,0.0000,0.0000,0.0000,0.0000,0.0000
N20-CF4-20D,MC-ESO,current,25,400000,8,100,0.1250,0.1250,0.1250,0.1250,0.1250
N20-CF4-20D,MC-ESO,current,26,400000,8,100,0.0000,0.0000,0.0000,0.0000,0.0000
N20-CF4-20D,MC-ESO,current,27,400000,8,100,0.1250,0.1250,0.1250,0.1250,0.1250
N20-CF4-20D,MC-ESO,current,28,400000,8,100,0.1250,0.1250,0.1250,0.1250,0.1250
N20-CF4-20D,MC-ESO,current,29,400000,8,100,0.0000,0.0000,0.0000,0.0000,0.0000
N20-CF4-20D,NMMSO,current,0,400000,8,45,0.1250,0.1250,0.1250,0.0000,0.0000
N20-CF4-20D,NMMSO,current,1,400000,8,34,0.1250,0.1250,0.1250,0.0000,0.0000
N20-CF4-20D,NMMSO,current,2,400000,8,42,0.1250,0.1250,0.1250,0.0000,0.0000
N20-CF4-20D,NMMSO,current,3,400000,8,30,0.1250,0.1250,0.1250,0.0000,0.0000
N20-CF4-20D,NMMSO,current,4,400000,8,39,0.1250,0.1250,0.1250,0.0000,0.0000
N20-CF4-20D,NMMSO,current,5,400000,8,31,0.2500,0.2500,0.2500,0.1250,0.0000
N20-CF4-20D,NMMSO,current,6,400000,8,31,0.1250,0.1250,0.1250,0.0000,0.0000
N20-CF4-20D,NMMSO,current,7,400000,8,34,0.1250,0.1250,0.1250,0.0000,0.0000
N20-CF4-20D,NMMSO,current,8,400000,8,38,0.1250,0.1250,0.1250,0.0000,0.0000
N20-CF4-20D,NMMSO,current,9,400000,8,46,0.1250,0.0000,0.0000,0.0000,0.0000
N20-CF4-20D,NMMSO,current,10,400000,8,29,0.2500,0.2500,0.1250,0.1250,0.0000
N20-CF4-20D,NMMSO,current,11,400000,8,44,0.2500,0.2500,0.1250,0.0000,0.0000
N20-CF4-20D,NMMSO,current,12,400000,8,22,0.2500,0.2500,0.2500,0.2500,0.0000
N20-CF4-20D,NMMSO,current,13,400000,8,67,0.1250,0.1250,0.1250,0.0000,0.0000
N20-CF4-20D,NMMSO,current,14,400000,8,49,0.2500,0.2500,0.2500,0.0000,0.0000
N20-CF4-20D,NMMSO,current,15,400000,8,49,0.1250,0.1250,0.1250,0.1250,0.0000
N20-CF4-20D,NMMSO,current,16,400000,8,49,0.0000,0.0000,0.0000,0.0000,0.0000
N20-CF4-20D,NMMSO,current,17,400000,8,42,0.1250,0.1250,0.1250,0.1250,0.0000
N20-CF4-20D,NMMSO,current,18,400000,8,41,0.2500,0.2500,0.1250,0.0000,0.0000
N20-CF4-20D,NMMSO,current,19,400000,8,2,0.2500,0.2500,0.2500,0.1250,0.0000
N20-CF4-20D,NMMSO,current,20,400000,8,42,0.3750,0.3750,0.2500,0.2500,0.1250
N20-CF4-20D,NMMSO,current,21,400000,8,48,0.1250,0.1250,0.1250,0.0000,0.0000
N20-CF4-20D,NMMSO,current,22,400000,8,39,0.2500,0.2500,0.2500,0.1250,0.0000
N20-CF4-20D,NMMSO,current,23,400000,8,43,0.2500,0.2500,0.1250,0.1250,0.1250
N20-CF4-20D,NMMSO,current,24,400000,8,46,0.1250,0.1250,0.1250,0.0000,0.0000
N20-CF4-20D,NMMSO,current,25,400000,8,33,0.1250,0.1250,0.1250,0.0000,0.0000
N20-CF4-20D,NMMSO,current,26,400000,8,41,0.1250,0.1250,0.1250,0.1250,0.0000
N20-CF4-20D,NMMSO,current,27,400000,8,28,0.2500,0.2500,0.2500,0.2500,0.0000
N20-CF4-20D,NMMSO,current,28,400000,8,57,0.1250,0.1250,0.1250,0.0000,0.0000
N20-CF4-20D,NMMSO,current,29,400000,8,30,0.2500,0.2500,0.2500,0.1250,0.1250
