function,method,rule,seed,evals,n_optima,n_reported,pr_1e-1,pr_1e-2,pr_1e-3,pr_1e-4,pr_1e-5
N16-CF3-5D,DE,current,0,400000,6,30,0.1667,0.1667,0.1667,0.1667,0.1667
N16-CF3-5D,DE,current,1,400000,6,30,0.1667,0.1667,0.1667,0.1667,0.1667
N16-CF3-5D,DE,current,2,400000,6,30,0.1667,0.1667,0.1667,0.1667,0.1667
N16-CF3-5D,DE,current,3,400000,6,30,0.1667,0.1667,0.1667,0.1667,0.1667
N16-CF3-5D,DE,current,4,400000,6,30,0.1667,0.1667,0.1667,0.1667,0.1667
N16-CF3-5D,DE,current,5,400000,6,30,0.1667,0.1667,0.1667,0.1667,0.1667
N16-CF3-5D,DE,current,6,400000,6,30,0.1667,0.1667,0.1667,0.1667,0.1667
N16-CF3-5D,DE,current,7,400000,6,30,0.0000,0.0000,0.0000,0.0000,0.0000
N16-CF3-5D,DE,current,8,400000,6,30,0.0000,0.0000,0.0000,0.0000,0.0000
N16-CF3-5D,DE,current,9,400000,6,30,0.1667,0.1667,0.1667,0.1667,0.1667
N16-CF3-5D,DE,current,10,400000,6,30,0.1667,0.1667,0.1667,0.1667,0.1667
N16-CF3-5D,DE,current,11,400000,6,30,0.1667,0.1667,0.1667,0.1667,0.1667
N16-CF3-5D,MC-ESO,current,0,400000,6,100,0.6667,0.6667,0.6667,0.6667,0.6667
N16-CF3-5D,MC-ESO,current,1,400000,6,100,0.6667,0.6667,0.6667,0.6667,0.5000
N16-CF3-5D,MC-ESO,current,2,400000,6,100,0.6667,0.6667,0.6667,0.6667,0.6667
N16-CF3-5D,MC-ESO,current,3,400000,6,100,0.6667,0.6667,0.6667,0.6667,0.6667
N16-CF3-5D,MC-ESO,current,4,400000,6,100,0.6667,0.6667,0.6667,0.6667,0.6667
N16-CF3-5D,MC-ESO,current,5,400000,6,100,0.6667,0.6667,0.6667,0.6667,0.6667
N16-CF3-5D,MC-ESO,current,6,400000,6,100,0.6667,0.6667,0.6667,0.6667,0.6667
N16-CF3-5D,MC-ESO,current,7,400000,6,100,0.6667,0.6667,0.6667,0.6667,0.6667
N16-CF3-5D,MC-ESO,current,8,400000,6,100,0.6667,0.6667,0.6667,0.6667,0.6667
N16-CF3-5D,MC-ESO,current,9,400000,6,100,0.6667,0.6667,0.6667,0.6667,0.6667
