########## MC-ESO vs NCDE
=== N16-CF3-5D   budget 400000   12 seeds
method           pr_1e-1   pr_1e-3   pr_1e-5
MC-ESO             0.667     0.667     0.653
NMMSO              0.667     0.667     0.667
NCDE               0.500     0.403     0.333
r3pso              0.264     0.264     0.250
DE                 0.139     0.139     0.139
NM-Restart         0.014     0.014     0.014
  MC-ESO vs NCDE           w/t/l         p     A12
  pr_1e-1                  8/4/0    0.0078    0.83
  pr_1e-3                 10/2/0    0.0020    0.92
  pr_1e-5                 11/1/0    0.0010    0.99

=== N18-CF3-10D   budget 400000   12 seeds
method           pr_1e-1   pr_1e-3   pr_1e-5
MC-ESO             1.000     0.194     0.167
NMMSO              0.597     0.583     0.500
NCDE               0.181     0.181     0.181
r3pso              0.167     0.167     0.167
DE                 0.125     0.111     0.111
NM-Restart         0.000     0.000     0.000
  MC-ESO vs NCDE           w/t/l         p     A12
  pr_1e-1                 12/0/0    0.0005    1.00
  pr_1e-3                 1/11/0    1.0000    0.54
  pr_1e-5                 0/11/1    1.0000    0.46

########## MC-ESO vs r3pso
=== N16-CF3-5D   budget 400000   12 seeds
method           pr_1e-1   pr_1e-3   pr_1e-5
MC-ESO             0.667     0.667     0.653
NMMSO              0.667     0.667     0.667
NCDE               0.500     0.403     0.333
r3pso              0.264     0.264     0.250
DE                 0.139     0.139     0.139
NM-Restart         0.014     0.014     0.014
  MC-ESO vs r3pso          w/t/l         p     A12
  pr_1e-1                 12/0/0    0.0005    1.00
  pr_1e-3                 12/0/0    0.0005    1.00
  pr_1e-5                 12/0/0    0.0005    1.00

=== N18-CF3-10D   budget 400000   12 seeds
method           pr_1e-1   pr_1e-3   pr_1e-5
MC-ESO             1.000     0.194     0.167
NMMSO              0.597     0.583     0.500
NCDE               0.181     0.181     0.181
r3pso              0.167     0.167     0.167
DE                 0.125     0.111     0.111
NM-Restart         0.000     0.000     0.000
  MC-ESO vs r3pso          w/t/l         p     A12
  pr_1e-1                 12/0/0    0.0005    1.00
  pr_1e-3                  2/9/1    0.7500    0.58
  pr_1e-5                 1/10/1    1.0000    0.50

########## MC-ESO vs DE
=== N16-CF3-5D   budget 400000   12 seeds
method           pr_1e-1   pr_1e-3   pr_1e-5
MC-ESO             0.667     0.667     0.653
NMMSO              0.667     0.667     0.667
NCDE               0.500     0.403     0.333
r3pso              0.264     0.264     0.250
DE                 0.139     0.139     0.139
NM-Restart         0.014     0.014     0.014
  MC-ESO vs DE             w/t/l         p     A12
  pr_1e-1                 12/0/0    0.0005    1.00
  pr_1e-3                 12/0/0    0.0005    1.00
  pr_1e-5                 12/0/0    0.0005    1.00

=== N18-CF3-10D   budget 400000   12 seeds
method           pr_1e-1   pr_1e-3   pr_1e-5
MC-ESO             1.000     0.194     0.167
NMMSO              0.597     0.583     0.500
NCDE               0.181     0.181     0.181
r3pso              0.167     0.167     0.167
DE                 0.125     0.111     0.111
NM-Restart         0.000     0.000     0.000
  MC-ESO vs DE             w/t/l         p     A12
  pr_1e-1                 12/0/0    0.0005    1.00
  pr_1e-3                  6/6/0    0.0312    0.72
  pr_1e-5                  4/8/0    0.1250    0.67

########## MC-ESO vs NM-Restart
=== N16-CF3-5D   budget 400000   12 seeds
method           pr_1e-1   pr_1e-3   pr_1e-5
MC-ESO             0.667     0.667     0.653
NMMSO              0.667     0.667     0.667
NCDE               0.500     0.403     0.333
r3pso              0.264     0.264     0.250
DE                 0.139     0.139     0.139
NM-Restart         0.014     0.014     0.014
  MC-ESO vs NM-Restart     w/t/l         p     A12
  pr_1e-1                 12/0/0    0.0005    1.00
  pr_1e-3                 12/0/0    0.0005    1.00
  pr_1e-5                 12/0/0    0.0005    1.00

=== N18-CF3-10D   budget 400000   12 seeds
method           pr_1e-1   pr_1e-3   pr_1e-5
MC-ESO             1.000     0.194     0.167
NMMSO              0.597     0.583     0.500
NCDE               0.181     0.181     0.181
r3pso              0.167     0.167     0.167
DE                 0.125     0.111     0.111
NM-Restart         0.000     0.000     0.000
  MC-ESO vs NM-Restart     w/t/l         p     A12
  pr_1e-1                 12/0/0    0.0005    1.00
  pr_1e-3                 12/0/0    0.0005    1.00
  pr_1e-5                 12/0/0    0.0005    1.00

