########## MC-ESO vs NMMSO
=== N14-CF3-3D   budget 400000   12 seeds
method           pr_1e-1   pr_1e-3   pr_1e-5
NMMSO              0.681     0.667     0.667
MC-ESO             0.667     0.667     0.361
NCDE               0.542     0.514     0.486
r3pso              0.458     0.417     0.389
DE                 0.167     0.167     0.167
NM-Restart         0.028     0.028     0.028
  MC-ESO vs NMMSO          w/t/l         p     A12
  pr_1e-1                 0/11/1    1.0000    0.46
  pr_1e-3                 0/12/0    1.0000    0.50
  pr_1e-5                 0/2/10    0.0020    0.08

=== N15-CF4-3D   budget 400000   12 seeds
method           pr_1e-1   pr_1e-3   pr_1e-5
NMMSO              0.688     0.688     0.688
MC-ESO             0.375     0.375     0.208
NCDE               0.250     0.167     0.146
r3pso              0.156     0.146     0.135
DE                 0.125     0.125     0.125
NM-Restart         0.021     0.021     0.021
  MC-ESO vs NMMSO          w/t/l         p     A12
  pr_1e-1                 0/0/12    0.0005    0.00
  pr_1e-3                 0/0/12    0.0005    0.00
  pr_1e-5                 0/0/12    0.0005    0.00

=== N16-CF3-5D   budget 400000   12 seeds
method           pr_1e-1   pr_1e-3   pr_1e-5
MC-ESO             0.667     0.667     0.653
NMMSO              0.667     0.667     0.667
NCDE               0.500     0.403     0.333
r3pso              0.264     0.264     0.250
DE                 0.139     0.139     0.139
NM-Restart         0.014     0.014     0.014
  MC-ESO vs NMMSO          w/t/l         p     A12
  pr_1e-1                 0/12/0    1.0000    0.50
  pr_1e-3                 0/12/0    1.0000    0.50
  pr_1e-5                 0/11/1    1.0000    0.46

=== N17-CF4-5D   budget 400000   12 seeds
method           pr_1e-1   pr_1e-3   pr_1e-5
NMMSO              0.490     0.479     0.458
MC-ESO             0.354     0.250     0.167
NCDE               0.167     0.156     0.146
r3pso              0.115     0.115     0.115
DE                 0.031     0.031     0.031
NM-Restart         0.000     0.000     0.000
  MC-ESO vs NMMSO          w/t/l         p     A12
  pr_1e-1                  3/2/7    0.2051    0.36
  pr_1e-3                  0/3/9    0.0039    0.13
  pr_1e-5                 0/1/11    0.0010    0.02

=== N18-CF3-10D   budget 400000   12 seeds
method           pr_1e-1   pr_1e-3   pr_1e-5
MC-ESO             1.000     0.194     0.167
