draw,start_opt,land_opt,dist,best_f,evals
2,4,5,0.00029914109144419857,1.6693879576934166e-05,1500
1,5,5,0.00019026731931871528,7.00360403324715e-06,1500
3,4,4,0.0005706659155597388,8.769577884304195e-05,1500
0,0,5,0.00037942830968855314,2.9038789648230154e-05,1500
4,2,5,0.001938050080126531,0.0007080158765933981,1500
5,1,5,0.0008227593727101352,0.00013516955606590654,1500
6,5,5,0.004147629180029767,0.0033196366322101973,1500
7,4,5,0.001694489841467812,0.0005546460902724539,1500
8,3,5,0.0004037099896123488,3.256353386080209e-05,1500
10,4,4,0.00015729697047527335,6.284966544385665e-06,1500
9,3,5,0.0023428608597265447,0.0010490200696949491,1500
11,3,5,0.00034873789988370787,2.3907948214204695e-05,1500
12,3,5,0.0014055657377095169,0.0003802673466277268,1500
13,4,4,0.001235948274193812,0.00038210862544230806,1500
14,1,1,0.0007142230581217443,0.000160463074498262,1500
15,1,5,0.0001562374091820957,4.585933523143902e-06,1500
17,4,4,9.029729895907248e-05,2.235531776487039e-06,1500
16,5,5,0.0006862640158034878,9.050489695656695e-05,1500
18,4,5,0.002357154250260319,0.0010338634729187687,1500
19,3,5,0.00044471011858012577,3.6931979753387696e-05,1500
20,4,4,0.0004581491820685828,5.1719297846557514e-05,1500
21,5,5,0.0007905394249239613,0.00011814827955766695,1500
22,0,5,0.0005647357916046395,6.049612099589433e-05,1500
23,3,5,0.0005661110819939053,6.0321108539592584e-05,1500
24,4,4,0.00047250973166386293,5.947281016313377e-05,1500
25,4,4,0.0004096040560992015,5.042663887045121e-05,1500
26,2,5,0.00012434122473196934,3.0932276634137904e-06,1500
27,5,5,0.00030306884442236225,1.8319384146873896e-05,1500
28,4,5,0.00042362621889126224,3.5874561869107504e-05,1500
29,5,5,0.00039532597809148533,2.9236824804192823e-05,1500
30,2,4,0.00040503110993826404,4.3146211326441674e-05,1500
31,2,5,0.00030530667859250525,1.7526139031223496e-05,1500
32,3,5,0.0011069550005106629,0.00024084406290129638,1500
34,4,4,0.00012221634946924583,3.724776242344146e-06,1500
33,3,5,0.0024338494860574192,0.0011094310257752267,1500
35,5,5,0.00032949526301586003,2.0604257375047708e-05,1500
36,1,5,0.0025511337743610754,0.0012095859827663564,1500
38,1,1,0.0004934580148234536,7.669040646806313e-05,1500
37,4,5,0.0011993928451722595,0.0002977266710947686,1500
39,5,5,0.000216464056830453,9.131665428194203e-06,1500
41,4,4,0.0007976927739745926,0.00016823012022872905,1500
40,3,5,0.001976246245856052,0.0007572509734702375,1500
42,0,0,0.0009083280235952657,0.00027849955840391326,1500
43,4,4,0.00021550283733265174,1.2303053844801275e-05,1500
45,4,4,0.0002951727416356353,2.3103969110496887e-05,1500
46,4,5,0.0003528125539220261,2.4671629633615016e-05,1500
44,5,5,0.0004193421712580164,3.270256834116722e-05,1500
47,4,4,0.00045159942901681823,5.379307791083002e-05,1500
48,3,5,0.0004645531115027427,4.0158064701924385e-05,1500
49,3,5,0.0007616734801736868,0.0001119830934122595,1500
50,4,0,0.003045498707258292,0.0031465365758984168,1500
51,5,5,0.0003888541920462608,2.92263993665552e-05,1500
52,4,5,0.0001469366816142508,4.103819645086013e-06,1500
54,4,5,0.0006009172955665014,7.171069124002005e-05,1500
53,0,5,0.0010701636842765285,0.00024239269396685842,1500
56,1,4,0.0007862216394765121,0.0001673189547646398,1500
57,4,5,0.0016315348778625485,0.0004985883620977187,1500
55,3,5,0.002767512486968556,0.001441115780890202,1500
58,1,1,0.00021962743385565183,1.5189425541919414e-05,1500
59,0,5,0.00046561411121491195,4.141600074378425e-05,1500
62,1,1,0.0003421106606646235,3.684539319849739e-05,1500
60,3,5,0.0002529144198807238,1.203288893784221e-05,1500
61,1,1,0.0004781798328316951,7.200244992615549e-05,1500
63,4,5,0.0007316005178710503,0.00010537947683097163,1500
64,5,5,0.0006570639831517087,8.055219891464522e-05,1500
65,4,5,0.0019701600590968462,0.0008007755392783478,1500
66,5,5,0.0002442239257182415,1.121062361493689e-05,1500
69,2,5,0.00021567539189150712,9.47057047842439e-06,1500
