function,method,seed,evals,eps,opt,width,pts,arrivals
N18-CF3-10D,MC-ESO,200,400000,0.1,0,13.073342,13992,373
N18-CF3-10D,MC-ESO,200,400000,0.1,1,13.822251,1521,62
N18-CF3-10D,MC-ESO,200,400000,0.1,2,8.630155,0,0
N18-CF3-10D,MC-ESO,200,400000,0.1,3,9.891001,0,0
N18-CF3-10D,MC-ESO,200,400000,0.1,4,8.630155,509,26
N18-CF3-10D,MC-ESO,200,400000,0.1,5,9.891001,28999,1065
N18-CF3-10D,MC-ESO,200,400000,0.001,0,13.073342,9211,67
N18-CF3-10D,MC-ESO,200,400000,0.001,1,13.822251,0,0
N18-CF3-10D,MC-ESO,200,400000,0.001,2,8.630155,0,0
N18-CF3-10D,MC-ESO,200,400000,0.001,3,9.891001,0,0
N18-CF3-10D,MC-ESO,200,400000,0.001,4,8.630155,0,0
N18-CF3-10D,MC-ESO,200,400000,0.001,5,9.891001,175,19
N18-CF3-10D,MC-ESO,0,400000,0.1,0,13.073342,3922,149
N18-CF3-10D,MC-ESO,0,400000,0.1,1,13.822251,617,28
N18-CF3-10D,MC-ESO,0,400000,0.1,2,8.630155,0,0
N18-CF3-10D,MC-ESO,0,400000,0.1,3,9.891001,0,0
N18-CF3-10D,MC-ESO,0,400000,0.1,4,8.630155,1641,72
N18-CF3-10D,MC-ESO,0,400000,0.1,5,9.891001,46133,1486
N18-CF3-10D,MC-ESO,0,400000,0.001,0,13.073342,0,0
N18-CF3-10D,MC-ESO,0,400000,0.001,1,13.822251,0,0
N18-CF3-10D,MC-ESO,0,400000,0.001,2,8.630155,0,0
N18-CF3-10D,MC-ESO,0,400000,0.001,3,9.891001,0,0
N18-CF3-10D,MC-ESO,0,400000,0.001,4,8.630155,0,0
N18-CF3-10D,MC-ESO,0,400000,0.001,5,9.891001,10039,62
N18-CF3-10D,MC-ESO,100,400000,0.1,0,13.073342,1126,51
N18-CF3-10D,MC-ESO,100,400000,0.1,1,13.822251,1201,46
N18-CF3-10D,MC-ESO,100,400000,0.1,2,8.630155,0,0
N18-CF3-10D,MC-ESO,100,400000,0.1,3,9.891001,0,0
N18-CF3-10D,MC-ESO,100,400000,0.1,4,8.630155,700,36
N18-CF3-10D,MC-ESO,100,400000,0.1,5,9.891001,49054,1692
N18-CF3-10D,MC-ESO,100,400000,0.001,0,13.073342,0,0
N18-CF3-10D,MC-ESO,100,400000,0.001,1,13.822251,0,0
N18-CF3-10D,MC-ESO,100,400000,0.001,2,8.630155,0,0
N18-CF3-10D,MC-ESO,100,400000,0.001,3,9.891001,0,0
N18-CF3-10D,MC-ESO,100,400000,0.001,4,8.630155,0,0
N18-CF3-10D,MC-ESO,100,400000,0.001,5,9.891001,8099,67
N18-CF3-10D,MC-ESO,400,400000,0.1,0,13.073342,3029,127
N18-CF3-10D,MC-ESO,400,400000,0.1,1,13.822251,1709,66
N18-CF3-10D,MC-ESO,400,400000,0.1,2,8.630155,0,0
N18-CF3-10D,MC-ESO,400,400000,0.1,3,9.891001,0,0
N18-CF3-10D,MC-ESO,400,400000,0.1,4,8.630155,1117,40
