func,K,pub,thr,budget,n_draws,n_paired,cov_n,cov_evals_med,cov_pr5,cov_pr5_lo,cov_pr5_hi,cov_pr1,cov_frac1e1,cov_frac1e5,iso_n,iso_evals_med,iso_pr5,iso_pr5_lo,iso_pr5_hi,iso_pr1,iso_frac1e1,iso_frac1e5,w_p,w_better,w_worse,w_tie,moved,mc_cov_only,mc_iso_only,mc_p
N14-CF3-3D,6,0.793,4.758,1499,2000,2000,449,854.0,4.48575,4.0,5.0,4.4913,0.9305,0.9305,362,1085.0,4.0,4.0,4.0,4.0,0.9675,0.9675,2.208858296535056e-07,61,139,1800,502,58,132,8.210999869009048e-08
N15-CF4-3D,8,0.75,6.0,1499,2000,2000,323,1414.0,5.53575,5.0,6.0,5.5397,0.422,0.422,290,1505.0,5.57845,5.0,6.0,5.58565,0.4185,0.4165,0.058807753169402274,758,745,497,682,329,318,0.6942473646259384
N16-CF3-5D,6,0.677,4.062,1499,2000,2000,278,1456.0,4.0,4.0,4.0,4.0,0.9505,0.9505,266,1504.0,4.0,4.0,4.0,4.0,0.949,0.949,6.912745441618563e-81,1007,141,852,708,90,87,0.8805599174040932
N17-CF4-5D,8,0.745,5.96,1499,2000,2000,271,1504.0,5.94155,5.0,6.0,5.94145,0.5785,0.5785,266,1504.0,5.84605,5.0,6.0,5.84045,0.5915,0.5875,0.039844448827944697,1071,618,311,694,280,298,0.4795319566250428
N18-CF3-10D,6,0.667,4.002000000000001,1499,2000,2000,266,1500.0,3.83525,3.0,4.0,4.0,0.969,0.191,266,1500.0,3.29335,2.0,4.0,4.0,0.975,0.097,8.722032368777863e-17,1213,787,0,365,309,121,4.777802435839193e-20
N19-CF4-10D,8,0.512,4.096,1499,2000,2000,266,1500.0,2.3084,1.0,4.0,4.48295,0.748,0.02,266,1500.0,1.62325,0.0,2.0,4.23505,0.7435,0.0125,1.7114768774970573e-17,1323,677,0,356,34,19,0.053438810537711046
N20-CF4-20D,8,0.465,3.72,1499,2000,2000,266,1500.0,0.0,0.0,0.0,0.0,0.0,0.0,266,1500.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2019656419630541e-05,1083,917,0,286,0,0,
N14-CF3-3D,6,0.793,4.758,14990,300,300,449,854.0,4.0,4.0,4.0,4.0,0.9266666666666666,0.9266666666666666,361,1085.0,4.0,4.0,4.0,4.0,0.97,0.97,0.00466480478644371,8,22,270,74,8,21,0.0241195447742939
N15-CF4-3D,8,0.75,6.0,14990,300,300,301,1421.0,5.86065,5.0,6.0,5.8633,0.42,0.42,220,1820.0,5.48175,5.0,6.0,5.47855,0.4633333333333333,0.4633333333333333,0.21071401961001524,103,112,85,92,41,54,0.21805368187049967
N16-CF3-5D,6,0.677,4.062,14990,300,300,264,1456.0,4.0,4.0,4.0,4.0,0.9466666666666667,0.9466666666666667,229,1664.0,4.0,4.0,4.0,4.0,0.9333333333333333,0.9333333333333333,0.41609431407414377,18,15,267,111,17,13,0.5846647117286922
N17-CF4-5D,8,0.745,5.96,14990,300,300,198,1768.0,5.71335,5.0,6.0,5.70635,0.54,0.54,168,2124.0,5.72515,5.0,6.0,5.71075,0.5633333333333334,0.5633333333333334,0.16364301270027726,84,88,128,95,33,40,0.48278855684402133
N18-CF3-10D,6,0.667,4.002000000000001,14990,300,300,116,2990.0,3.984,4.0,4.0,3.98505,0.9766666666666667,0.9766666666666667,109,3160.0,3.9833,4.0,4.0,3.98175,0.9766666666666667,0.9766666666666667,0.10375530821437719,24,36,240,56,6,6,1.0
N19-CF4-10D,8,0.512,4.096,14990,300,300,108,3460.0,3.655,3.0,4.0,3.65415,0.7866666666666666,0.7866666666666666,93,4180.0,3.8863,3.0,4.0,3.8895,0.7833333333333333,0.7833333333333333,0.7784604976600623,59,55,186,49,46,45,1.0
N20-CF4-20D,8,0.465,3.72,14990,300,300,59,6564.0,3.0923,2.0,4.0,3.0853,0.92,0.92,47,8424.0,2.5491,2.0,3.0,2.54455,0.9366666666666666,0.9366666666666666,0.34403346552247605,24,32,244,42,18,23,0.5327092552361137
