function,method,rule,seed,evals,n_optima,n_reported,pr_1e-1,pr_1e-2,pr_1e-3,pr_1e-4,pr_1e-5
N08-Shubert3D,MC-ESO,current,0,400000,81,162,0.8765,0.8765,0.6543,0.0741,0.0123
N08-Shubert3D,MC-ESO,current,1,400000,81,162,0.8395,0.8395,0.7037,0.0247,0.0123
N08-Shubert3D,MC-ESO,current,2,400000,81,162,0.7778,0.7778,0.7284,0.0494,0.0123
N08-Shubert3D,MC-ESO,current,3,400000,81,162,0.8519,0.8519,0.7531,0.0617,0.0123
N08-Shubert3D,MC-ESO,current,4,400000,81,162,0.8642,0.8642,0.6543,0.0864,0.0123
N08-Shubert3D,MC-ESO,current,5,400000,81,162,0.7901,0.7901,0.7160,0.0494,0.0123
N08-Shubert3D,MC-ESO,current,6,400000,81,162,0.8395,0.8395,0.7037,0.0370,0.0123
N08-Shubert3D,MC-ESO,current,7,400000,81,162,0.8642,0.8642,0.7531,0.0494,0.0123
N08-Shubert3D,MC-ESO,current,8,400000,81,162,0.8889,0.8889,0.8148,0.0741,0.0123
N08-Shubert3D,MC-ESO,current,9,400000,81,162,0.8272,0.8272,0.5802,0.0494,0.0247
N08-Shubert3D,MC-ESO,current,10,400000,81,162,0.8272,0.8272,0.7160,0.0741,0.0123
N08-Shubert3D,MC-ESO,current,11,400000,81,162,0.8519,0.8519,0.6296,0.0370,0.0123
N08-Shubert3D,MC-ESO,current,12,400000,81,162,0.8272,0.8272,0.7037,0.0370,0.0123
N08-Shubert3D,MC-ESO,current,13,400000,81,162,0.8148,0.8148,0.5802,0.0370,0.0123
N08-Shubert3D,MC-ESO,current,14,400000,81,162,0.8765,0.8765,0.6420,0.0494,0.0123
N08-Shubert3D,MC-ESO-crowd,current,0,400000,81,162,0.8642,0.8642,0.3086,0.0247,0.0123
N08-Shubert3D,MC-ESO-crowd,current,1,400000,81,162,0.8272,0.8272,0.2716,0.0370,0.0123
N08-Shubert3D,MC-ESO-crowd,current,2,400000,81,162,0.8765,0.8765,0.4198,0.0494,0.0247
N08-Shubert3D,MC-ESO-crowd,current,3,400000,81,162,0.8642,0.8642,0.2963,0.0123,0.0123
N08-Shubert3D,MC-ESO-crowd,current,4,400000,81,162,0.8025,0.8025,0.2593,0.0370,0.0123
N08-Shubert3D,MC-ESO-crowd,current,5,400000,81,162,0.8765,0.8765,0.2469,0.0370,0.0247
N08-Shubert3D,MC-ESO-crowd,current,6,400000,81,162,0.8272,0.8272,0.2469,0.0123,0.0123
N08-Shubert3D,MC-ESO-crowd,current,7,400000,81,162,0.8272,0.8272,0.3210,0.0370,0.0123
N08-Shubert3D,MC-ESO-crowd,current,8,400000,81,162,0.8395,0.8395,0.3333,0.0370,0.0123
N08-Shubert3D,MC-ESO-crowd,current,9,400000,81,162,0.8025,0.8025,0.3210,0.0370,0.0247
N08-Shubert3D,MC-ESO-crowd,current,10,400000,81,162,0.8765,0.8765,0.3580,0.0123,0.0123
N08-Shubert3D,MC-ESO-crowd,current,11,400000,81,162,0.8272,0.8272,0.2593,0.0370,0.0123
N08-Shubert3D,MC-ESO-crowd,current,12,400000,81,162,0.8519,0.8519,0.3580,0.0247,0.0123
N08-Shubert3D,MC-ESO-crowd,current,13,400000,81,162,0.9012,0.9012,0.2346,0.0247,0.0123
N08-Shubert3D,MC-ESO-crowd,current,14,400000,81,162,0.9012,0.9012,0.3086,0.0123,0.0123
N08-Shubert3D,NCDE,current,0,400000,81,30,0.3333,0.3333,0.3333,0.3333,0.3333
N08-Shubert3D,NCDE,current,1,400000,81,30,0.2099,0.2099,0.2099,0.2099,0.2099
N08-Shubert3D,NCDE,current,2,400000,81,30,0.3333,0.3333,0.3333,0.3333,0.3333
N08-Shubert3D,NCDE,current,3,400000,81,30,0.3210,0.3210,0.3210,0.3210,0.0988
N08-Shubert3D,NCDE,current,4,400000,81,30,0.2716,0.2346,0.2346,0.2346,0.2346
N08-Shubert3D,NCDE,current,5,400000,81,30,0.3333,0.3333,0.3333,0.3333,0.3333
N08-Shubert3D,NCDE,current,6,400000,81,30,0.3333,0.3333,0.3333,0.3333,0.3333
N08-Shubert3D,NCDE,current,7,400000,81,30,0.3333,0.3333,0.3333,0.3333,0.3333
N08-Shubert3D,NCDE,current,8,400000,81,30,0.3333,0.3333,0.3333,0.3333,0.3333
N08-Shubert3D,NCDE,current,9,400000,81,30,0.3210,0.3210,0.3210,0.3210,0.2222
N08-Shubert3D,NCDE,current,10,400000,81,30,0.3333,0.3333,0.3333,0.3333,0.3333
N08-Shubert3D,NCDE,current,11,400000,81,30,0.3333,0.3333,0.3333,0.3333,0.3333
N08-Shubert3D,NCDE,current,12,400000,81,30,0.3333,0.3333,0.3333,0.3333,0.3333
