function,method,rule,seed,evals,n_optima,n_reported,pr_1e-1,pr_1e-2,pr_1e-3,pr_1e-4,pr_1e-5
N09-Vincent3D,MC-ESO,current,0,400000,216,226,0.1574,0.1574,0.1574,0.1574,0.1574
N09-Vincent3D,MC-ESO,current,1,400000,216,226,0.1620,0.1620,0.1620,0.1620,0.1620
N09-Vincent3D,MC-ESO,current,2,400000,216,226,0.1759,0.1759,0.1759,0.1759,0.1759
N09-Vincent3D,MC-ESO,current,3,400000,216,226,0.1806,0.1806,0.1806,0.1806,0.1806
N09-Vincent3D,MC-ESO,current,4,400000,216,226,0.1806,0.1806,0.1806,0.1806,0.1806
N09-Vincent3D,MC-ESO,current,5,400000,216,226,0.1713,0.1713,0.1713,0.1713,0.1713
N09-Vincent3D,MC-ESO,current,6,400000,216,226,0.1667,0.1667,0.1667,0.1667,0.1667
N09-Vincent3D,MC-ESO,current,7,400000,216,226,0.1620,0.1620,0.1620,0.1620,0.1620
N09-Vincent3D,MC-ESO,current,8,400000,216,226,0.1898,0.1898,0.1898,0.1898,0.1898
N09-Vincent3D,MC-ESO,current,9,400000,216,226,0.1806,0.1806,0.1806,0.1806,0.1759
N09-Vincent3D,MC-ESO,current,10,400000,216,226,0.2083,0.1667,0.1667,0.1667,0.1667
N09-Vincent3D,MC-ESO,current,11,400000,216,226,0.1435,0.1435,0.1435,0.1435,0.1435
N09-Vincent3D,MC-ESO,current,12,400000,216,226,0.1667,0.1667,0.1667,0.1667,0.1667
N09-Vincent3D,MC-ESO,current,13,400000,216,226,0.1852,0.1806,0.1806,0.1806,0.1806
N09-Vincent3D,MC-ESO,current,14,400000,216,226,0.2083,0.1667,0.1667,0.1667,0.1667
N09-Vincent3D,MC-ESO-crowd,current,0,400000,216,226,0.2037,0.1898,0.1898,0.1111,0.0463
N09-Vincent3D,MC-ESO-crowd,current,1,400000,216,226,0.2083,0.1944,0.1944,0.1296,0.0417
N09-Vincent3D,MC-ESO-crowd,current,2,400000,216,226,0.2269,0.1944,0.1944,0.1250,0.0417
N09-Vincent3D,MC-ESO-crowd,current,3,400000,216,226,0.1759,0.1713,0.1713,0.1204,0.0417
N09-Vincent3D,MC-ESO-crowd,current,4,400000,216,226,0.2083,0.2037,0.2037,0.1065,0.0370
N09-Vincent3D,MC-ESO-crowd,current,5,400000,216,226,0.1944,0.1852,0.1852,0.1296,0.0509
N09-Vincent3D,MC-ESO-crowd,current,6,400000,216,226,0.1157,0.1019,0.1019,0.1019,0.0509
