function,method,rule,seed,evals,n_optima,n_reported,pr_1e-1,pr_1e-2,pr_1e-3,pr_1e-4,pr_1e-5
N10-ModRastrigin2D,MC-ESO,current,0,200000,12,100,1.0000,1.0000,1.0000,1.0000,1.0000
N10-ModRastrigin2D,MC-ESO,current,1,200000,12,100,1.0000,1.0000,1.0000,1.0000,1.0000
N10-ModRastrigin2D,MC-ESO,current,2,200000,12,100,1.0000,1.0000,1.0000,1.0000,1.0000
N10-ModRastrigin2D,MC-ESO,current,3,200000,12,100,1.0000,1.0000,1.0000,1.0000,1.0000
N10-ModRastrigin2D,MC-ESO,current,4,200000,12,100,1.0000,1.0000,1.0000,1.0000,1.0000
N10-ModRastrigin2D,MC-ESO,current,5,200000,12,100,1.0000,1.0000,1.0000,1.0000,1.0000
N10-ModRastrigin2D,MC-ESO,current,6,200000,12,100,1.0000,1.0000,1.0000,1.0000,1.0000
N10-ModRastrigin2D,MC-ESO,current,7,200000,12,100,1.0000,1.0000,1.0000,1.0000,1.0000
N10-ModRastrigin2D,MC-ESO,current,8,200000,12,100,1.0000,1.0000,1.0000,1.0000,1.0000
N10-ModRastrigin2D,MC-ESO,current,9,200000,12,100,1.0000,1.0000,1.0000,1.0000,1.0000
N10-ModRastrigin2D,MC-ESO,current,10,200000,12,100,1.0000,1.0000,1.0000,1.0000,1.0000
N10-ModRastrigin2D,MC-ESO,current,11,200000,12,100,1.0000,1.0000,1.0000,1.0000,1.0000
N10-ModRastrigin2D,MC-ESO,current,12,200000,12,100,1.0000,1.0000,1.0000,1.0000,1.0000
N10-ModRastrigin2D,MC-ESO,current,13,200000,12,100,1.0000,1.0000,1.0000,1.0000,1.0000
N10-ModRastrigin2D,MC-ESO,current,14,200000,12,100,1.0000,1.0000,1.0000,1.0000,1.0000
N10-ModRastrigin2D,MC-ESO-crowd,current,0,200000,12,100,0.0833,0.0833,0.0833,0.0833,0.0833
N10-ModRastrigin2D,MC-ESO-crowd,current,1,200000,12,100,1.0000,1.0000,1.0000,1.0000,0.7500
N10-ModRastrigin2D,MC-ESO-crowd,current,2,200000,12,100,1.0000,1.0000,1.0000,0.9167,0.6667
N10-ModRastrigin2D,MC-ESO-crowd,current,3,200000,12,100,0.0833,0.0833,0.0833,0.0833,0.0833
N10-ModRastrigin2D,MC-ESO-crowd,current,4,200000,12,100,0.0833,0.0833,0.0833,0.0833,0.0833
N10-ModRastrigin2D,MC-ESO-crowd,current,5,200000,12,100,0.0833,0.0833,0.0833,0.0833,0.0833
N10-ModRastrigin2D,MC-ESO-crowd,current,6,200000,12,100,0.0833,0.0833,0.0833,0.0833,0.0833
N10-ModRastrigin2D,MC-ESO-crowd,current,7,200000,12,100,0.1667,0.1667,0.1667,0.1667,0.1667
N10-ModRastrigin2D,MC-ESO-crowd,current,8,200000,12,100,0.5833,0.5833,0.5833,0.5833,0.5833
N10-ModRastrigin2D,MC-ESO-crowd,current,9,200000,12,100,0.3333,0.3333,0.3333,0.3333,0.3333
N10-ModRastrigin2D,MC-ESO-crowd,current,10,200000,12,100,0.0833,0.0833,0.0833,0.0833,0.0833
N10-ModRastrigin2D,MC-ESO-crowd,current,11,200000,12,100,0.0833,0.0833,0.0833,0.0833,0.0833
N10-ModRastrigin2D,MC-ESO-crowd,current,12,200000,12,100,0.0833,0.0833,0.0833,0.0833,0.0833
N10-ModRastrigin2D,MC-ESO-crowd,current,13,200000,12,100,0.0833,0.0833,0.0833,0.0833,0.0833
N10-ModRastrigin2D,MC-ESO-crowd,current,14,200000,12,100,0.0833,0.0833,0.0833,0.0833,0.0833
N10-ModRastrigin2D,NCDE,current,0,200000,12,30,1.0000,1.0000,1.0000,1.0000,1.0000
N10-ModRastrigin2D,NCDE,current,1,200000,12,30,1.0000,1.0000,1.0000,1.0000,1.0000
N10-ModRastrigin2D,NCDE,current,2,200000,12,30,1.0000,1.0000,1.0000,1.0000,1.0000
N10-ModRastrigin2D,NCDE,current,3,200000,12,30,1.0000,1.0000,1.0000,1.0000,1.0000
N10-ModRastrigin2D,NCDE,current,4,200000,12,30,1.0000,1.0000,1.0000,1.0000,1.0000
N10-ModRastrigin2D,NCDE,current,5,200000,12,30,0.8333,0.8333,0.8333,0.8333,0.7500
N10-ModRastrigin2D,NCDE,current,6,200000,12,30,1.0000,1.0000,1.0000,1.0000,1.0000
N10-ModRastrigin2D,NCDE,current,7,200000,12,30,1.0000,1.0000,1.0000,1.0000,1.0000
N10-ModRastrigin2D,NCDE,current,8,200000,12,30,1.0000,1.0000,1.0000,1.0000,1.0000
N10-ModRastrigin2D,NCDE,current,9,200000,12,30,1.0000,1.0000,1.0000,1.0000,1.0000
N10-ModRastrigin2D,NCDE,current,10,200000,12,30,1.0000,1.0000,1.0000,1.0000,1.0000
N10-ModRastrigin2D,NCDE,current,11,200000,12,30,0.8333,0.8333,0.8333,0.8333,0.8333
N10-ModRastrigin2D,NCDE,current,12,200000,12,30,0.9167,0.9167,0.9167,0.9167,0.9167
N10-ModRastrigin2D,NCDE,current,13,200000,12,30,1.0000,1.0000,1.0000,1.0000,1.0000
N10-ModRastrigin2D,NCDE,current,14,200000,12,30,1.0000,1.0000,1.0000,1.0000,1.0000
N10-ModRastrigin2D,r3pso,current,0,200000,12,30,0.5833,0.5833,0.5833,0.5833,0.5833
N10-ModRastrigin2D,r3pso,current,1,200000,12,30,0.3333,0.3333,0.3333,0.3333,0.3333
N10-ModRastrigin2D,r3pso,current,2,200000,12,30,0.5833,0.5833,0.4167,0.4167,0.4167
N10-ModRastrigin2D,r3pso,current,3,200000,12,30,0.5000,0.5000,0.5000,0.5000,0.5000
N10-ModRastrigin2D,r3pso,current,4,200000,12,30,0.4167,0.4167,0.4167,0.4167,0.3333
N10-ModRastrigin2D,r3pso,current,5,200000,12,30,0.5000,0.5000,0.5000,0.5000,0.5000
N10-ModRastrigin2D,r3pso,current,6,200000,12,30,0.4167,0.4167,0.3333,0.2500,0.2500
N10-ModRastrigin2D,r3pso,current,7,200000,12,30,0.4167,0.4167,0.4167,0.4167,0.3333
N10-ModRastrigin2D,r3pso,current,8,200000,12,30,0.5000,0.5000,0.5000,0.5000,0.4167
N10-ModRastrigin2D,r3pso,current,9,200000,12,30,0.3333,0.3333,0.3333,0.3333,0.3333
N10-ModRastrigin2D,r3pso,current,10,200000,12,30,0.4167,0.4167,0.4167,0.4167,0.4167
N10-ModRastrigin2D,r3pso,current,11,200000,12,30,0.4167,0.4167,0.3333,0.3333,0.3333
N10-ModRastrigin2D,r3pso,current,12,200000,12,30,0.5000,0.5000,0.5000,0.5000,0.5000
N10-ModRastrigin2D,r3pso,current,13,200000,12,30,0.4167,0.4167,0.4167,0.4167,0.4167
N10-ModRastrigin2D,r3pso,current,14,200000,12,30,0.3333,0.3333,0.3333,0.3333,0.3333
N10-ModRastrigin2D,DE,current,0,200000,12,30,0.0833,0.0833,0.0833,0.0833,0.0833
N10-ModRastrigin2D,DE,current,1,200000,12,30,0.0833,0.0833,0.0833,0.0833,0.0833
N10-ModRastrigin2D,DE,current,2,200000,12,30,0.0833,0.0833,0.0833,0.0833,0.0833
N10-ModRastrigin2D,DE,current,3,200000,12,30,0.0833,0.0833,0.0833,0.0833,0.0833
N10-ModRastrigin2D,DE,current,4,200000,12,30,0.0833,0.0833,0.0833,0.0833,0.0833
N10-ModRastrigin2D,DE,current,5,200000,12,30,0.0833,0.0833,0.0833,0.0833,0.0833
N10-ModRastrigin2D,DE,current,6,200000,12,30,0.0833,0.0833,0.0833,0.0833,0.0833
N10-ModRastrigin2D,DE,current,7,200000,12,30,0.0833,0.0833,0.0833,0.0833,0.0833
N10-ModRastrigin2D,DE,current,8,200000,12,30,0.0833,0.0833,0.0833,0.0833,0.0833
N10-ModRastrigin2D,DE,current,9,200000,12,30,0.0833,0.0833,0.0833,0.0833,0.0833
N10-ModRastrigin2D,DE,current,10,200000,12,30,0.0833,0.0833,0.0833,0.0833,0.0833
N10-ModRastrigin2D,DE,current,11,200000,12,30,0.0833,0.0833,0.0833,0.0833,0.0833
N10-ModRastrigin2D,DE,current,12,200000,12,30,0.0833,0.0833,0.0833,0.0833,0.0833
N10-ModRastrigin2D,DE,current,13,200000,12,30,0.0833,0.0833,0.0833,0.0833,0.0833
N10-ModRastrigin2D,DE,current,14,200000,12,30,0.0833,0.0833,0.0833,0.0833,0.0833
N10-ModRastrigin2D,NM-Restart,current,0,200000,12,100,1.0000,1.0000,1.0000,1.0000,1.0000
N10-ModRastrigin2D,NM-Restart,current,1,200000,12,100,1.0000,1.0000,1.0000,1.0000,1.0000
N10-ModRastrigin2D,NM-Restart,current,2,200000,12,100,1.0000,1.0000,1.0000,1.0000,1.0000
N10-ModRastrigin2D,NM-Restart,current,3,200000,12,100,1.0000,1.0000,1.0000,1.0000,1.0000
N10-ModRastrigin2D,NM-Restart,current,4,200000,12,100,1.0000,1.0000,1.0000,1.0000,1.0000
N10-ModRastrigin2D,NM-Restart,current,5,200000,12,100,1.0000,1.0000,1.0000,1.0000,1.0000
N10-ModRastrigin2D,NM-Restart,current,6,200000,12,100,1.0000,1.0000,1.0000,1.0000,1.0000
N10-ModRastrigin2D,NM-Restart,current,7,200000,12,100,1.0000,1.0000,1.0000,1.0000,1.0000
N10-ModRastrigin2D,NM-Restart,current,8,200000,12,100,1.0000,1.0000,1.0000,1.0000,1.0000
N10-ModRastrigin2D,NM-Restart,current,9,200000,12,100,1.0000,1.0000,1.0000,1.0000,1.0000
N10-ModRastrigin2D,NM-Restart,current,10,200000,12,100,1.0000,1.0000,1.0000,1.0000,1.0000
N10-ModRastrigin2D,NM-Restart,current,11,200000,12,100,1.0000,1.0000,1.0000,1.0000,1.0000
N10-ModRastrigin2D,NM-Restart,current,12,200000,12,100,1.0000,1.0000,1.0000,1.0000,1.0000
N10-ModRastrigin2D,NM-Restart,current,13,200000,12,100,1.0000,1.0000,1.0000,1.0000,1.0000
N10-ModRastrigin2D,NM-Restart,current,14,200000,12,100,1.0000,1.0000,1.0000,1.0000,1.0000
N10-ModRastrigin2D,NMMSO,current,0,200000,12,12,1.0000,1.0000,1.0000,1.0000,1.0000
N10-ModRastrigin2D,NMMSO,current,1,200000,12,12,1.0000,1.0000,1.0000,1.0000,1.0000
N10-ModRastrigin2D,NMMSO,current,2,200000,12,12,1.0000,1.0000,1.0000,1.0000,1.0000
N10-ModRastrigin2D,NMMSO,current,3,200000,12,14,1.0000,1.0000,1.0000,1.0000,1.0000
N10-ModRastrigin2D,NMMSO,current,4,200000,12,12,1.0000,1.0000,1.0000,1.0000,1.0000
N10-ModRastrigin2D,NMMSO,current,5,200000,12,13,1.0000,1.0000,1.0000,1.0000,1.0000
