function,dim,evals,seed,exhausted,f_at_exh,best_f,post_gain,n_level_release,div_t07,div_t08
F01-Sphere,2,20000,0,True,0.0,0.0,0.0,1016,838,970
F01-Sphere,2,20000,1,True,0.0,0.0,0.0,1150,992,1150
F01-Sphere,2,20000,2,True,0.0,0.0,0.0,770,748,770
F01-Sphere,2,20000,3,True,0.0,0.0,0.0,990,858,990
F01-Sphere,2,20000,4,True,0.0,0.0,0.0,1045,866,1023
F02-EllipsoidalSep,2,20000,0,True,0.0,0.0,0.0,1148,1082,1148
F02-EllipsoidalSep,2,20000,1,True,0.0,0.0,0.0,1415,1257,1393
F02-EllipsoidalSep,2,20000,2,True,0.0,0.0,0.0,1200,1178,1200
F02-EllipsoidalSep,2,20000,3,True,0.0,0.0,0.0,1505,1275,1482
F02-EllipsoidalSep,2,20000,4,True,0.0,0.0,0.0,792,726,792
F03-RastriginSep,2,20000,0,True,0.0,0.0,0.0,506,484,506
F03-RastriginSep,2,20000,1,True,0.0,0.0,0.0,462,440,462
F03-RastriginSep,2,20000,2,True,0.0,0.0,0.0,484,418,484
F03-RastriginSep,2,20000,3,True,0.0,0.0,0.0,440,418,440
F03-RastriginSep,2,20000,4,True,0.0,0.0,0.0,396,308,396
F04-BucheRastrigin,2,20000,0,True,0.0,0.0,0.0,132,110,132
F04-BucheRastrigin,2,20000,1,True,0.0,0.0,0.0,132,110,132
F04-BucheRastrigin,2,20000,2,True,0.0,0.0,0.0,330,264,308
F04-BucheRastrigin,2,20000,3,True,0.0,0.0,0.0,176,154,176
F04-BucheRastrigin,2,20000,4,True,0.0,0.0,0.0,220,176,220
F05-LinearSlope,2,20000,0,True,0.0,0.0,0.0,1997,0,0
F05-LinearSlope,2,20000,1,True,0.0,0.0,0.0,2058,0,0
F05-LinearSlope,2,20000,2,True,0.0,0.0,0.0,2055,0,0
F05-LinearSlope,2,20000,3,True,0.0,0.0,0.0,2063,0,0
F05-LinearSlope,2,20000,4,True,0.0,0.0,0.0,1945,0,0
F06-AttractiveSector,2,20000,0,True,0.0,0.0,0.0,616,550,616
F06-AttractiveSector,2,20000,1,True,2.842170943040401e-14,2.842170943040401e-14,0.0,660,616,660
F06-AttractiveSector,2,20000,2,False,,4.3341344735381426e-08,nan,0,0,0
F06-AttractiveSector,2,20000,3,True,7.105427357601002e-15,7.105427357601002e-15,0.0,773,751,773
F06-AttractiveSector,2,20000,4,True,1.4210854715202004e-14,1.4210854715202004e-14,0.0,572,528,572
F07-StepEllipsoidal,2,20000,0,True,0.0,0.0,0.0,2667,0,0
F07-StepEllipsoidal,2,20000,1,True,0.0,0.0,0.0,2654,0,0
F07-StepEllipsoidal,2,20000,2,True,0.0,0.0,0.0,2736,0,0
F07-StepEllipsoidal,2,20000,3,True,0.0,0.0,0.0,2647,0,0
F07-StepEllipsoidal,2,20000,4,True,0.0,0.0,0.0,2707,0,0
F08-Rosenbrock,2,20000,0,True,0.0,0.0,0.0,858,792,858
F08-Rosenbrock,2,20000,1,True,0.0,0.0,0.0,572,528,572
F08-Rosenbrock,2,20000,2,True,0.0,0.0,0.0,650,584,650
F08-Rosenbrock,2,20000,3,True,0.0,0.0,0.0,682,616,682
F08-Rosenbrock,2,20000,4,True,0.0,0.0,0.0,748,616,726
F09-RosenbrockRot,2,20000,0,True,0.0,0.0,0.0,885,797,863
F09-RosenbrockRot,2,20000,1,True,0.0,0.0,0.0,814,704,814
F09-RosenbrockRot,2,20000,2,True,0.0,0.0,0.0,858,748,836
F09-RosenbrockRot,2,20000,3,True,0.0,0.0,0.0,814,770,814
F09-RosenbrockRot,2,20000,4,True,0.0,0.0,0.0,858,836,858
F10-EllipsoidalRot,2,20000,0,True,0.0,0.0,0.0,1019,994,1019
F10-EllipsoidalRot,2,20000,1,True,0.0,0.0,0.0,1276,1071,1196
F10-EllipsoidalRot,2,20000,2,True,0.0,0.0,0.0,1812,1235,1642
F10-EllipsoidalRot,2,20000,3,True,0.0,0.0,0.0,1100,1010,1100
F10-EllipsoidalRot,2,20000,4,True,0.0,0.0,0.0,1830,984,1641
F11-Discus,2,20000,0,True,0.0,0.0,0.0,1271,1133,1240
F11-Discus,2,20000,1,True,0.0,0.0,0.0,1845,1010,1709
F11-Discus,2,20000,2,True,0.0,0.0,0.0,1820,1130,1712
F11-Discus,2,20000,3,True,0.0,0.0,0.0,2077,998,1856
F11-Discus,2,20000,4,True,0.0,0.0,0.0,2133,978,1875
