function,dim,evals,seed,exhausted,f_at_exh,best_f,post_gain,n_level_release,div_t07,div_t08
F17-SchafferF7,5,20000,0,False,,0.11032898759450305,nan,0,0,0
F17-SchafferF7,5,20000,1,False,,0.00024933145351013764,nan,0,0,0
F17-SchafferF7,5,20000,2,False,,2.6333271677003722e-05,nan,0,0,0
F17-SchafferF7,5,20000,3,False,,0.03339134628725304,nan,0,0,0
F17-SchafferF7,5,20000,4,False,,0.09308355385613964,nan,0,0,0
F17-SchafferF7,5,20000,5,False,,0.08673650638384345,nan,0,0,0
F17-SchafferF7,5,20000,6,False,,0.04752346749656766,nan,0,0,0
F17-SchafferF7,5,20000,7,False,,0.04951503604336693,nan,0,0,0
F17-SchafferF7,5,20000,8,False,,0.010379537371402847,nan,0,0,0
F17-SchafferF7,5,20000,9,False,,2.648779400260537e-06,nan,0,0,0
F18-SchafferF7ill,5,20000,0,False,,0.272391611792937,nan,0,0,0
F18-SchafferF7ill,5,20000,1,False,,0.05276668041605603,nan,0,0,0
F18-SchafferF7ill,5,20000,2,False,,0.03173791757911104,nan,0,0,0
F18-SchafferF7ill,5,20000,3,False,,0.3116885732536616,nan,0,0,0
F18-SchafferF7ill,5,20000,4,False,,0.1968779411459849,nan,0,0,0
F18-SchafferF7ill,5,20000,5,False,,0.06033684970672226,nan,0,0,0
F18-SchafferF7ill,5,20000,6,False,,0.23384236965024385,nan,0,0,0
F18-SchafferF7ill,5,20000,7,False,,0.02205360466689754,nan,0,0,0
F18-SchafferF7ill,5,20000,8,False,,0.10120546170606204,nan,0,0,0
F18-SchafferF7ill,5,20000,9,False,,0.0069757908121168555,nan,0,0,0
F20-Schwefel,5,20000,0,False,,1.5397201044693247,nan,0,0,0
F20-Schwefel,5,20000,1,False,,1.17585246925114,nan,0,0,0
F20-Schwefel,5,20000,2,False,,0.5922134275268718,nan,0,0,0
F20-Schwefel,5,20000,3,False,,0.4737533384577546,nan,0,0,0
F20-Schwefel,5,20000,4,False,,0.8685586796577809,nan,0,0,0
F20-Schwefel,5,20000,5,False,,1.1449093464677844,nan,0,0,0
F20-Schwefel,5,20000,6,False,,1.1673215923553926,nan,0,0,0
F20-Schwefel,5,20000,7,False,,1.500429861785392,nan,0,0,0
F20-Schwefel,5,20000,8,False,,1.0659667659748493,nan,0,0,0
F20-Schwefel,5,20000,9,False,,1.0659667659750767,nan,0,0,0
F21-Gallagher101,5,20000,0,True,0.0,0.0,0.0,27,27,27
F21-Gallagher101,5,20000,1,False,,1.2452555354944579,nan,0,0,0
F21-Gallagher101,5,20000,2,False,,2.4729738586088885,nan,0,0,0
F21-Gallagher101,5,20000,3,False,,1.245255535853218,nan,0,0,0
F21-Gallagher101,5,20000,4,False,,7.105427357601002e-15,nan,0,0,0
F21-Gallagher101,5,20000,5,True,0.0,0.0,0.0,99,30,30
F21-Gallagher101,5,20000,6,False,,3.1698061131555804,nan,0,0,0
F21-Gallagher101,5,20000,7,False,,1.2452555353194796,nan,0,0,0
F21-Gallagher101,5,20000,8,False,,2.7779884630691214,nan,0,0,0
F21-Gallagher101,5,20000,9,True,0.0,0.0,0.0,97,28,28
F23-Katsuura,5,20000,0,False,,1.8698203998468443e-06,nan,0,0,0
F23-Katsuura,5,20000,1,False,,2.248329531440163e-07,nan,0,0,0
F23-Katsuura,5,20000,2,False,,3.410857292607261e-06,nan,0,0,0
F23-Katsuura,5,20000,3,True,1.2308277952399749e-08,1.2308277952399749e-08,0.0,0,0,0
F23-Katsuura,5,20000,4,False,,2.1210761573797754e-06,nan,0,0,0
F23-Katsuura,5,20000,5,False,,0.26809456222270356,nan,0,0,0
F23-Katsuura,5,20000,6,False,,0.07853756855719318,nan,0,0,0
F23-Katsuura,5,20000,7,False,,0.07939650351275329,nan,0,0,0
F23-Katsuura,5,20000,8,False,,4.91496732202279e-07,nan,0,0,0
F23-Katsuura,5,20000,9,True,7.245264832533849e-08,7.245264832533849e-08,0.0,0,0,0
F24-LunacekRastrigin,5,20000,0,False,,5.387272799896564,nan,0,0,0
F24-LunacekRastrigin,5,20000,1,False,,3.6766347394727887,nan,0,0,0
F24-LunacekRastrigin,5,20000,2,False,,6.142579807714824,nan,0,0,0
F24-LunacekRastrigin,5,20000,3,False,,5.693163284498851,nan,0,0,0
F24-LunacekRastrigin,5,20000,4,False,,5.49848006753416,nan,0,0,0
F24-LunacekRastrigin,5,20000,5,False,,0.8015674160607063,nan,0,0,0
F24-LunacekRastrigin,5,20000,6,False,,5.726969244517278,nan,0,0,0
F24-LunacekRastrigin,5,20000,7,False,,6.1722354026896795,nan,0,0,0
F24-LunacekRastrigin,5,20000,8,False,,1.748617537771267,nan,0,0,0
F24-LunacekRastrigin,5,20000,9,False,,7.408390054085288,nan,0,0,0
