function,seed,div_ev,bank_ev,base_best_f,var_best_f,same
F17-SchafferF7,0,-1,2348,3.552713678800501e-15,3.552713678800501e-15,True
F17-SchafferF7,1,-1,990,2.8777666198465113e-05,2.8777666198465113e-05,True
F17-SchafferF7,2,-1,9282,3.552713678800501e-15,3.552713678800501e-15,True
F17-SchafferF7,3,5590,2494,3.552713678800501e-15,3.552713678800501e-15,True
F17-SchafferF7,4,-1,1143,2.8777732861584582e-05,2.8777732861584582e-05,True
F17-SchafferF7,5,11855,2963,4.92034146759579e-09,4.92034146759579e-09,True
F17-SchafferF7,6,-1,2359,3.552713678800501e-15,3.552713678800501e-15,True
F17-SchafferF7,7,12145,2378,3.552713678800501e-15,3.552713678800501e-15,True
F17-SchafferF7,8,7080,2484,1.2434497875801753e-13,1.2434497875801753e-13,True
F17-SchafferF7,9,7916,5900,1.6981971384666394e-12,1.6981971384666394e-12,True
F18-SchafferF7ill,0,-1,2598,3.552713678800501e-15,3.552713678800501e-15,True
F18-SchafferF7ill,1,-1,2358,3.552713678800501e-15,3.552713678800501e-15,True
F18-SchafferF7ill,2,-1,3318,3.552713678800501e-15,3.552713678800501e-15,True
F18-SchafferF7ill,3,-1,17753,3.552713678800501e-15,3.552713678800501e-15,True
F18-SchafferF7ill,4,10669,3118,3.552713678800501e-15,3.552713678800501e-15,True
F18-SchafferF7ill,5,-1,3274,3.552713678800501e-15,3.552713678800501e-15,True
F18-SchafferF7ill,6,8635,3308,3.552713678800501e-15,3.552713678800501e-15,True
F18-SchafferF7ill,7,-1,2583,8.419931418757187e-13,8.419931418757187e-13,True
F18-SchafferF7ill,8,4255,2673,9.308109838457312e-13,9.308109838457312e-13,True
F18-SchafferF7ill,9,4100,2483,3.552713678800501e-15,3.552713678800501e-15,True
F20-Schwefel,0,4573,2399,0.0,0.0,True
F20-Schwefel,1,2530,1061,0.0,0.0,True
F20-Schwefel,2,2565,1183,0.0,0.0,True
F20-Schwefel,3,2949,1527,0.0,0.0,True
F20-Schwefel,4,5058,2861,0.0,0.0,True
F20-Schwefel,5,6013,3157,0.0,0.0,True
F20-Schwefel,6,3978,2521,0.0,0.0,True
F20-Schwefel,7,5818,4380,0.0,0.0,True
F20-Schwefel,8,3270,1113,0.0,0.0,True
F20-Schwefel,9,5858,4467,0.0,0.0,True
F23-Katsuura,0,-1,2483,0.0,0.0,True
F23-Katsuura,1,-1,2294,3.3378377484183375e-07,3.3378377484183375e-07,True
F23-Katsuura,2,-1,2248,0.0,0.0,True
F23-Katsuura,3,-1,2532,1.6786064982454718e-07,1.6786064982454718e-07,True
F23-Katsuura,4,-1,3294,0.0,0.0,True
F23-Katsuura,5,-1,1269,3.763925878530472e-06,3.763925878530472e-06,True
F23-Katsuura,6,-1,2203,6.181721801112872e-13,6.181721801112872e-13,True
F23-Katsuura,7,-1,2379,0.0,0.0,True
F23-Katsuura,8,-1,2588,0.0,0.0,True
F23-Katsuura,9,-1,2539,1.2372325386422744e-12,1.2372325386422744e-12,True
F24-LunacekRastrigin,0,-1,12454,0.4463877276246251,0.4463877276246251,True
F24-LunacekRastrigin,1,13420,11879,0.0,0.0,True
F24-LunacekRastrigin,2,-1,15784,0.023226287087211972,0.023226287087211972,True
F24-LunacekRastrigin,3,-1,4134,0.09293289159823814,0.09293289159823814,True
F24-LunacekRastrigin,4,-1,13521,0.0,0.0,True
F24-LunacekRastrigin,5,-1,19984,7.23332505003782e-12,7.23332505003782e-12,True
F24-LunacekRastrigin,6,-1,11949,0.0,0.0,True
F24-LunacekRastrigin,7,-1,8413,0.0,0.0,True
F24-LunacekRastrigin,8,-1,1976,0.023226285763982446,0.023226285763982446,True
F24-LunacekRastrigin,9,-1,8007,0.0,0.0,True
