function,K,seed,hunt,eval,f,switch,exhausted,sigma_span,no_improve,distinct
N08-Shubert3D,81,0,0,690,916.2408469987843,0,0,0.006983144377513066,452,0
N08-Shubert3D,81,0,1,1159,916.2407515081961,0,0,0.0010664783557949376,450,0
N08-Shubert3D,81,0,2,1628,916.2407515081961,1,0,0.00019508726967081458,450,1
N08-Shubert3D,81,0,3,4433,-7.73070496506989e-12,1,1,1e-06,1350,1
N08-Shubert3D,81,0,4,5038,0.002262078777221177,1,1,0.00011660870706132842,585,1
N08-Shubert3D,81,0,5,5778,916.240832170274,1,1,1.4489118831577082e-06,720,1
N08-Shubert3D,81,0,6,6518,0.08499030135271823,1,1,1.4489118831577082e-06,720,1
N08-Shubert3D,81,0,7,7153,0.002247111930500978,1,1,4.397891738583752e-05,615,1
N08-Shubert3D,81,0,8,7843,0.0025724376928337733,1,1,7.359574689303619e-06,670,0
N08-Shubert3D,81,0,9,8483,0.0011451858822510985,1,1,3.7382079777961895e-05,620,1
N08-Shubert3D,81,0,10,9223,1556.9993512178141,1,1,1.4489118831577082e-06,720,1
N08-Shubert3D,81,0,11,9963,916.2407623485269,1,1,1.4489118831577082e-06,720,1
N08-Shubert3D,81,0,12,10703,916.2407349278944,1,1,1.4489118831577082e-06,720,1
N08-Shubert3D,81,0,13,11333,0.0002657512281984964,1,1,5.173990280686767e-05,610,1
N08-Shubert3D,81,0,14,12008,0.0011149487800139468,1,1,1.1983838289116417e-05,655,1
N08-Shubert3D,81,0,15,12648,0.0016488729161210358,1,1,3.7382079777961895e-05,620,0
N08-Shubert3D,81,0,16,13303,0.0002814539366227109,1,1,2.2957269743640846e-05,635,1
N08-Shubert3D,81,0,17,14043,1298.0321142362309,1,1,1.4489118831577082e-06,720,1
N08-Shubert3D,81,0,18,14708,0.0005031200821576931,1,1,1.658662738978051e-05,645,0
N08-Shubert3D,81,0,19,15368,0.002154655679987627,1,1,1.951367928209472e-05,640,1
N08-Shubert3D,81,0,20,16033,0.002340723767702002,1,1,1.658662738978051e-05,645,1
N08-Shubert3D,81,0,21,16688,0.001994851608742465,1,1,2.2957269743640846e-05,635,0
N08-Shubert3D,81,0,22,17428,1298.0321246251965,1,1,1.4489118831577082e-06,720,0
N08-Shubert3D,81,0,23,18068,0.001749492330418434,1,1,3.7382079777961895e-05,620,1
N08-Shubert3D,81,0,24,18708,0.0018370904317634995,1,1,3.7382079777961895e-05,620,1
N08-Shubert3D,81,0,25,19358,0.0025012719470396405,1,1,2.7008552639577468e-05,630,0
N08-Shubert3D,81,0,26,20003,0.001530496650502755,1,1,3.177476781126761e-05,625,1
N08-Shubert3D,81,0,27,20628,0.0021903831793679274,1,1,6.0870473890432556e-05,605,0
N08-Shubert3D,81,0,28,21368,916.2407906509313,1,1,1.4489118831577082e-06,720,1
N08-Shubert3D,81,0,29,22108,1556.9993619826157,1,1,1.4489118831577082e-06,720,1
N08-Shubert3D,81,0,30,22848,922.7430573790227,1,1,1.4489118831577082e-06,720,1
N08-Shubert3D,81,0,31,23493,0.0011469974124338478,1,1,3.177476781126761e-05,625,0
N08-Shubert3D,81,0,32,24168,0.000841870117255894,1,1,1.1983838289116417e-05,655,1
N08-Shubert3D,81,0,33,24753,0.0015511011915805284,1,1,0.00022338565306704358,565,1
N08-Shubert3D,81,0,34,25423,0.0010019678397839016,1,1,1.4098633281313433e-05,650,1
N08-Shubert3D,81,0,35,26163,916.240833648126,1,1,1.4489118831577082e-06,720,1
N08-Shubert3D,81,0,36,26843,0.0015110264289432962,1,1,1.0186262545748954e-05,660,1
N08-Shubert3D,81,0,37,27583,1556.9993762466434,1,1,1.4489118831577082e-06,720,1
N08-Shubert3D,81,0,38,28323,916.2408198740347,1,1,1.4489118831577082e-06,720,1
N08-Shubert3D,81,0,39,28988,0.0010179365895055525,1,1,1.658662738978051e-05,645,0
N08-Shubert3D,81,0,40,29728,4.429798804842449,1,1,1.4489118831577082e-06,720,1
N08-Shubert3D,81,0,41,30468,0.5291896711701156,1,1,1.4489118831577082e-06,720,1
N08-Shubert3D,81,0,42,31208,1990.6775014016298,1,1,1.4489118831577082e-06,720,1
N08-Shubert3D,81,0,43,31853,0.002358703295158193,1,1,3.177476781126761e-05,625,0
N08-Shubert3D,81,0,44,32478,0.0018310096097593487,1,1,6.0870473890432556e-05,605,1
N08-Shubert3D,81,0,45,33073,0.002165688645618502,1,1,0.000161396134340939,575,1
N08-Shubert3D,81,0,46,33713,0.002257319949421799,1,1,3.7382079777961895e-05,620,1
N08-Shubert3D,81,0,47,34453,1298.0321068586804,1,1,1.4489118831577082e-06,720,1
N08-Shubert3D,81,0,48,35123,0.002322033034033666,1,1,1.4098633281313433e-05,650,1
N08-Shubert3D,81,0,49,35733,0.0014034252985766216,1,1,9.911740100212916e-05,590,1
N08-Shubert3D,81,0,50,36393,0.0015756475409034465,1,1,1.951367928209472e-05,640,1
N08-Shubert3D,81,0,51,37133,0.5408239480207158,1,1,1.4489118831577082e-06,720,1
N08-Shubert3D,81,0,52,37753,0.0015102261754691426,1,1,7.161232222403831e-05,600,1
N08-Shubert3D,81,0,53,38493,0.019264615274551034,1,1,1.4489118831577082e-06,720,0
N08-Shubert3D,81,0,54,39158,0.0016936423694460245,1,1,1.658662738978051e-05,645,1
N08-Shubert3D,81,0,55,39808,0.00117083911482041,1,1,2.7008552639577468e-05,630,1
N08-Shubert3D,81,1,0,3950,-5.9117155615240335e-12,1,1,1e-06,1351,1
N08-Shubert3D,81,1,1,4585,0.002032513145422854,1,1,4.397891738583752e-05,615,0
N08-Shubert3D,81,1,2,5325,576.9065673670984,1,1,1.4489118831577082e-06,720,1
N08-Shubert3D,81,1,3,6065,916.2408815037909,1,1,1.4489118831577082e-06,720,0
N08-Shubert3D,81,1,4,6805,916.2407480505808,1,1,1.4489118831577082e-06,720,1
N08-Shubert3D,81,1,5,7470,0.0009389169872520142,1,1,1.658662738978051e-05,645,1
N08-Shubert3D,81,1,6,8130,0.0008598857234574098,1,1,1.951367928209472e-05,640,1
N08-Shubert3D,81,1,7,8820,0.00206510617499589,1,1,7.359574689303619e-06,670,1
N08-Shubert3D,81,1,8,9560,1990.6774966272933,1,1,1.4489118831577082e-06,720,1
N08-Shubert3D,81,1,9,10225,0.0007093526387507154,1,1,1.658662738978051e-05,645,1
N08-Shubert3D,81,1,10,10885,0.0007086877308211115,1,1,1.951367928209472e-05,640,1
N08-Shubert3D,81,1,11,11625,916.2407695568113,1,1,1.4489118831577082e-06,720,1
N08-Shubert3D,81,1,12,12310,0.0006802644879826403,1,1,8.65832316388661e-06,665,1
N08-Shubert3D,81,1,13,12985,0.001903157050946902,1,1,1.1983838289116417e-05,655,1
N08-Shubert3D,81,1,14,13720,0.0025683645549179346,1,1,1.7046022154796568e-06,715,1
N08-Shubert3D,81,1,15,14460,916.2407753420091,1,1,1.4489118831577082e-06,720,1
N08-Shubert3D,81,1,16,15115,0.0018753341419142089,1,1,2.2957269743640846e-05,635,0
N08-Shubert3D,81,1,17,15735,0.0023559249634672597,1,1,7.161232222403831e-05,600,0
N08-Shubert3D,81,1,18,16475,1556.999489517104,1,1,1.4489118831577082e-06,720,1
N08-Shubert3D,81,1,19,17115,0.0009458888353037764,1,1,3.7382079777961895e-05,620,1
N08-Shubert3D,81,1,20,17780,0.0014594251624657772,1,1,1.658662738978051e-05,645,1
N08-Shubert3D,81,1,21,18520,0.31058185198753563,1,1,1.4489118831577082e-06,720,1
N08-Shubert3D,81,1,22,19260,0.3021353673066187,1,1,1.4489118831577082e-06,720,0
N08-Shubert3D,81,1,23,19865,0.0009849634657257411,1,1,0.00011660870706132842,585,1
N08-Shubert3D,81,1,24,20605,2034.3069939194752,1,1,1.4489118831577082e-06,720,1
N08-Shubert3D,81,1,25,21285,0.0022407722426578403,1,1,1.0186262545748954e-05,660,1
N08-Shubert3D,81,1,26,21865,0.0021071462965664978,1,1,0.0002628066506671101,560,1
N08-Shubert3D,81,1,27,22605,0.0036261970458326687,1,1,1.4489118831577082e-06,720,0
N08-Shubert3D,81,1,28,23275,0.002139202882972313,1,1,1.4098633281313433e-05,650,1
N08-Shubert3D,81,1,29,24015,1556.9993680842742,1,1,1.4489118831577082e-06,720,1
N08-Shubert3D,81,1,30,24675,0.0022859073569634347,1,1,1.951367928209472e-05,640,0
N08-Shubert3D,81,1,31,25320,0.001437023781818425,1,1,3.177476781126761e-05,625,1
N08-Shubert3D,81,1,32,26060,916.2407845855328,1,1,1.4489118831577082e-06,720,1
N08-Shubert3D,81,1,33,26800,1298.0321108344044,1,1,1.4489118831577082e-06,720,1
N08-Shubert3D,81,1,34,27485,0.0009239254031854216,1,1,8.65832316388661e-06,665,1
N08-Shubert3D,81,1,35,28225,1306.2484323434792,1,1,1.4489118831577082e-06,720,1
N08-Shubert3D,81,1,36,28875,0.0010742662807388115,1,1,2.7008552639577468e-05,630,1
N08-Shubert3D,81,1,37,29525,0.0012327408990131516,1,1,2.7008552639577468e-05,630,1
N08-Shubert3D,81,1,38,30185,0.0019620625989773544,1,1,1.951367928209472e-05,640,1
N08-Shubert3D,81,1,39,30845,0.00017003975199259003,1,1,1.951367928209472e-05,640,1
N08-Shubert3D,81,1,40,31585,576.906652597841,1,1,1.4489118831577082e-06,720,1
N08-Shubert3D,81,1,41,32325,28.112290689959536,1,1,1.4489118831577082e-06,720,1
N08-Shubert3D,81,1,42,32955,0.001568434112414252,1,1,5.173990280686767e-05,610,1
N08-Shubert3D,81,1,43,33615,0.002106975287915702,1,1,1.951367928209472e-05,640,0
N08-Shubert3D,81,1,44,34335,0.0023302535200855345,1,1,2.775660029276869e-06,700,1
N08-Shubert3D,81,1,45,35075,576.9066356842818,1,1,1.4489118831577082e-06,720,1
N08-Shubert3D,81,1,46,35750,0.0018035769116977463,1,1,1.1983838289116417e-05,655,1
N08-Shubert3D,81,1,47,36450,0.0021927093257545494,1,1,5.3172927130218645e-06,680,1
N08-Shubert3D,81,1,48,37025,0.0014127350600574573,1,1,0.0003091842949024825,555,1
N08-Shubert3D,81,1,49,37765,916.2407531026945,1,1,1.4489118831577082e-06,720,1
N08-Shubert3D,81,1,50,38385,0.002352004508338723,1,1,7.161232222403831e-05,600,1
N08-Shubert3D,81,1,51,39125,576.9065675247466,1,1,1.4489118831577082e-06,720,1
N08-Shubert3D,81,1,52,39865,22.376408252719557,1,1,1.4489118831577082e-06,720,1
N08-Shubert3D,81,2,0,3140,-8.185452315956354e-12,1,1,1e-06,1350,1
N08-Shubert3D,81,2,1,3880,576.9065667088066,1,1,1.4489118831577082e-06,720,1
N08-Shubert3D,81,2,2,4620,576.9065677059898,1,1,1.4489118831577082e-06,720,1
N08-Shubert3D,81,2,3,5360,1556.9994190427192,1,1,1.4489118831577082e-06,720,1
N08-Shubert3D,81,2,4,6070,0.002021275693550706,1,1,3.841743985158297e-06,690,1
N08-Shubert3D,81,2,5,6735,0.001556693025122513,1,1,1.658662738978051e-05,645,1
N08-Shubert3D,81,2,6,7475,916.240736870496,1,1,1.4489118831577082e-06,720,1
N08-Shubert3D,81,2,7,8150,0.0006711785049446917,1,1,1.1983838289116417e-05,655,1
N08-Shubert3D,81,2,8,8890,916.2407896102575,1,1,1.4489118831577082e-06,720,1
N08-Shubert3D,81,2,9,9630,916.2407792809981,1,1,1.4489118831577082e-06,720,1
N08-Shubert3D,81,2,10,10305,0.0018607694914862805,1,1,1.1983838289116417e-05,655,1
N08-Shubert3D,81,2,11,11045,576.9066584583575,1,1,1.4489118831577082e-06,720,1
N08-Shubert3D,81,2,12,11710,0.0018205663195658417,1,1,1.658662738978051e-05,645,1
N08-Shubert3D,81,2,13,12355,0.0019331157368469576,1,1,3.177476781126761e-05,625,0
N08-Shubert3D,81,2,14,13025,0.0004155782389716478,1,1,1.4098633281313433e-05,650,1
N08-Shubert3D,81,2,15,13705,0.002010715980304667,1,1,1.0186262545748954e-05,660,0
N08-Shubert3D,81,2,16,14445,0.3072406786286592,1,1,1.4489118831577082e-06,720,0
N08-Shubert3D,81,2,17,15105,0.0009254263732145773,1,1,1.951367928209472e-05,640,1
N08-Shubert3D,81,2,18,15805,0.0017895676551233919,1,1,5.3172927130218645e-06,680,1
N08-Shubert3D,81,2,19,16545,1557.202853417189,1,1,1.4489118831577082e-06,720,1
N08-Shubert3D,81,2,20,17195,0.00015679202806495596,1,1,2.7008552639577468e-05,630,1
N08-Shubert3D,81,2,21,17840,0.0004904120901301212,1,1,3.177476781126761e-05,625,0
N08-Shubert3D,81,2,22,18580,916.2407562943326,1,1,1.4489118831577082e-06,720,1
N08-Shubert3D,81,2,23,19320,916.2407405716365,1,1,1.4489118831577082e-06,720,0
N08-Shubert3D,81,2,24,19935,0.000937607774631033,1,1,8.424979085180978e-05,595,1
N08-Shubert3D,81,2,25,20575,0.001446927211873117,1,1,3.7382079777961895e-05,620,1
N08-Shubert3D,81,2,26,21250,0.0011797383999692101,1,1,1.1983838289116417e-05,655,0
N08-Shubert3D,81,2,27,21915,0.0004350999492999108,1,1,1.658662738978051e-05,645,1
N08-Shubert3D,81,2,28,22585,0.0008629132589703659,1,1,1.4098633281313433e-05,650,1
N08-Shubert3D,81,2,29,23325,1.9236021100118705,1,1,1.4489118831577082e-06,720,0
N08-Shubert3D,81,2,30,24000,0.0008370833184017101,1,1,1.1983838289116417e-05,655,1
N08-Shubert3D,81,2,31,24660,0.0011306075716674968,1,1,1.951367928209472e-05,640,1
N08-Shubert3D,81,2,32,25400,1946.6483641803889,1,1,1.4489118831577082e-06,720,1
N08-Shubert3D,81,2,33,26035,0.0009039490382747317,1,1,4.397891738583752e-05,615,1
N08-Shubert3D,81,2,34,26695,0.0010426941471450846,1,1,1.951367928209472e-05,640,1
N08-Shubert3D,81,2,35,27435,2.830538999797227,1,1,1.4489118831577082e-06,720,1
N08-Shubert3D,81,2,36,28175,1953.945862029025,1,1,1.4489118831577082e-06,720,1
N08-Shubert3D,81,2,37,28870,0.001711287706712028,1,1,6.2556384859080765e-06,675,1
N08-Shubert3D,81,2,38,29610,32.72330361194872,1,1,1.4489118831577082e-06,720,0
N08-Shubert3D,81,2,39,30350,916.2412939655046,1,1,1.4489118831577082e-06,720,1
N08-Shubert3D,81,2,40,31090,916.2407600782324,1,1,1.4489118831577082e-06,720,1
N08-Shubert3D,81,2,41,31830,1298.0334289146826,1,1,1.4489118831577082e-06,720,1
N08-Shubert3D,81,2,42,32495,0.0015851416815166885,1,1,1.658662738978051e-05,645,1
