function,K,eps,seed,evals,blocked_pop,blocked_ir,blocked_sol,disc_shallow,disc_lost,deep_reported,disc_best_f
N06-Shubert2D,18,0.1,0,20000,5,0,0,0,0,15,nan
N06-Shubert2D,18,0.1,1,20000,6,0,1,1,0,15,63.15413806272194
N06-Shubert2D,18,0.1,2,20000,0,0,1,1,0,16,63.15413797490726
N06-Shubert2D,18,0.1,3,20000,0,0,2,5,3,12,63.15413802769528
N06-Shubert2D,18,0.1,4,20000,13,0,1,1,0,15,63.15413802526811
N06-Shubert2D,18,0.1,5,20000,0,0,2,2,0,16,63.154138170599154
N06-Shubert2D,18,0.1,6,20000,7,0,0,1,0,14,0.5308939959595591
N06-Shubert2D,18,0.1,7,20000,16,0,1,1,0,15,63.15413801169147
N06-Shubert2D,18,0.1,8,20000,17,0,2,2,0,13,63.15413799859783
N06-Shubert2D,18,0.1,9,20000,0,0,0,0,0,13,nan
N06-Shubert2D,18,0.1,10,20000,6,0,0,0,0,17,nan
N06-Shubert2D,18,0.1,11,20000,0,0,0,0,0,14,nan
N06-Shubert2D,18,0.1,12,20000,0,0,0,0,0,16,nan
N06-Shubert2D,18,0.1,13,20000,15,0,0,0,0,16,nan
N06-Shubert2D,18,0.1,14,20000,0,0,0,0,0,15,nan
N06-Shubert2D,18,0.001,0,20000,5,0,0,0,0,15,nan
N06-Shubert2D,18,0.001,1,20000,6,0,1,1,0,15,63.15413806272194
N06-Shubert2D,18,0.001,2,20000,1,0,1,1,0,16,63.15413797490726
N06-Shubert2D,18,0.001,3,20000,1,0,2,7,4,12,0.001283257167500551
N06-Shubert2D,18,0.001,4,20000,13,0,1,2,0,15,0.002685614449347895
N06-Shubert2D,18,0.001,5,20000,0,0,2,2,0,16,63.154138170599154
N06-Shubert2D,18,0.001,6,20000,7,0,0,1,0,14,0.5308939959595591
N06-Shubert2D,18,0.001,7,20000,16,0,1,1,0,15,63.15413801169147
N06-Shubert2D,18,0.001,8,20000,17,0,2,2,0,13,63.15413799859783
N06-Shubert2D,18,0.001,9,20000,1,0,0,1,1,12,0.002219829182763533
N06-Shubert2D,18,0.001,10,20000,6,0,0,1,0,17,0.0035291415980793772
N06-Shubert2D,18,0.001,11,20000,1,0,0,0,0,14,nan
N06-Shubert2D,18,0.001,12,20000,1,0,0,0,0,16,nan
N06-Shubert2D,18,0.001,13,20000,15,0,0,0,0,16,nan
N06-Shubert2D,18,0.001,14,20000,1,0,0,0,0,15,nan
N06-Shubert2D,18,1e-05,0,20000,5,4,12,0,0,3,nan
N06-Shubert2D,18,1e-05,1,20000,6,2,12,1,0,4,63.15413806272194
N06-Shubert2D,18,1e-05,2,20000,1,4,15,1,0,2,63.15413797490726
N06-Shubert2D,18,1e-05,3,20000,1,2,8,7,4,6,0.001283257167500551
N06-Shubert2D,18,1e-05,4,20000,13,3,13,2,0,3,0.002685614449347895
N06-Shubert2D,18,1e-05,5,20000,1,3,15,2,0,3,63.154138170599154
N06-Shubert2D,18,1e-05,6,20000,7,4,12,1,0,2,0.5308939959595591
N06-Shubert2D,18,1e-05,7,20000,16,3,13,1,0,3,63.15413801169147
N06-Shubert2D,18,1e-05,8,20000,17,2,10,3,0,5,0.00015679679148661307
N06-Shubert2D,18,1e-05,9,20000,1,2,8,1,1,4,0.002219829182763533
N06-Shubert2D,18,1e-05,10,20000,6,3,14,1,0,3,0.0035291415980793772
N06-Shubert2D,18,1e-05,11,20000,1,4,12,0,0,2,nan
N06-Shubert2D,18,1e-05,12,20000,1,4,13,0,0,3,nan
N06-Shubert2D,18,1e-05,13,20000,15,4,14,1,0,2,0.0006363848119690374
N06-Shubert2D,18,1e-05,14,20000,1,4,13,0,0,2,nan
