function,K,eps,seed,evals,cap,visited,reported,resel,n_resel_pts,distinct,blocked,n_reported_pts,spillover,basin_switch,hunts,landed,best_f
N08-Shubert3D,81,0.1,15,40000,162,24,24,-1,-1,57,33,80,54,52,54,30,4.547473508864641e-13
N08-Shubert3D,81,0.1,16,40000,162,31,31,-1,-1,57,26,80,54,54,54,37,-6.366462912410498e-12
N08-Shubert3D,81,0.1,17,40000,162,25,25,-1,-1,64,39,80,54,52,54,29,-7.73070496506989e-12
N08-Shubert3D,81,0.1,18,40000,162,29,29,-1,-1,45,16,81,55,53,55,36,-5.002220859751105e-12
N08-Shubert3D,81,0.1,19,40000,162,28,28,-1,-1,39,11,79,53,53,53,42,-8.640199666842818e-12
N08-Shubert3D,81,0.1,20,40000,162,29,29,-1,-1,61,32,76,50,50,50,34,4.547473508864641e-13
N08-Shubert3D,81,0.1,21,40000,162,27,27,-1,-1,43,16,79,53,51,53,33,-8.185452315956354e-12
N08-Shubert3D,81,0.1,22,40000,162,31,31,-1,-1,48,17,80,54,54,54,37,-8.640199666842818e-12
N08-Shubert3D,81,0.1,23,40000,162,33,33,-1,-1,43,10,80,54,54,54,43,-8.185452315956354e-12
N08-Shubert3D,81,0.1,24,40000,162,27,27,-1,-1,65,38,80,54,52,54,28,-8.185452315956354e-12
N08-Shubert3D,81,0.1,25,40000,162,31,31,-1,-1,45,14,79,53,53,53,38,-8.185452315956354e-12
N08-Shubert3D,81,0.1,26,40000,162,26,26,-1,-1,46,20,79,53,53,53,34,-8.185452315956354e-12
N08-Shubert3D,81,0.1,27,40000,162,26,26,-1,-1,47,21,79,53,53,53,33,-8.185452315956354e-12
N08-Shubert3D,81,0.1,28,40000,162,23,23,-1,-1,63,40,81,55,53,55,30,-7.73070496506989e-12
N08-Shubert3D,81,0.1,29,40000,162,18,18,-1,-1,55,37,80,54,52,54,22,-8.185452315956354e-12
N08-Shubert3D,81,0.001,15,40000,162,8,8,-1,-1,57,49,80,54,52,54,8,4.547473508864641e-13
N08-Shubert3D,81,0.001,16,40000,162,11,11,-1,-1,57,46,80,54,54,54,11,-6.366462912410498e-12
N08-Shubert3D,81,0.001,17,40000,162,10,10,-1,-1,64,54,80,54,52,54,10,-7.73070496506989e-12
N08-Shubert3D,81,0.001,18,40000,162,15,15,-1,-1,45,30,81,55,53,55,18,-5.002220859751105e-12
N08-Shubert3D,81,0.001,19,40000,162,10,10,-1,-1,39,29,79,53,53,53,11,-8.640199666842818e-12
N08-Shubert3D,81,0.001,20,40000,162,8,8,-1,-1,61,53,76,50,50,50,9,4.547473508864641e-13
N08-Shubert3D,81,0.001,21,40000,162,8,8,-1,-1,43,35,79,53,51,53,8,-8.185452315956354e-12
N08-Shubert3D,81,0.001,22,40000,162,6,6,-1,-1,48,42,80,54,54,54,6,-8.640199666842818e-12
N08-Shubert3D,81,0.001,23,40000,162,16,16,-1,-1,43,27,80,54,54,54,16,-8.185452315956354e-12
N08-Shubert3D,81,0.001,24,40000,162,10,10,-1,-1,65,55,80,54,52,54,11,-8.185452315956354e-12
N08-Shubert3D,81,0.001,25,40000,162,11,11,-1,-1,45,34,79,53,53,53,11,-8.185452315956354e-12
N08-Shubert3D,81,0.001,26,40000,162,13,13,-1,-1,46,33,79,53,53,53,13,-8.185452315956354e-12
N08-Shubert3D,81,0.001,27,40000,162,7,7,-1,-1,47,40,79,53,53,53,7,-8.185452315956354e-12
N08-Shubert3D,81,0.001,28,40000,162,7,7,-1,-1,63,56,81,55,53,55,7,-7.73070496506989e-12
N08-Shubert3D,81,0.001,29,40000,162,10,10,-1,-1,55,45,80,54,52,54,11,-8.185452315956354e-12
N08-Shubert3D,81,1e-05,15,40000,162,1,1,-1,-1,57,56,80,54,52,54,1,4.547473508864641e-13
N08-Shubert3D,81,1e-05,16,40000,162,1,1,-1,-1,57,56,80,54,54,54,1,-6.366462912410498e-12
N08-Shubert3D,81,1e-05,17,40000,162,1,1,-1,-1,64,63,80,54,52,54,1,-7.73070496506989e-12
N08-Shubert3D,81,1e-05,18,40000,162,1,1,-1,-1,45,44,81,55,53,55,1,-5.002220859751105e-12
N08-Shubert3D,81,1e-05,19,40000,162,1,1,-1,-1,39,38,79,53,53,53,1,-8.640199666842818e-12
N08-Shubert3D,81,1e-05,20,40000,162,1,1,-1,-1,61,60,76,50,50,50,1,4.547473508864641e-13
N08-Shubert3D,81,1e-05,21,40000,162,1,1,-1,-1,43,42,79,53,51,53,1,-8.185452315956354e-12
N08-Shubert3D,81,1e-05,22,40000,162,1,1,-1,-1,48,47,80,54,54,54,1,-8.640199666842818e-12
N08-Shubert3D,81,1e-05,23,40000,162,1,1,-1,-1,43,42,80,54,54,54,1,-8.185452315956354e-12
N08-Shubert3D,81,1e-05,24,40000,162,1,1,-1,-1,65,64,80,54,52,54,1,-8.185452315956354e-12
N08-Shubert3D,81,1e-05,25,40000,162,1,1,-1,-1,45,44,79,53,53,53,1,-8.185452315956354e-12
N08-Shubert3D,81,1e-05,26,40000,162,1,1,-1,-1,46,45,79,53,53,53,1,-8.185452315956354e-12
N08-Shubert3D,81,1e-05,27,40000,162,1,1,-1,-1,47,46,79,53,53,53,1,-8.185452315956354e-12
N08-Shubert3D,81,1e-05,28,40000,162,1,1,-1,-1,63,62,81,55,53,55,1,-7.73070496506989e-12
N08-Shubert3D,81,1e-05,29,40000,162,1,1,-1,-1,55,54,80,54,52,54,1,-8.185452315956354e-12
