function,K,eps,seed,evals,cap,visited,reported,resel,n_resel_pts,distinct,blocked,n_reported_pts,spillover,basin_switch,hunts,landed,best_f
N08-Shubert3D,81,0.1,15,40000,162,18,18,-1,-1,67,49,98,72,70,72,18,4.547473508864641e-13
N08-Shubert3D,81,0.1,16,40000,162,21,21,-1,-1,67,46,99,73,73,73,22,-6.366462912410498e-12
N08-Shubert3D,81,0.1,17,40000,162,12,12,-1,-1,70,58,99,73,71,73,12,-7.73070496506989e-12
N08-Shubert3D,81,0.1,18,40000,162,12,12,-1,-1,81,69,100,74,72,74,13,-5.002220859751105e-12
N08-Shubert3D,81,0.1,19,40000,162,19,19,-1,-1,70,51,98,72,72,72,19,-8.640199666842818e-12
N08-Shubert3D,81,0.1,20,40000,162,19,19,-1,-1,64,45,93,67,67,67,21,4.547473508864641e-13
N08-Shubert3D,81,0.1,21,40000,162,14,14,-1,-1,71,57,100,74,72,74,16,-8.185452315956354e-12
N08-Shubert3D,81,0.1,22,40000,162,15,15,-1,-1,76,61,100,74,74,74,17,-8.640199666842818e-12
N08-Shubert3D,81,0.1,23,40000,162,20,20,-1,-1,71,51,100,74,74,74,25,-8.185452315956354e-12
N08-Shubert3D,81,0.1,24,40000,162,15,15,-1,-1,69,54,99,73,71,73,17,-8.185452315956354e-12
N08-Shubert3D,81,0.1,25,40000,162,14,14,-1,-1,69,55,98,72,72,72,16,-8.185452315956354e-12
N08-Shubert3D,81,0.1,26,40000,162,14,14,-1,-1,67,53,99,73,73,73,16,-8.185452315956354e-12
N08-Shubert3D,81,0.1,27,40000,162,19,19,-1,-1,74,55,101,75,75,75,20,-8.185452315956354e-12
N08-Shubert3D,81,0.1,28,40000,162,13,13,-1,-1,72,59,101,75,73,75,14,-7.73070496506989e-12
N08-Shubert3D,81,0.1,29,40000,162,16,16,-1,-1,78,62,99,73,71,73,18,-8.185452315956354e-12
N08-Shubert3D,81,0.001,15,40000,162,9,9,-1,-1,67,58,98,72,70,72,9,4.547473508864641e-13
N08-Shubert3D,81,0.001,16,40000,162,15,15,-1,-1,67,52,99,73,73,73,15,-6.366462912410498e-12
N08-Shubert3D,81,0.001,17,40000,162,9,9,-1,-1,70,61,99,73,71,73,9,-7.73070496506989e-12
N08-Shubert3D,81,0.001,18,40000,162,9,9,-1,-1,81,72,100,74,72,74,10,-5.002220859751105e-12
N08-Shubert3D,81,0.001,19,40000,162,9,9,-1,-1,70,61,98,72,72,72,9,-8.640199666842818e-12
N08-Shubert3D,81,0.001,20,40000,162,11,11,-1,-1,64,53,93,67,67,67,11,4.547473508864641e-13
N08-Shubert3D,81,0.001,21,40000,162,8,8,-1,-1,71,63,100,74,72,74,9,-8.185452315956354e-12
N08-Shubert3D,81,0.001,22,40000,162,8,8,-1,-1,76,68,100,74,74,74,8,-8.640199666842818e-12
N08-Shubert3D,81,0.001,23,40000,162,12,12,-1,-1,71,59,100,74,74,74,13,-8.185452315956354e-12
N08-Shubert3D,81,0.001,24,40000,162,4,4,-1,-1,69,65,99,73,71,73,5,-8.185452315956354e-12
N08-Shubert3D,81,0.001,25,40000,162,11,11,-1,-1,69,58,98,72,72,72,12,-8.185452315956354e-12
N08-Shubert3D,81,0.001,26,40000,162,9,9,-1,-1,67,58,99,73,73,73,9,-8.185452315956354e-12
N08-Shubert3D,81,0.001,27,40000,162,9,9,-1,-1,74,65,101,75,75,75,10,-8.185452315956354e-12
N08-Shubert3D,81,0.001,28,40000,162,8,8,-1,-1,72,64,101,75,73,75,9,-7.73070496506989e-12
N08-Shubert3D,81,0.001,29,40000,162,9,9,-1,-1,78,69,99,73,71,73,11,-8.185452315956354e-12
N08-Shubert3D,81,1e-05,15,40000,162,4,4,-1,-1,67,63,98,72,70,72,4,4.547473508864641e-13
N08-Shubert3D,81,1e-05,16,40000,162,5,5,-1,-1,67,62,99,73,73,73,5,-6.366462912410498e-12
N08-Shubert3D,81,1e-05,17,40000,162,2,2,-1,-1,70,68,99,73,71,73,2,-7.73070496506989e-12
N08-Shubert3D,81,1e-05,18,40000,162,3,3,-1,-1,81,78,100,74,72,74,3,-5.002220859751105e-12
N08-Shubert3D,81,1e-05,19,40000,162,4,4,-1,-1,70,66,98,72,72,72,4,-8.640199666842818e-12
N08-Shubert3D,81,1e-05,20,40000,162,4,4,-1,-1,64,60,93,67,67,67,4,4.547473508864641e-13
N08-Shubert3D,81,1e-05,21,40000,162,4,4,-1,-1,71,67,100,74,72,74,4,-8.185452315956354e-12
N08-Shubert3D,81,1e-05,22,40000,162,2,2,-1,-1,76,74,100,74,74,74,2,-8.640199666842818e-12
N08-Shubert3D,81,1e-05,23,40000,162,6,6,-1,-1,71,65,100,74,74,74,7,-8.185452315956354e-12
N08-Shubert3D,81,1e-05,24,40000,162,2,2,-1,-1,69,67,99,73,71,73,3,-8.185452315956354e-12
N08-Shubert3D,81,1e-05,25,40000,162,5,5,-1,-1,69,64,98,72,72,72,5,-8.185452315956354e-12
N08-Shubert3D,81,1e-05,26,40000,162,6,6,-1,-1,67,61,99,73,73,73,6,-8.185452315956354e-12
N08-Shubert3D,81,1e-05,27,40000,162,3,3,-1,-1,74,71,101,75,75,75,3,-8.185452315956354e-12
N08-Shubert3D,81,1e-05,28,40000,162,3,3,-1,-1,72,69,101,75,73,75,3,-7.73070496506989e-12
N08-Shubert3D,81,1e-05,29,40000,162,5,5,-1,-1,78,73,99,73,71,73,5,-8.185452315956354e-12
