function,K,eps,seed,evals,cap,visited,reported,resel,n_resel_pts,distinct,blocked,n_reported_pts,spillover,basin_switch,hunts,landed,best_f
N08-Shubert3D,81,0.1,0,40000,162,28,28,28,162,62,34,80,54,52,54,36,-7.73070496506989e-12
N08-Shubert3D,81,0.1,1,40000,162,24,24,24,162,42,18,77,51,51,51,31,-5.9117155615240335e-12
N08-Shubert3D,81,0.1,2,40000,162,23,23,23,162,46,23,77,51,51,51,26,-8.185452315956354e-12
N08-Shubert3D,81,0.001,0,40000,162,28,28,28,162,62,34,80,54,52,54,35,-7.73070496506989e-12
N08-Shubert3D,81,0.001,1,40000,162,23,23,23,162,42,19,77,51,51,51,30,-5.9117155615240335e-12
N08-Shubert3D,81,0.001,2,40000,162,22,22,22,162,46,24,77,51,51,51,25,-8.185452315956354e-12
N08-Shubert3D,81,1e-05,0,40000,162,1,1,1,162,62,61,80,54,52,54,1,-7.73070496506989e-12
N08-Shubert3D,81,1e-05,1,40000,162,1,1,1,162,42,41,77,51,51,51,1,-5.9117155615240335e-12
N08-Shubert3D,81,1e-05,2,40000,162,2,2,2,162,46,44,77,51,51,51,2,-8.185452315956354e-12
N08-Shubert3D,81,0.1,3,40000,162,20,20,20,162,46,26,77,51,50,51,26,-8.185452315956354e-12
N08-Shubert3D,81,0.1,4,40000,162,33,33,33,162,43,10,77,51,51,51,41,-8.185452315956354e-12
N08-Shubert3D,81,0.1,5,40000,162,28,28,28,162,40,12,77,51,51,51,38,-8.640199666842818e-12
N08-Shubert3D,81,0.001,3,40000,162,20,20,20,162,46,26,77,51,50,51,26,-8.185452315956354e-12
N08-Shubert3D,81,0.001,4,40000,162,32,32,32,162,43,11,77,51,51,51,39,-8.185452315956354e-12
N08-Shubert3D,81,0.001,5,40000,162,28,28,28,162,40,12,77,51,51,51,36,-8.640199666842818e-12
N08-Shubert3D,81,1e-05,3,40000,162,1,1,1,162,46,45,77,51,50,51,1,-8.185452315956354e-12
N08-Shubert3D,81,1e-05,4,40000,162,2,2,2,162,43,41,77,51,51,51,2,-8.185452315956354e-12
N08-Shubert3D,81,1e-05,5,40000,162,1,1,1,162,40,39,77,51,51,51,1,-8.640199666842818e-12
N08-Shubert3D,81,0.1,6,40000,162,30,30,30,162,44,14,77,51,51,51,35,-5.9117155615240335e-12
N08-Shubert3D,81,0.1,7,40000,162,26,26,26,162,45,19,79,53,51,53,32,-9.094947017729282e-12
N08-Shubert3D,81,0.001,6,40000,162,29,29,29,162,44,15,77,51,51,51,33,-5.9117155615240335e-12
N08-Shubert3D,81,0.001,7,40000,162,25,25,25,162,45,20,79,53,51,53,31,-9.094947017729282e-12
N08-Shubert3D,81,1e-05,6,40000,162,1,1,1,162,44,43,77,51,51,51,1,-5.9117155615240335e-12
N08-Shubert3D,81,1e-05,7,40000,162,1,1,1,162,45,44,79,53,51,53,1,-9.094947017729282e-12
