function,K,eps,seed,evals,cap,visited,reported,resel,n_resel_pts,distinct,blocked,n_reported_pts,spillover,basin_switch,hunts,landed,best_f
N08-Shubert3D,81,0.1,0,40000,162,30,30,30,162,42,12,78,52,50,52,36,-7.73070496506989e-12
N08-Shubert3D,81,0.1,1,40000,162,26,26,26,162,55,29,76,50,50,50,39,-5.9117155615240335e-12
N08-Shubert3D,81,0.1,2,40000,162,28,28,28,162,62,34,77,51,51,51,35,-8.185452315956354e-12
N08-Shubert3D,81,0.1,3,40000,162,28,28,28,162,51,23,77,51,50,51,32,-8.185452315956354e-12
N08-Shubert3D,81,0.1,4,40000,162,26,26,26,162,43,17,75,49,49,49,32,-8.185452315956354e-12
N08-Shubert3D,81,0.001,0,40000,162,29,29,29,162,42,13,78,52,50,52,33,-7.73070496506989e-12
N08-Shubert3D,81,0.001,1,40000,162,23,23,23,162,55,32,76,50,50,50,34,-5.9117155615240335e-12
N08-Shubert3D,81,0.001,2,40000,162,26,26,26,162,62,36,77,51,51,51,32,-8.185452315956354e-12
N08-Shubert3D,81,0.001,3,40000,162,28,28,28,162,51,23,77,51,50,51,32,-8.185452315956354e-12
N08-Shubert3D,81,0.001,4,40000,162,25,25,25,162,43,18,75,49,49,49,30,-8.185452315956354e-12
N08-Shubert3D,81,1e-05,0,40000,162,6,6,6,162,42,36,78,52,50,52,6,-7.73070496506989e-12
N08-Shubert3D,81,1e-05,1,40000,162,4,4,4,162,55,51,76,50,50,50,4,-5.9117155615240335e-12
N08-Shubert3D,81,1e-05,2,40000,162,9,9,9,162,62,53,77,51,51,51,9,-8.185452315956354e-12
N08-Shubert3D,81,1e-05,3,40000,162,6,6,6,162,51,45,77,51,50,51,6,-8.185452315956354e-12
N08-Shubert3D,81,1e-05,4,40000,162,6,6,6,162,43,37,75,49,49,49,7,-8.185452315956354e-12
