function,K,eps,seed,evals,cap,visited,reported,resel,n_resel_pts,distinct,blocked,n_reported_pts,spillover,basin_switch,hunts,landed,best_f
N08-Shubert3D,81,0.1,0,40000,162,22,22,22,162,62,40,78,52,50,52,29,-7.73070496506989e-12
N08-Shubert3D,81,0.1,1,40000,162,26,26,26,162,48,22,75,49,49,49,28,-5.9117155615240335e-12
N08-Shubert3D,81,0.1,2,40000,162,22,22,22,162,43,21,76,50,50,50,25,-8.185452315956354e-12
N08-Shubert3D,81,0.001,0,40000,162,22,22,22,162,62,40,78,52,50,52,29,-7.73070496506989e-12
N08-Shubert3D,81,0.001,1,40000,162,25,25,25,162,48,23,75,49,49,49,27,-5.9117155615240335e-12
N08-Shubert3D,81,0.001,2,40000,162,21,21,21,162,43,22,76,50,50,50,23,-8.185452315956354e-12
N08-Shubert3D,81,1e-05,0,40000,162,13,13,13,162,62,49,78,52,50,52,14,-7.73070496506989e-12
N08-Shubert3D,81,1e-05,1,40000,162,12,12,12,162,48,36,75,49,49,49,12,-5.9117155615240335e-12
N08-Shubert3D,81,1e-05,2,40000,162,14,14,14,162,43,29,76,50,50,50,14,-8.185452315956354e-12
N08-Shubert3D,81,0.1,3,40000,162,31,31,31,162,46,15,76,50,49,50,35,-8.185452315956354e-12
N08-Shubert3D,81,0.1,4,40000,162,23,23,23,162,58,35,75,49,49,49,33,-8.185452315956354e-12
N08-Shubert3D,81,0.1,5,40000,162,34,34,34,162,42,8,75,49,49,49,41,-8.640199666842818e-12
N08-Shubert3D,81,0.001,3,40000,162,30,30,30,162,46,16,76,50,49,50,33,-8.185452315956354e-12
N08-Shubert3D,81,0.001,4,40000,162,23,23,23,162,58,35,75,49,49,49,31,-8.185452315956354e-12
N08-Shubert3D,81,0.001,5,40000,162,34,34,34,162,42,8,75,49,49,49,41,-8.640199666842818e-12
N08-Shubert3D,81,1e-05,3,40000,162,6,6,6,162,46,40,76,50,49,50,6,-8.185452315956354e-12
N08-Shubert3D,81,1e-05,4,40000,162,7,7,7,162,58,51,75,49,49,49,7,-8.185452315956354e-12
N08-Shubert3D,81,1e-05,5,40000,162,15,15,15,162,42,27,75,49,49,49,17,-8.640199666842818e-12
N08-Shubert3D,81,0.1,6,40000,162,25,25,25,162,42,17,75,49,49,49,32,-5.9117155615240335e-12
N08-Shubert3D,81,0.1,7,40000,162,29,29,29,162,45,16,77,51,49,51,33,-9.094947017729282e-12
N08-Shubert3D,81,0.001,6,40000,162,22,22,22,162,42,20,75,49,49,49,30,-5.9117155615240335e-12
N08-Shubert3D,81,0.001,7,40000,162,27,27,27,162,45,18,77,51,49,51,31,-9.094947017729282e-12
N08-Shubert3D,81,1e-05,6,40000,162,12,12,12,162,42,30,75,49,49,49,14,-5.9117155615240335e-12
N08-Shubert3D,81,1e-05,7,40000,162,9,9,9,162,45,36,77,51,49,51,9,-9.094947017729282e-12
