function,K,eps,seed,evals,cap,visited,reported,resel,n_resel_pts,distinct,blocked,n_reported_pts,spillover,basin_switch,hunts,landed,best_f
N08-Shubert3D,81,0.1,0,40000,162,15,15,15,162,71,56,99,73,71,73,15,-7.73070496506989e-12
N08-Shubert3D,81,0.1,1,40000,162,12,12,12,162,80,68,99,73,73,73,12,-5.9117155615240335e-12
N08-Shubert3D,81,0.1,2,40000,162,15,15,15,162,67,52,98,72,72,72,17,-8.185452315956354e-12
N08-Shubert3D,81,0.1,3,40000,162,20,20,20,162,73,53,101,75,74,75,22,-8.185452315956354e-12
N08-Shubert3D,81,0.1,4,40000,162,19,19,19,162,63,44,96,70,70,70,23,-8.185452315956354e-12
N08-Shubert3D,81,0.001,0,40000,162,4,4,4,162,71,67,99,73,71,73,4,-7.73070496506989e-12
N08-Shubert3D,81,0.001,1,40000,162,8,8,8,162,80,72,99,73,73,73,8,-5.9117155615240335e-12
N08-Shubert3D,81,0.001,2,40000,162,6,6,6,162,67,61,98,72,72,72,7,-8.185452315956354e-12
N08-Shubert3D,81,0.001,3,40000,162,13,13,13,162,73,60,101,75,74,75,13,-8.185452315956354e-12
N08-Shubert3D,81,0.001,4,40000,162,11,11,11,162,63,52,96,70,70,70,11,-8.185452315956354e-12
N08-Shubert3D,81,1e-05,0,40000,162,1,1,1,162,71,70,99,73,71,73,1,-7.73070496506989e-12
N08-Shubert3D,81,1e-05,1,40000,162,2,2,2,162,80,78,99,73,73,73,2,-5.9117155615240335e-12
N08-Shubert3D,81,1e-05,2,40000,162,2,2,2,162,67,65,98,72,72,72,2,-8.185452315956354e-12
N08-Shubert3D,81,1e-05,3,40000,162,3,3,3,162,73,70,101,75,74,75,3,-8.185452315956354e-12
N08-Shubert3D,81,1e-05,4,40000,162,4,4,4,162,63,59,96,70,70,70,4,-8.185452315956354e-12
