function,K,eps,seed,evals,cap,visited,reported,resel,n_resel_pts,distinct,blocked,n_reported_pts,spillover,basin_switch,hunts,landed,best_f
N08-Shubert3D,81,0.1,0,40000,162,21,21,21,162,65,44,95,69,67,69,22,-7.73070496506989e-12
N08-Shubert3D,81,0.1,1,40000,162,21,21,21,162,61,40,91,65,65,65,25,-5.9117155615240335e-12
N08-Shubert3D,81,0.1,2,40000,162,24,24,24,162,78,54,93,67,67,67,31,-8.185452315956354e-12
N08-Shubert3D,81,0.1,3,40000,162,24,24,24,162,63,39,93,67,66,67,25,-8.185452315956354e-12
N08-Shubert3D,81,0.1,4,40000,162,21,21,21,162,80,59,92,66,66,66,25,-8.185452315956354e-12
N08-Shubert3D,81,0.001,0,40000,162,11,11,11,162,65,54,95,69,67,69,11,-7.73070496506989e-12
N08-Shubert3D,81,0.001,1,40000,162,8,8,8,162,61,53,91,65,65,65,8,-5.9117155615240335e-12
N08-Shubert3D,81,0.001,2,40000,162,17,17,17,162,78,61,93,67,67,67,19,-8.185452315956354e-12
N08-Shubert3D,81,0.001,3,40000,162,12,12,12,162,63,51,93,67,66,67,12,-8.185452315956354e-12
N08-Shubert3D,81,0.001,4,40000,162,7,7,7,162,80,73,92,66,66,66,7,-8.185452315956354e-12
N08-Shubert3D,81,1e-05,0,40000,162,2,2,2,162,65,63,95,69,67,69,2,-7.73070496506989e-12
N08-Shubert3D,81,1e-05,1,40000,162,2,2,2,162,61,59,91,65,65,65,2,-5.9117155615240335e-12
N08-Shubert3D,81,1e-05,2,40000,162,4,4,4,162,78,74,93,67,67,67,4,-8.185452315956354e-12
N08-Shubert3D,81,1e-05,3,40000,162,4,4,4,162,63,59,93,67,66,67,4,-8.185452315956354e-12
N08-Shubert3D,81,1e-05,4,40000,162,1,1,1,162,80,79,92,66,66,66,1,-8.185452315956354e-12
