function,K,eps,seed,evals,cap,visited,reported,resel,n_resel_pts,distinct,blocked,n_reported_pts,spillover,basin_switch,hunts,landed,best_f
N09-Vincent3D,216,0.1,0,40000,432,216,28,-1,-1,42,14,88,62,62,62,62,0.0
N09-Vincent3D,216,0.1,1,40000,432,216,28,-1,-1,48,20,91,65,65,65,65,0.0
N09-Vincent3D,216,0.1,2,40000,432,216,25,-1,-1,25,0,85,59,59,59,59,0.0
N09-Vincent3D,216,0.1,3,40000,432,216,25,-1,-1,44,19,89,63,63,63,63,0.0
N09-Vincent3D,216,0.1,4,40000,432,216,23,-1,-1,43,20,90,64,64,64,64,0.0
N09-Vincent3D,216,0.1,5,40000,432,216,20,-1,-1,20,0,94,68,68,68,68,0.0
N09-Vincent3D,216,0.1,6,40000,432,216,20,-1,-1,20,0,86,60,60,60,60,0.0
N09-Vincent3D,216,0.1,7,40000,432,216,23,-1,-1,23,0,90,64,63,64,64,0.0
N09-Vincent3D,216,0.1,8,40000,432,216,24,-1,-1,24,0,86,60,60,60,60,0.0
N09-Vincent3D,216,0.1,9,40000,432,216,26,-1,-1,31,5,91,65,65,65,65,0.0
N09-Vincent3D,216,0.1,10,40000,432,216,26,-1,-1,26,0,88,62,62,62,62,0.0
N09-Vincent3D,216,0.1,11,40000,432,216,25,-1,-1,25,0,91,65,65,65,65,0.0
N09-Vincent3D,216,0.1,12,40000,432,216,23,-1,-1,23,0,82,56,56,56,56,0.0
N09-Vincent3D,216,0.1,13,40000,432,216,23,-1,-1,43,20,90,64,64,64,64,0.0
N09-Vincent3D,216,0.1,14,40000,432,216,29,-1,-1,29,0,90,64,64,64,64,0.0
N09-Vincent3D,216,0.001,0,40000,432,25,24,-1,-1,42,18,88,62,62,62,62,0.0
N09-Vincent3D,216,0.001,1,40000,432,30,28,-1,-1,48,20,91,65,65,65,65,0.0
N09-Vincent3D,216,0.001,2,40000,432,28,25,-1,-1,25,0,85,59,59,59,57,0.0
N09-Vincent3D,216,0.001,3,40000,432,26,24,-1,-1,44,20,89,63,63,63,63,0.0
N09-Vincent3D,216,0.001,4,40000,432,25,23,-1,-1,43,20,90,64,64,64,64,0.0
N09-Vincent3D,216,0.001,5,40000,432,23,20,-1,-1,20,0,94,68,68,68,68,0.0
N09-Vincent3D,216,0.001,6,40000,432,26,20,-1,-1,20,0,86,60,60,60,60,0.0
N09-Vincent3D,216,0.001,7,40000,432,25,23,-1,-1,23,0,90,64,63,64,63,0.0
N09-Vincent3D,216,0.001,8,40000,432,29,24,-1,-1,24,0,86,60,60,60,60,0.0
N09-Vincent3D,216,0.001,9,40000,432,28,25,-1,-1,31,6,91,65,65,65,62,0.0
N09-Vincent3D,216,0.001,10,40000,432,26,26,-1,-1,26,0,88,62,62,62,61,0.0
N09-Vincent3D,216,0.001,11,40000,432,27,25,-1,-1,25,0,91,65,65,65,65,0.0
N09-Vincent3D,216,0.001,12,40000,432,24,23,-1,-1,23,0,82,56,56,56,55,0.0
N09-Vincent3D,216,0.001,13,40000,432,23,23,-1,-1,43,20,90,64,64,64,63,0.0
N09-Vincent3D,216,0.001,14,40000,432,24,23,-1,-1,29,6,90,64,64,64,63,0.0
N09-Vincent3D,216,1e-05,0,40000,432,25,24,-1,-1,42,18,88,62,62,62,61,0.0
N09-Vincent3D,216,1e-05,1,40000,432,27,27,-1,-1,48,21,91,65,65,65,62,0.0
N09-Vincent3D,216,1e-05,2,40000,432,22,21,-1,-1,25,4,85,59,59,59,52,0.0
N09-Vincent3D,216,1e-05,3,40000,432,22,22,-1,-1,44,22,89,63,63,63,59,0.0
N09-Vincent3D,216,1e-05,4,40000,432,21,21,-1,-1,43,22,90,64,64,64,59,0.0
N09-Vincent3D,216,1e-05,5,40000,432,18,18,-1,-1,20,2,94,68,68,68,65,0.0
N09-Vincent3D,216,1e-05,6,40000,432,19,19,-1,-1,20,1,86,60,60,60,58,0.0
N09-Vincent3D,216,1e-05,7,40000,432,22,22,-1,-1,23,1,90,64,63,64,57,0.0
N09-Vincent3D,216,1e-05,8,40000,432,22,22,-1,-1,24,2,86,60,60,60,56,0.0
N09-Vincent3D,216,1e-05,9,40000,432,24,24,-1,-1,31,7,91,65,65,65,59,0.0
N09-Vincent3D,216,1e-05,10,40000,432,25,25,-1,-1,26,1,88,62,62,62,59,0.0
N09-Vincent3D,216,1e-05,11,40000,432,23,23,-1,-1,25,2,91,65,65,65,63,0.0
N09-Vincent3D,216,1e-05,12,40000,432,21,21,-1,-1,23,2,82,56,56,56,50,0.0
N09-Vincent3D,216,1e-05,13,40000,432,23,23,-1,-1,43,20,90,64,64,64,60,0.0
N09-Vincent3D,216,1e-05,14,40000,432,22,22,-1,-1,29,7,90,64,64,64,60,0.0
