function,K,eps,seed,evals,cap,visited,reported,resel,n_resel_pts,distinct,blocked,n_reported_pts,spillover,basin_switch,hunts,landed,best_f
N09-Vincent3D,216,0.1,0,40000,432,216,43,-1,-1,45,2,103,77,77,77,75,0.0
N09-Vincent3D,216,0.1,1,40000,432,216,46,-1,-1,47,1,100,74,74,74,73,0.0
N09-Vincent3D,216,0.1,2,40000,432,216,47,-1,-1,49,2,101,75,75,75,73,0.0
N09-Vincent3D,216,0.1,3,40000,432,216,41,-1,-1,52,11,103,77,77,77,66,0.0
N09-Vincent3D,216,0.1,4,40000,432,216,52,-1,-1,54,2,103,77,77,77,75,0.0
N09-Vincent3D,216,0.1,5,40000,432,216,48,-1,-1,57,9,103,77,77,77,68,0.0
N09-Vincent3D,216,0.1,6,40000,432,216,49,-1,-1,55,6,103,77,77,77,71,0.0
N09-Vincent3D,216,0.1,7,40000,432,216,44,-1,-1,45,1,99,73,72,73,72,0.0
N09-Vincent3D,216,0.1,8,40000,432,216,33,-1,-1,34,1,102,76,76,76,75,0.0
N09-Vincent3D,216,0.1,9,40000,432,216,54,-1,-1,59,5,102,76,76,76,71,0.0
N09-Vincent3D,216,0.1,10,40000,432,216,46,-1,-1,48,2,100,74,74,74,72,0.0
N09-Vincent3D,216,0.1,11,40000,432,216,45,-1,-1,48,3,101,75,75,75,72,0.0
N09-Vincent3D,216,0.1,12,40000,432,216,45,-1,-1,51,6,102,76,76,76,71,0.0
N09-Vincent3D,216,0.1,13,40000,432,216,44,-1,-1,50,6,101,75,75,75,69,0.0
N09-Vincent3D,216,0.1,14,40000,432,216,43,-1,-1,43,0,99,73,73,73,73,0.0
N09-Vincent3D,216,0.001,0,40000,432,39,39,-1,-1,45,6,103,77,77,77,67,0.0
N09-Vincent3D,216,0.001,1,40000,432,33,33,-1,-1,47,14,100,74,74,74,51,0.0
N09-Vincent3D,216,0.001,2,40000,432,28,28,-1,-1,49,21,101,75,75,75,48,0.0
N09-Vincent3D,216,0.001,3,40000,432,30,30,-1,-1,52,22,103,77,77,77,49,0.0
N09-Vincent3D,216,0.001,4,40000,432,36,35,-1,-1,54,19,103,77,77,77,55,0.0
N09-Vincent3D,216,0.001,5,40000,432,32,32,-1,-1,57,25,103,77,77,77,46,0.0
N09-Vincent3D,216,0.001,6,40000,432,44,43,-1,-1,55,12,103,77,77,77,63,0.0
N09-Vincent3D,216,0.001,7,40000,432,29,29,-1,-1,45,16,99,73,72,73,49,0.0
N09-Vincent3D,216,0.001,8,40000,432,30,29,-1,-1,34,5,102,76,76,76,67,0.0
N09-Vincent3D,216,0.001,9,40000,432,30,30,-1,-1,59,29,102,76,76,76,42,0.0
N09-Vincent3D,216,0.001,10,40000,432,32,32,-1,-1,48,16,100,74,74,74,50,0.0
N09-Vincent3D,216,0.001,11,40000,432,35,35,-1,-1,48,13,101,75,75,75,51,0.0
N09-Vincent3D,216,0.001,12,40000,432,23,23,-1,-1,51,28,102,76,76,76,38,0.0
N09-Vincent3D,216,0.001,13,40000,432,30,30,-1,-1,50,20,101,75,75,75,45,0.0
N09-Vincent3D,216,0.001,14,40000,432,31,31,-1,-1,43,12,99,73,73,73,48,0.0
N09-Vincent3D,216,1e-05,0,40000,432,38,38,-1,-1,45,7,103,77,77,77,63,0.0
N09-Vincent3D,216,1e-05,1,40000,432,31,31,-1,-1,47,16,100,74,74,74,44,0.0
N09-Vincent3D,216,1e-05,2,40000,432,25,25,-1,-1,49,24,101,75,75,75,40,0.0
N09-Vincent3D,216,1e-05,3,40000,432,29,29,-1,-1,52,23,103,77,77,77,46,0.0
N09-Vincent3D,216,1e-05,4,40000,432,31,31,-1,-1,54,23,103,77,77,77,46,0.0
N09-Vincent3D,216,1e-05,5,40000,432,30,30,-1,-1,57,27,103,77,77,77,43,0.0
N09-Vincent3D,216,1e-05,6,40000,432,41,41,-1,-1,55,14,103,77,77,77,58,0.0
N09-Vincent3D,216,1e-05,7,40000,432,28,28,-1,-1,45,17,99,73,72,73,41,0.0
N09-Vincent3D,216,1e-05,8,40000,432,26,26,-1,-1,34,8,102,76,76,76,62,0.0
N09-Vincent3D,216,1e-05,9,40000,432,27,27,-1,-1,59,32,102,76,76,76,35,0.0
N09-Vincent3D,216,1e-05,10,40000,432,29,29,-1,-1,48,19,100,74,74,74,39,0.0
N09-Vincent3D,216,1e-05,11,40000,432,32,32,-1,-1,48,16,101,75,75,75,47,0.0
N09-Vincent3D,216,1e-05,12,40000,432,23,23,-1,-1,51,28,102,76,76,76,31,0.0
N09-Vincent3D,216,1e-05,13,40000,432,23,23,-1,-1,50,27,101,75,75,75,36,0.0
N09-Vincent3D,216,1e-05,14,40000,432,29,29,-1,-1,43,14,99,73,73,73,39,0.0
