function,K,eps,seed,evals,cap,visited,reported,resel,n_resel_pts,distinct,blocked,n_reported_pts,spillover,basin_switch,hunts,landed,best_f
N06-Shubert2D,18,0.1,0,20000,100,16,15,16,100,34,19,52,26,26,26,24,1.4210854715202004e-13
N06-Shubert2D,18,0.1,1,20000,100,16,14,16,100,33,19,51,25,25,25,23,8.526512829121202e-14
N06-Shubert2D,18,0.1,2,20000,100,17,15,17,100,34,19,53,27,27,27,27,8.526512829121202e-14
N06-Shubert2D,18,0.1,3,20000,100,17,12,17,100,28,16,52,26,26,26,26,1.4210854715202004e-13
N06-Shubert2D,18,0.1,4,20000,100,17,15,17,100,34,19,54,28,28,28,28,1.4210854715202004e-13
N06-Shubert2D,18,0.1,5,20000,100,17,13,17,100,30,17,53,27,27,27,26,8.526512829121202e-14
N06-Shubert2D,18,0.1,6,20000,100,15,13,15,100,29,16,51,25,25,25,23,1.1368683772161603e-13
N06-Shubert2D,18,0.1,7,20000,100,16,13,16,100,31,18,51,25,25,25,24,1.1368683772161603e-13
N06-Shubert2D,18,0.1,8,20000,100,15,12,15,100,32,20,52,26,26,26,25,8.526512829121202e-14
N06-Shubert2D,18,0.1,9,20000,100,16,13,16,100,34,21,52,26,26,26,23,8.526512829121202e-14
N06-Shubert2D,18,0.1,10,20000,100,16,13,16,100,32,19,52,26,26,26,25,8.526512829121202e-14
N06-Shubert2D,18,0.1,11,20000,100,18,16,18,100,31,15,52,26,26,26,26,8.526512829121202e-14
N06-Shubert2D,18,0.1,12,20000,100,15,12,15,100,30,18,52,26,26,26,26,1.4210854715202004e-13
N06-Shubert2D,18,0.1,13,20000,100,15,13,15,100,30,17,52,26,26,26,26,8.526512829121202e-14
N06-Shubert2D,18,0.1,14,20000,100,18,14,18,100,30,16,52,26,26,26,26,1.4210854715202004e-13
N06-Shubert2D,18,0.001,0,20000,100,14,13,14,100,34,21,52,26,26,26,19,1.4210854715202004e-13
N06-Shubert2D,18,0.001,1,20000,100,10,8,10,100,33,25,51,25,25,25,15,8.526512829121202e-14
N06-Shubert2D,18,0.001,2,20000,100,15,15,15,100,34,19,53,27,27,27,25,8.526512829121202e-14
N06-Shubert2D,18,0.001,3,20000,100,12,10,12,100,28,18,52,26,26,26,21,1.4210854715202004e-13
N06-Shubert2D,18,0.001,4,20000,100,17,15,17,100,34,19,54,28,28,28,26,1.4210854715202004e-13
N06-Shubert2D,18,0.001,5,20000,100,15,12,15,100,30,18,53,27,27,27,23,8.526512829121202e-14
N06-Shubert2D,18,0.001,6,20000,100,9,9,9,100,29,20,51,25,25,25,11,1.1368683772161603e-13
N06-Shubert2D,18,0.001,7,20000,100,12,9,12,100,31,22,51,25,25,25,14,1.1368683772161603e-13
N06-Shubert2D,18,0.001,8,20000,100,10,10,10,100,32,22,52,26,26,26,19,8.526512829121202e-14
N06-Shubert2D,18,0.001,9,20000,100,10,10,10,100,34,24,52,26,26,26,16,8.526512829121202e-14
N06-Shubert2D,18,0.001,10,20000,100,12,10,12,100,32,22,52,26,26,26,17,8.526512829121202e-14
N06-Shubert2D,18,0.001,11,20000,100,14,13,14,100,31,18,52,26,26,26,19,8.526512829121202e-14
N06-Shubert2D,18,0.001,12,20000,100,10,9,10,100,30,21,52,26,26,26,16,1.4210854715202004e-13
N06-Shubert2D,18,0.001,13,20000,100,12,12,12,100,30,18,52,26,26,26,17,8.526512829121202e-14
N06-Shubert2D,18,0.001,14,20000,100,15,14,15,100,30,16,52,26,26,26,25,1.4210854715202004e-13
N06-Shubert2D,18,1e-05,0,20000,100,2,2,2,100,34,32,52,26,26,26,2,1.4210854715202004e-13
N06-Shubert2D,18,1e-05,1,20000,100,1,1,1,100,33,32,51,25,25,25,2,8.526512829121202e-14
N06-Shubert2D,18,1e-05,2,20000,100,5,5,5,100,34,29,53,27,27,27,5,8.526512829121202e-14
N06-Shubert2D,18,1e-05,3,20000,100,1,1,1,100,28,27,52,26,26,26,1,1.4210854715202004e-13
N06-Shubert2D,18,1e-05,4,20000,100,2,2,2,100,34,32,54,28,28,28,2,1.4210854715202004e-13
N06-Shubert2D,18,1e-05,5,20000,100,1,1,1,100,30,29,53,27,27,27,1,8.526512829121202e-14
N06-Shubert2D,18,1e-05,6,20000,100,1,1,1,100,29,28,51,25,25,25,1,1.1368683772161603e-13
N06-Shubert2D,18,1e-05,7,20000,100,1,1,1,100,31,30,51,25,25,25,1,1.1368683772161603e-13
N06-Shubert2D,18,1e-05,8,20000,100,1,1,1,100,32,31,52,26,26,26,1,8.526512829121202e-14
N06-Shubert2D,18,1e-05,9,20000,100,3,2,3,100,34,32,52,26,26,26,2,8.526512829121202e-14
N06-Shubert2D,18,1e-05,10,20000,100,3,3,3,100,32,29,52,26,26,26,3,8.526512829121202e-14
N06-Shubert2D,18,1e-05,11,20000,100,1,1,1,100,31,30,52,26,26,26,1,8.526512829121202e-14
