function,K,eps,seed,evals,cap,visited,reported,resel,n_resel_pts,distinct,blocked,n_reported_pts,spillover,basin_switch,hunts,landed,best_f
N06-Shubert2D,18,0.1,0,20000,100,15,14,15,100,15,1,55,29,29,29,29,1.4210854715202004e-13
N06-Shubert2D,18,0.1,1,20000,100,16,15,16,100,15,0,54,28,28,28,28,8.526512829121202e-14
N06-Shubert2D,18,0.1,2,20000,100,15,14,15,100,29,15,57,31,31,31,31,8.526512829121202e-14
N06-Shubert2D,18,0.001,0,20000,100,14,14,14,100,15,1,55,29,29,29,29,1.4210854715202004e-13
N06-Shubert2D,18,0.001,1,20000,100,15,15,15,100,15,0,54,28,28,28,28,8.526512829121202e-14
N06-Shubert2D,18,0.001,2,20000,100,14,14,14,100,29,15,57,31,31,31,31,8.526512829121202e-14
N06-Shubert2D,18,1e-05,0,20000,100,6,6,6,100,15,9,55,29,29,29,6,1.4210854715202004e-13
N06-Shubert2D,18,1e-05,1,20000,100,6,6,6,100,15,9,54,28,28,28,7,8.526512829121202e-14
N06-Shubert2D,18,1e-05,2,20000,100,5,5,5,100,29,24,57,31,31,31,6,8.526512829121202e-14
N07-Vincent2D,36,0.1,0,20000,100,36,15,36,100,25,10,63,37,37,37,37,0.0
N07-Vincent2D,36,0.1,1,20000,100,36,14,36,100,14,0,61,35,35,35,35,0.0
N07-Vincent2D,36,0.1,2,20000,100,36,10,36,100,10,0,58,32,32,32,32,0.0
N07-Vincent2D,36,0.001,0,20000,100,17,10,17,100,25,15,63,37,37,37,37,0.0
N07-Vincent2D,36,0.001,1,20000,100,16,10,16,100,14,4,61,35,35,35,35,0.0
N07-Vincent2D,36,0.001,2,20000,100,13,9,13,100,10,1,58,32,32,32,32,0.0
N07-Vincent2D,36,1e-05,0,20000,100,11,10,11,100,25,15,63,37,37,37,36,0.0
N07-Vincent2D,36,1e-05,1,20000,100,10,10,10,100,14,4,61,35,35,35,35,0.0
N07-Vincent2D,36,1e-05,2,20000,100,9,9,9,100,10,1,58,32,32,32,31,0.0
