function,K,eps,seed,evals,cap,visited,reported,resel,n_resel_pts,distinct,blocked,n_reported_pts,spillover,basin_switch,hunts,landed,best_f
N06-Shubert2D,18,0.1,0,20000,100,15,15,15,100,19,4,55,29,29,29,29,1.4210854715202004e-13
N06-Shubert2D,18,0.1,1,20000,100,15,15,15,100,17,2,54,28,28,28,27,8.526512829121202e-14
N06-Shubert2D,18,0.1,2,20000,100,16,16,16,100,17,1,57,31,31,31,30,8.526512829121202e-14
N06-Shubert2D,18,0.001,0,20000,100,15,15,15,100,19,4,55,29,29,29,29,1.4210854715202004e-13
N06-Shubert2D,18,0.001,1,20000,100,15,15,15,100,17,2,54,28,28,28,27,8.526512829121202e-14
N06-Shubert2D,18,0.001,2,20000,100,16,16,16,100,17,1,57,31,31,31,30,8.526512829121202e-14
N06-Shubert2D,18,1e-05,0,20000,100,3,3,3,100,19,16,55,29,29,29,4,1.4210854715202004e-13
N06-Shubert2D,18,1e-05,1,20000,100,4,4,4,100,17,13,54,28,28,28,4,8.526512829121202e-14
N06-Shubert2D,18,1e-05,2,20000,100,2,2,2,100,17,15,57,31,31,31,2,8.526512829121202e-14
N07-Vincent2D,36,0.1,0,20000,100,36,9,36,100,9,0,64,38,38,38,38,0.0
N07-Vincent2D,36,0.1,1,20000,100,36,9,36,100,9,0,60,34,34,34,34,0.0
N07-Vincent2D,36,0.1,2,20000,100,36,9,36,100,9,0,59,33,33,33,33,0.0
N07-Vincent2D,36,0.001,0,20000,100,14,9,14,100,9,0,64,38,38,38,38,0.0
N07-Vincent2D,36,0.001,1,20000,100,12,9,12,100,9,0,60,34,34,34,34,0.0
N07-Vincent2D,36,0.001,2,20000,100,9,8,9,100,9,1,59,33,33,33,33,0.0
N07-Vincent2D,36,1e-05,0,20000,100,11,9,11,100,9,0,64,38,38,38,38,0.0
N07-Vincent2D,36,1e-05,1,20000,100,10,9,10,100,9,0,60,34,34,34,33,0.0
N07-Vincent2D,36,1e-05,2,20000,100,8,8,8,100,9,1,59,33,33,33,33,0.0
