function,K,seed,hunt,eval,f,switch,exhausted,sigma_span,no_improve,distinct,x0,x1
N06-Shubert2D,18,0,0,2850,1.4210854715202004e-13,1,1,1e-06,901,1,-1.425128428,-0.8003211005
N06-Shubert2D,18,0,1,3410,2.8674213865542697e-06,1,1,0.0005034549886464197,540,1,5.482869935,4.858022249
N06-Shubert2D,18,0,2,4030,8.937404078324107e-05,1,1,7.161232222403831e-05,600,1,4.85806781,-7.083707198
N06-Shubert2D,18,0,3,4620,9.889281156461038e-05,1,1,0.00018987780510698704,570,0,-0.8004748395,-1.425269924
N06-Shubert2D,18,0,4,5270,0.00011378174230003424,1,1,2.7008552639577468e-05,630,0,-1.425049879,-0.8001090088
N06-Shubert2D,18,0,5,5855,5.946396012745936e-05,1,1,0.00022338565306704358,565,0,-1.424981668,-0.8003858399
N06-Shubert2D,18,0,6,6420,0.00012652815502178782,1,1,0.0004279367403494568,545,0,-7.708142511,-7.083344127
N06-Shubert2D,18,0,7,7015,6.565063443986219e-06,1,1,0.000161396134340939,575,1,-0.8003539662,-1.425086089
N06-Shubert2D,18,0,8,7595,9.041753469318792e-05,1,1,0.0002628066506671101,560,0,-7.083560295,4.857867028
N06-Shubert2D,18,0,9,8220,3.291367829660885e-05,1,1,6.0870473890432556e-05,605,1,-1.425035881,-7.083582961
N06-Shubert2D,18,0,10,8775,0.000113182872979678,1,1,0.0005922999866428468,535,0,-0.8001576219,4.857904483
N06-Shubert2D,18,0,11,9345,0.00014913841104657877,1,1,0.00036374622929703825,550,0,-7.708336124,-0.8000623291
N06-Shubert2D,18,0,12,9850,0.0001381293544682194,1,1,0.0013810827748264173,485,0,-7.083373037,-7.708519656
N06-Shubert2D,18,0,13,10490,8.410328831587321e-05,1,1,3.7382079777961895e-05,620,0,4.857988644,-0.8005031649
N06-Shubert2D,18,0,14,11125,0.00011518418486389237,1,1,4.397891738583752e-05,615,1,5.482795315,-7.708525688
N06-Shubert2D,18,0,15,11760,0.00015340200167202056,1,1,4.397891738583752e-05,615,1,-0.8005413485,-7.708454534
N06-Shubert2D,18,0,16,12355,1.3014894420848577e-05,1,1,0.000161396134340939,575,1,4.858050539,-0.8002446333
N06-Shubert2D,18,0,17,12960,7.78059561810096e-05,1,1,0.00011660870706132842,585,1,-7.083581641,4.858224257
N06-Shubert2D,18,0,18,13610,0.00012984095403112406,1,1,2.7008552639577468e-05,630,1,-7.083374714,-7.708511898
N06-Shubert2D,18,0,19,14230,6.571661802468043e-05,1,1,7.161232222403831e-05,600,0,-7.708218749,5.483006413
N06-Shubert2D,18,0,20,14795,5.0200571479308564e-05,1,1,0.0004279367403494568,545,1,-7.708373592,5.482726592
N06-Shubert2D,18,0,21,15400,8.002113332850058e-06,1,1,0.00011660870706132842,585,0,5.482851903,4.858114235
N06-Shubert2D,18,0,22,16035,2.2630913122156926e-05,1,1,4.397891738583752e-05,615,1,5.48296274,-1.425150896
