function,method,rule,seed,evals,n_optima,n_reported,pr_1e-1,pr_1e-2,pr_1e-3,pr_1e-4,pr_1e-5
N06-Shubert2D,MC-ESO,current,0,20000,18,55,0.8333,0.8333,0.8333,0.6111,0.1667
N06-Shubert2D,MC-ESO,current,1,20000,18,54,0.8333,0.8333,0.8333,0.8333,0.2222
N06-Shubert2D,MC-ESO,current,2,20000,18,57,0.8889,0.8889,0.8889,0.7778,0.1111
N06-Shubert2D,MC-ESO,current,3,20000,18,54,0.6667,0.6667,0.6667,0.5000,0.3333
N06-Shubert2D,MC-ESO,current,4,20000,18,58,0.8333,0.8333,0.8333,0.6667,0.1667
N06-Shubert2D,MC-ESO,reselect,0,20000,18,100,0.8333,0.8333,0.8333,0.6111,0.1667
N06-Shubert2D,MC-ESO,reselect,1,20000,18,100,0.8333,0.8333,0.8333,0.8333,0.2222
N06-Shubert2D,MC-ESO,reselect,2,20000,18,100,0.8889,0.8889,0.8889,0.7778,0.1111
N06-Shubert2D,MC-ESO,reselect,3,20000,18,100,0.8333,0.7222,0.6667,0.5000,0.3333
N06-Shubert2D,MC-ESO,reselect,4,20000,18,100,0.8333,0.8333,0.8333,0.6667,0.1667
N06-Shubert2D,MC-ESO-crowd,current,0,20000,18,58,0.5556,0.5000,0.2778,0.1667,0.0556
N06-Shubert2D,MC-ESO-crowd,current,1,20000,18,51,0.8333,0.6667,0.5556,0.4444,0.0556
N06-Shubert2D,MC-ESO-crowd,current,2,20000,18,52,0.7222,0.5000,0.5000,0.3333,0.1667
N06-Shubert2D,MC-ESO-crowd,current,3,20000,18,52,0.8333,0.7778,0.7778,0.4444,0.0556
N06-Shubert2D,MC-ESO-crowd,current,4,20000,18,51,0.7222,0.6111,0.5556,0.1667,0.1111
N06-Shubert2D,MC-ESO-crowd,reselect,0,20000,18,100,0.6111,0.5556,0.2778,0.1667,0.0556
N06-Shubert2D,MC-ESO-crowd,reselect,1,20000,18,100,1.0000,0.8889,0.6667,0.5000,0.0556
N06-Shubert2D,MC-ESO-crowd,reselect,2,20000,18,100,0.8889,0.7222,0.6111,0.3333,0.1667
N06-Shubert2D,MC-ESO-crowd,reselect,3,20000,18,100,0.8333,0.7778,0.7778,0.4444,0.0556
N06-Shubert2D,MC-ESO-crowd,reselect,4,20000,18,100,0.7778,0.6111,0.5556,0.1667,0.1111
N06-Shubert2D,NCDE,current,0,20000,18,30,0.1667,0.0556,0.0000,0.0000,0.0000
N06-Shubert2D,NCDE,current,1,20000,18,30,0.2778,0.0000,0.0000,0.0000,0.0000
N06-Shubert2D,NCDE,current,2,20000,18,30,0.0556,0.0556,0.0000,0.0000,0.0000
N06-Shubert2D,NCDE,current,3,20000,18,30,0.1111,0.0000,0.0000,0.0000,0.0000
N06-Shubert2D,NCDE,current,4,20000,18,30,0.3889,0.0000,0.0000,0.0000,0.0000
N06-Shubert2D,NCDE,reselect,0,20000,18,100,0.2222,0.0556,0.0000,0.0000,0.0000
N06-Shubert2D,NCDE,reselect,1,20000,18,100,0.2778,0.0000,0.0000,0.0000,0.0000
N06-Shubert2D,NCDE,reselect,2,20000,18,100,0.0556,0.0556,0.0000,0.0000,0.0000
N06-Shubert2D,NCDE,reselect,3,20000,18,100,0.1111,0.0000,0.0000,0.0000,0.0000
N06-Shubert2D,NCDE,reselect,4,20000,18,100,0.4444,0.0000,0.0000,0.0000,0.0000
N06-Shubert2D,r3pso,current,0,20000,18,30,0.3889,0.3333,0.3333,0.3333,0.3333
N06-Shubert2D,r3pso,current,1,20000,18,30,0.3333,0.2778,0.2778,0.2778,0.2778
N06-Shubert2D,r3pso,current,2,20000,18,30,0.3333,0.2778,0.2778,0.2778,0.2778
N06-Shubert2D,r3pso,current,3,20000,18,30,0.2778,0.2222,0.2222,0.2222,0.2222
N06-Shubert2D,r3pso,current,4,20000,18,30,0.3333,0.3333,0.2778,0.2222,0.2222
N06-Shubert2D,r3pso,reselect,0,20000,18,100,0.3889,0.3333,0.3333,0.3333,0.3333
N06-Shubert2D,r3pso,reselect,1,20000,18,100,0.3333,0.2778,0.2778,0.2778,0.2778
N06-Shubert2D,r3pso,reselect,2,20000,18,100,0.3333,0.2778,0.2778,0.2778,0.2778
