function,method,rule,seed,evals,n_optima,n_reported,pr_1e-1,pr_1e-2,pr_1e-3,pr_1e-4,pr_1e-5
N08-Shubert3D,MC-ESO,current,0,40000,81,82,0.3210,0.3086,0.0494,0.0123,0.0123
N08-Shubert3D,MC-ESO,current,1,40000,81,79,0.3333,0.3333,0.1235,0.0123,0.0123
N08-Shubert3D,MC-ESO,current,2,40000,81,80,0.3457,0.3457,0.1605,0.0123,0.0123
N08-Shubert3D,MC-ESO,current,3,40000,81,79,0.3704,0.3580,0.1235,0.0123,0.0123
N08-Shubert3D,MC-ESO,current,4,40000,81,78,0.3333,0.3333,0.1481,0.0370,0.0123
N08-Shubert3D,MC-ESO,reselect,0,40000,81,162,0.3210,0.3086,0.0494,0.0123,0.0123
N08-Shubert3D,MC-ESO,reselect,1,40000,81,162,0.3333,0.3333,0.1235,0.0123,0.0123
N08-Shubert3D,MC-ESO,reselect,2,40000,81,162,0.3457,0.3457,0.1605,0.0123,0.0123
N08-Shubert3D,MC-ESO,reselect,3,40000,81,162,0.3704,0.3580,0.1235,0.0123,0.0123
N08-Shubert3D,MC-ESO,reselect,4,40000,81,162,0.3333,0.3333,0.1481,0.0370,0.0123
N08-Shubert3D,MC-ESO-crowd,current,0,40000,81,78,0.2840,0.2716,0.0494,0.0123,0.0123
N08-Shubert3D,MC-ESO-crowd,current,1,40000,81,77,0.3333,0.2716,0.0247,0.0123,0.0123
N08-Shubert3D,MC-ESO-crowd,current,2,40000,81,77,0.2593,0.2099,0.0370,0.0247,0.0247
N08-Shubert3D,MC-ESO-crowd,current,3,40000,81,78,0.2469,0.2099,0.0247,0.0123,0.0123
N08-Shubert3D,MC-ESO-crowd,current,4,40000,81,76,0.2840,0.2593,0.0494,0.0123,0.0123
N08-Shubert3D,MC-ESO-crowd,reselect,0,40000,81,162,0.2840,0.2716,0.0617,0.0123,0.0123
N08-Shubert3D,MC-ESO-crowd,reselect,1,40000,81,162,0.3457,0.2716,0.0247,0.0123,0.0123
N08-Shubert3D,MC-ESO-crowd,reselect,2,40000,81,162,0.2716,0.2099,0.0370,0.0247,0.0247
N08-Shubert3D,MC-ESO-crowd,reselect,3,40000,81,162,0.2593,0.2222,0.0247,0.0123,0.0123
N08-Shubert3D,MC-ESO-crowd,reselect,4,40000,81,162,0.2840,0.2593,0.0494,0.0123,0.0123
N08-Shubert3D,NCDE,current,0,40000,81,30,0.3086,0.3086,0.3086,0.2099,0.0000
N08-Shubert3D,NCDE,current,1,40000,81,30,0.1728,0.1111,0.0123,0.0000,0.0000
N08-Shubert3D,NCDE,current,2,40000,81,30,0.3333,0.3333,0.3333,0.3333,0.3333
N08-Shubert3D,NCDE,current,3,40000,81,30,0.0000,0.0000,0.0000,0.0000,0.0000
N08-Shubert3D,NCDE,current,4,40000,81,30,0.0000,0.0000,0.0000,0.0000,0.0000
N08-Shubert3D,NCDE,reselect,0,40000,81,162,0.3333,0.3333,0.3333,0.2222,0.0000
N08-Shubert3D,NCDE,reselect,1,40000,81,162,0.1975,0.1111,0.0123,0.0000,0.0000
N08-Shubert3D,NCDE,reselect,2,40000,81,162,0.3333,0.3333,0.3333,0.3333,0.3333
N08-Shubert3D,NCDE,reselect,3,40000,81,162,0.0000,0.0000,0.0000,0.0000,0.0000
N08-Shubert3D,NCDE,reselect,4,40000,81,162,0.0000,0.0000,0.0000,0.0000,0.0000
N08-Shubert3D,r3pso,current,0,40000,81,30,0.0494,0.0494,0.0494,0.0494,0.0494
N08-Shubert3D,r3pso,current,1,40000,81,30,0.0617,0.0617,0.0617,0.0617,0.0617
N08-Shubert3D,r3pso,current,2,40000,81,30,0.0617,0.0617,0.0617,0.0617,0.0617
N08-Shubert3D,r3pso,current,3,40000,81,30,0.0494,0.0494,0.0494,0.0494,0.0494
N08-Shubert3D,r3pso,current,4,40000,81,30,0.0617,0.0617,0.0617,0.0617,0.0617
N08-Shubert3D,r3pso,reselect,0,40000,81,162,0.0494,0.0494,0.0494,0.0494,0.0494
N08-Shubert3D,r3pso,reselect,1,40000,81,162,0.0617,0.0617,0.0617,0.0617,0.0617
N08-Shubert3D,r3pso,reselect,2,40000,81,162,0.0617,0.0617,0.0617,0.0617,0.0617
N08-Shubert3D,r3pso,reselect,3,40000,81,162,0.0494,0.0494,0.0494,0.0494,0.0494
N08-Shubert3D,r3pso,reselect,4,40000,81,162,0.0617,0.0617,0.0617,0.0617,0.0617
N08-Shubert3D,DE,current,0,40000,81,30,0.0123,0.0123,0.0123,0.0123,0.0123
N08-Shubert3D,DE,current,1,40000,81,30,0.0123,0.0123,0.0123,0.0123,0.0123
N08-Shubert3D,DE,current,2,40000,81,30,0.0123,0.0123,0.0123,0.0123,0.0123
N08-Shubert3D,DE,current,3,40000,81,30,0.0123,0.0123,0.0123,0.0123,0.0123
N08-Shubert3D,DE,current,4,40000,81,30,0.0123,0.0123,0.0123,0.0123,0.0123
N08-Shubert3D,DE,reselect,0,40000,81,162,0.0247,0.0247,0.0123,0.0123,0.0123
N08-Shubert3D,DE,reselect,1,40000,81,162,0.0123,0.0123,0.0123,0.0123,0.0123
N08-Shubert3D,DE,reselect,2,40000,81,162,0.0123,0.0123,0.0123,0.0123,0.0123
N08-Shubert3D,DE,reselect,3,40000,81,162,0.0123,0.0123,0.0123,0.0123,0.0123
N08-Shubert3D,DE,reselect,4,40000,81,162,0.0123,0.0123,0.0123,0.0123,0.0123
N08-Shubert3D,NM-Restart,current,0,40000,81,2,0.0000,0.0000,0.0000,0.0000,0.0000
N08-Shubert3D,NM-Restart,current,1,40000,81,16,0.0000,0.0000,0.0000,0.0000,0.0000
N08-Shubert3D,NM-Restart,current,2,40000,81,3,0.0000,0.0000,0.0000,0.0000,0.0000
N08-Shubert3D,NM-Restart,current,3,40000,81,6,0.0000,0.0000,0.0000,0.0000,0.0000
N08-Shubert3D,NM-Restart,current,4,40000,81,2,0.0000,0.0000,0.0000,0.0000,0.0000
N08-Shubert3D,NM-Restart,reselect,0,40000,81,5,0.0000,0.0000,0.0000,0.0000,0.0000
N08-Shubert3D,NM-Restart,reselect,1,40000,81,28,0.0000,0.0000,0.0000,0.0000,0.0000
N08-Shubert3D,NM-Restart,reselect,2,40000,81,6,0.0000,0.0000,0.0000,0.0000,0.0000
N08-Shubert3D,NM-Restart,reselect,3,40000,81,8,0.0000,0.0000,0.0000,0.0000,0.0000
N08-Shubert3D,NM-Restart,reselect,4,40000,81,5,0.0000,0.0000,0.0000,0.0000,0.0000
N08-Shubert3D,NMMSO,current,0,40000,81,148,0.2469,0.2099,0.1481,0.0741,0.0370
N08-Shubert3D,NMMSO,current,1,40000,81,148,0.2716,0.1728,0.1111,0.0494,0.0247
N08-Shubert3D,NMMSO,current,2,40000,81,153,0.2346,0.1358,0.1235,0.0864,0.0247
N08-Shubert3D,NMMSO,current,3,40000,81,162,0.3210,0.2346,0.1358,0.0988,0.0617
N08-Shubert3D,NMMSO,current,4,40000,81,162,0.0988,0.0864,0.0370,0.0247,0.0123
N08-Shubert3D,NMMSO,reselect,0,40000,81,162,0.2469,0.2099,0.1481,0.0741,0.0370
N08-Shubert3D,NMMSO,reselect,1,40000,81,162,0.2716,0.1728,0.1111,0.0494,0.0247
N08-Shubert3D,NMMSO,reselect,2,40000,81,162,0.2346,0.1358,0.1235,0.0864,0.0247
N08-Shubert3D,NMMSO,reselect,3,40000,81,162,0.3210,0.2346,0.1358,0.0988,0.0617
N08-Shubert3D,NMMSO,reselect,4,40000,81,162,0.0988,0.0864,0.0370,0.0247,0.0123
