n_draws,n_problems_scored,mpr,mpr_earlystop,mpr_sup,mpr_sup_chao1,chao1_minus_published
50,16,0.472528,0.489399,0.494375,0.535521,-0.115479
100,16,0.523535,0.560220,0.578750,0.611094,-0.039906
200,16,0.539252,0.586420,0.628750,0.654896,+0.003896
300,16,0.539017,0.587700,0.632500,0.659271,+0.008271
400,16,0.543914,0.595780,0.648750,0.684271,+0.033271

problem,K,draws,ceiling,at200,at400,delta
M09-D10-PIN01,10,400,mpr,0.456804,0.460256,+0.003452
M09-D10-PIN01,10,400,mpr_earlystop,0.480058,0.482016,+0.001957
M09-D10-PIN01,10,400,mpr_sup,0.540000,0.540000,+0.000000
M09-D10-PIN01,10,400,mpr_sup_chao1,0.540000,0.540000,+0.000000
M10-D10-PIN01,10,400,mpr,0.648564,0.629192,-0.019371
M10-D10-PIN01,10,400,mpr_earlystop,0.782950,0.777116,-0.005834
M10-D10-PIN01,10,400,mpr_sup,0.820000,0.820000,+0.000000
M10-D10-PIN01,10,400,mpr_sup_chao1,0.820000,0.820000,+0.000000
M11-D10-PIN01,10,400,mpr,0.525689,0.517807,-0.007882
M11-D10-PIN01,10,400,mpr_earlystop,0.561092,0.553364,-0.007727
M11-D10-PIN01,10,400,mpr_sup,0.600000,0.600000,+0.000000
M11-D10-PIN01,10,400,mpr_sup_chao1,0.600000,0.600000,+0.000000
M12-D10-PIN01,10,400,mpr,0.705385,0.735187,+0.029802
M12-D10-PIN01,10,400,mpr_earlystop,0.759317,0.777236,+0.017919
M12-D10-PIN01,10,400,mpr_sup,0.800000,0.800000,+0.000000
M12-D10-PIN01,10,400,mpr_sup_chao1,0.820000,0.800000,-0.020000
M13-D10-PIN01,10,400,mpr,0.738165,0.784519,+0.046354
M13-D10-PIN01,10,400,mpr_earlystop,0.766272,0.828058,+0.061787
M13-D10-PIN01,10,400,mpr_sup,0.800000,0.900000,+0.100000
M13-D10-PIN01,10,400,mpr_sup_chao1,0.800000,0.900000,+0.100000
M14-D10-PIN01,10,400,mpr,0.299797,0.298949,-0.000848
M14-D10-PIN01,10,400,mpr_earlystop,0.299913,0.299435,-0.000478
M14-D10-PIN01,10,400,mpr_sup,0.300000,0.300000,+0.000000
M14-D10-PIN01,10,400,mpr_sup_chao1,0.300000,0.300000,+0.000000
M15-D10-PIN01,10,400,mpr,0.378676,0.416699,+0.038022
M15-D10-PIN01,10,400,mpr_earlystop,0.416897,0.509527,+0.092630
M15-D10-PIN01,10,400,mpr_sup,0.440000,0.660000,+0.220000
M15-D10-PIN01,10,400,mpr_sup_chao1,0.440000,0.830000,+0.390000
M16-D10-PIN01,10,400,mpr,0.586687,0.571752,-0.014935
M16-D10-PIN01,10,400,mpr_earlystop,0.594222,0.583719,-0.010503
M16-D10-PIN01,10,400,mpr_sup,0.600000,0.600000,+0.000000
M16-D10-PIN01,10,400,mpr_sup_chao1,0.600000,0.600000,+0.000000
