problem,K,n_draws,S_obs,f1,f2,chao1_correction,S_obs_over_K,chao1_over_K
M01-D10-PIN01,20,200,13,2,1,0.50,0.6500,0.6750
M01-D10-PIN01,20,400,15,2,2,0.33,0.7500,0.7667
M02-D10-PIN01,20,200,8,0,0,0.00,0.4000,0.4000
M02-D10-PIN01,20,400,10,1,0,0.00,0.5000,0.5000
M03-D10-PIN01,20,200,12,1,1,0.00,0.6000,0.6000
M03-D10-PIN01,20,400,13,1,1,0.00,0.6500,0.6500
M04-D10-PIN01,20,200,15,1,4,0.00,0.7500,0.7500
M04-D10-PIN01,20,400,15,1,1,0.00,0.7500,0.7500
M05-D10-PIN01,20,200,14,2,0,1.00,0.7000,0.7500
M05-D10-PIN01,20,400,16,1,2,0.00,0.8000,0.8000
M06-D10-PIN01,20,200,9,4,2,2.00,0.4500,0.5500
M06-D10-PIN01,20,400,12,5,0,10.00,0.6000,1.0000
M07-D10-PIN01,20,200,12,2,1,0.50,0.6000,0.6250
M07-D10-PIN01,20,400,12,2,1,0.50,0.6000,0.6250
M08-D10-PIN01,20,200,14,3,0,3.00,0.7000,0.8500
M08-D10-PIN01,20,400,14,0,1,0.00,0.7000,0.7000
M09-D10-PIN01,10,200,5,0,1,0.00,0.5000,0.5000
M09-D10-PIN01,10,400,5,0,0,0.00,0.5000,0.5000
M10-D10-PIN01,10,200,4,1,0,0.00,0.4000,0.4000
M10-D10-PIN01,10,400,4,0,1,0.00,0.4000,0.4000
M11-D10-PIN01,10,200,5,0,0,0.00,0.5000,0.5000
M11-D10-PIN01,10,400,5,0,0,0.00,0.5000,0.5000
M12-D10-PIN01,10,200,7,1,0,0.00,0.7000,0.7000
M12-D10-PIN01,10,400,7,0,0,0.00,0.7000,0.7000
M13-D10-PIN01,10,200,8,1,0,0.00,0.8000,0.8000
M13-D10-PIN01,10,400,9,1,0,0.00,0.9000,0.9000
M14-D10-PIN01,10,200,3,0,0,0.00,0.3000,0.3000
M14-D10-PIN01,10,400,3,0,0,0.00,0.3000,0.3000
M15-D10-PIN01,10,200,4,1,0,0.00,0.4000,0.4000
M15-D10-PIN01,10,400,6,3,0,3.00,0.6000,0.9000
M16-D10-PIN01,10,200,6,0,0,0.00,0.6000,0.6000
M16-D10-PIN01,10,400,6,0,0,0.00,0.6000,0.6000
