n_draws,n_problems,S_obs_over_K,increment_per_100,correction_over_K,mpr,mpr_earlystop,mpr_sup,mpr_sup_chao1,chao1_minus_published
50,16,0.494375,,0.041146,0.472528,0.489399,0.494375,0.535521,-0.115479
100,16,0.578750,+0.168750,0.032344,0.523535,0.560220,0.578750,0.611094,-0.039906
200,16,0.628750,+0.050000,0.026146,0.539252,0.586420,0.628750,0.654896,+0.003896
300,16,0.655000,+0.026250,0.036875,0.546431,0.599336,0.655000,0.691875,+0.040875
400,16,0.681250,+0.026250,0.046354,0.550932,0.609310,0.681250,0.727604,+0.076604
500,16,0.700625,+0.019375,0.035104,0.552950,0.613286,0.700625,0.735729,+0.084729

problem,K,draws_held,opt_1e5_at_400,opt_1e5_at_depth,mpr_at_depth,sup_at_depth,chao1_at_depth
M01-D10-PIN01,20,500,15,15,0.589804,0.800000,0.806667
M02-D10-PIN01,20,500,10,10,0.461544,0.740000,0.900000
M03-D10-PIN01,20,500,13,15,0.529592,0.830000,0.905000
M04-D10-PIN01,20,500,15,16,0.633255,0.800000,0.850000
M05-D10-PIN01,20,500,16,16,0.674182,0.800000,0.800000
M06-D10-PIN01,20,500,12,12,0.382281,0.600000,0.750000
M07-D10-PIN01,20,500,12,12,0.495932,0.600000,0.615000
M08-D10-PIN01,20,500,14,16,0.642054,0.800000,0.825000
M09-D10-PIN01,10,500,5,5,0.459323,0.540000,0.540000
M10-D10-PIN01,10,500,4,4,0.630924,0.840000,0.840000
M11-D10-PIN01,10,500,5,5,0.518775,0.600000,0.600000
M12-D10-PIN01,10,500,7,7,0.746356,0.800000,0.800000
M13-D10-PIN01,10,500,9,9,0.797521,0.900000,0.900000
M14-D10-PIN01,10,500,3,3,0.297932,0.300000,0.300000
M15-D10-PIN01,10,500,6,6,0.418484,0.660000,0.740000
M16-D10-PIN01,10,500,6,6,0.569231,0.600000,0.600000
