problem,K,s200,s400,s600,inc_200_400,inc_400_600,opt_1e5_at_400,opt_1e5_at_600,new_optima,draws_reaching_1e5
M01-D10-PIN01,20,0.720000,0.800000,0.860000,0.080000,0.060000,15,17,2,486
M02-D10-PIN01,20,0.560000,0.700000,0.740000,0.140000,0.040000,10,10,0,581
M03-D10-PIN01,20,0.680000,0.730000,0.830000,0.050000,0.100000,13,15,2,524
M04-D10-PIN01,20,0.750000,0.750000,0.800000,0.000000,0.050000,15,16,1,600
M05-D10-PIN01,20,0.700000,0.800000,0.800000,0.100000,0.000000,16,16,0,527
M06-D10-PIN01,20,0.450000,0.600000,0.600000,0.150000,0.000000,12,12,0,77
M07-D10-PIN01,20,0.600000,0.600000,0.600000,0.000000,0.000000,12,12,0,364
M08-D10-PIN01,20,0.700000,0.700000,0.800000,0.000000,0.100000,14,16,2,454
M09-D10-PIN01,10,0.540000,0.540000,0.540000,0.000000,0.000000,5,5,0,379
M10-D10-PIN01,10,0.820000,0.820000,0.840000,0.000000,0.020000,4,4,0,396
M11-D10-PIN01,10,0.600000,0.600000,0.600000,0.000000,0.000000,5,5,0,426
M12-D10-PIN01,10,0.800000,0.800000,0.800000,0.000000,0.000000,7,7,0,568
M13-D10-PIN01,10,0.800000,0.900000,0.900000,0.100000,0.000000,9,9,0,481
M14-D10-PIN01,10,0.300000,0.300000,0.300000,0.000000,0.000000,3,3,0,132
M15-D10-PIN01,10,0.440000,0.660000,0.680000,0.220000,0.020000,6,6,0,455
M16-D10-PIN01,10,0.600000,0.600000,0.700000,0.000000,0.100000,6,7,1,371
