K,d_hi,d_lo,d_mpr,ev_iso,ev_sig050,ev_sig100,func,group,have_iso,have_sig050,have_sig100,hit_iso,hit_sig050,hit_sig100,m,moved,mpr_argmax,mpr_earlystop_argmax,mpr_earlystop_iso,mpr_earlystop_max,mpr_earlystop_sig050,mpr_earlystop_sig100,mpr_iso,mpr_max,mpr_sig050,mpr_sig100,mpr_sup_argmax,mpr_sup_chao1_argmax,mpr_sup_chao1_iso,mpr_sup_chao1_max,mpr_sup_chao1_sig050,mpr_sup_chao1_sig100,mpr_sup_iso,mpr_sup_max,mpr_sup_sig050,mpr_sup_sig100,only_050,only_100,p_mcnemar,reach_iso,reach_sig050,reach_sig100
20,0.04185160869582257,-0.040930598967774935,-0.00014359856783996428,6393.45,7124.05,6832.15,M01-D10-PIN01,A,True,True,True,0.87,0.795,0.845,200,28,sig100,sig100,nan,0.6316401216107792,0.6282483454115144,0.6316401216107792,0.5237213567889443,0.5747602049686588,0.5746166064008188,0.5747602049686588,sig050,sig050,0.6,0.7849999999999999,0.7849999999999999,0.7733333333333332,0.5900000000000001,0.72,0.72,0.72,4,14,0.0308837890625,11,13,13
20,0.04119927936684482,-0.01500121154607672,0.01464892697447251,8871.2,10600.6,10208.65,M02-D10-PIN01,A,True,True,True,1.0,0.945,0.965,200,36,sig050,sig050,nan,0.5787096433027679,0.5787096433027679,0.5448589240661665,0.3597050109555522,0.4560807674864341,0.4560807674864341,0.4414318405119616,sig050,sig050,0.4,0.72,0.72,0.58,0.4,0.6,0.6,0.5599999999999999,1,5,0.21875,8,8,8
20,0.03782196104965976,-0.0382280142695967,0.003076965379469776,11262.3,11276.15,11311.3,M03-D10-PIN01,A,True,True,True,0.89,0.89,0.87,200,56,sig050,sig050,nan,0.6258650085361841,0.6258650085361841,0.6092608198266036,0.47586629498721367,0.5411183604879458,0.5411183604879458,0.538041395108476,sig050,sig050,0.5799999999999998,0.6799999999999999,0.6799999999999999,0.6799999999999999,0.5799999999999998,0.6799999999999999,0.6799999999999999,0.6799999999999999,9,5,0.4239501953125,11,13,12
20,0.04095288436686127,-0.08076808332385259,-0.025183567925270434,3702.7,4522.75,4224.65,M04-D10-PIN01,A,True,True,True,1.0,1.0,1.0,200,41,sig100,sig100,0.531311489624688,0.7314343857348404,0.7126996604982796,0.7314343857348404,0.4861007180823361,0.6525075988893364,0.627324030964066,0.6525075988893364,sig050,sig050,0.575,0.8,0.8,0.75,0.55,0.75,0.75,0.75,0,0,1.0,11,15,15
20,nan,nan,nan,4339.2,,4278.35,M05-D10-PIN01,A,True,False,True,0.87,,0.87,200,nan,iso,iso,0.6908528697178036,0.6908528697178036,,0.6694289882954424,0.6620323086206701,0.6620323086206701,,0.6230665918822206,sig100,sig100,0.7,0.75,,0.75,0.7,0.7,,0.7,nan,nan,nan,14,,14
20,nan,nan,nan,3269.8,,3213.75,M06-D10-PIN01,A,True,False,True,0.205,,0.105,200,nan,iso,iso,0.3541654963694129,0.3541654963694129,,0.3385142995381353,0.3474141266136054,0.3474141266136054,,0.33066013725749166,sig100,sig100,0.45,0.55,,0.55,0.4,0.45,,0.45,nan,nan,nan,8,,9
20,nan,nan,nan,4416.5,,4440.65,M07-D10-PIN01,A,True,False,True,0.715,,0.65,200,nan,sig100,sig100,0.4786357965624135,0.5612142014204574,,0.5612142014204574,0.4514717119200645,0.5226738155982187,,0.5226738155982187,sig100,sig100,0.51,0.625,,0.625,0.5,0.6,,0.6,nan,nan,nan,10,,12
20,nan,nan,nan,4106.75,,4085.05,M08-D10-PIN01,A,True,False,True,0.84,,0.76,200,nan,sig100,sig100,0.6075630905668883,0.6356552877456945,,0.6356552877456945,0.5563413531045867,0.6051284099602727,,0.6051284099602727,sig100,sig100,0.8,0.85,,0.85,0.7,0.7,,0.7,nan,nan,nan,14,,14
10,0.021381067972826934,-0.061467740284161104,-0.0185915836422062,7828.35,8588.8,8347.2,M09-D10-PIN01,B,True,True,True,0.72,0.595,0.65,200,24,iso,iso,0.49290548044864924,0.49290548044864924,0.45571123858387325,0.48005845469074304,0.4775532193335418,0.4775532193335418,0.4382123954195992,0.4568039790618054,sig050,sig050,0.52,0.6,0.6,0.54,0.52,0.5599999999999999,0.5599999999999999,0.54,3,14,0.012725830078125,5,5,5
10,0.04366027702678092,-0.0363679050175106,-0.0029750876947330918,11414.55,11841.7,11929.15,M10-D10-PIN01,B,True,True,True,0.87,0.54,0.615,200,48,sig100,sig100,0.6565018156563113,0.7829501271633774,0.7693105241132736,0.7829501271633774,0.49392819448959707,0.6485635647340138,0.6455884770392807,0.6485635647340138,sig050,sig050,0.68,0.8466666666666667,0.8466666666666667,0.8200000000000001,0.68,0.8400000000000001,0.8400000000000001,0.8200000000000001,12,27,0.023702702470473014,4,4,4
