problem,K,n_reported_mean,seeds,mpr_mean,mpr_sd,null_mpr,null_sup,mpr_pr_1e-1,mpr_pr_1e-2,mpr_pr_1e-3,mpr_pr_1e-4,mpr_pr_1e-5
M01-D10-PIN01,20,100.0,3,0.200000,0.036056,0.5898,0.8,0.550000,0.283333,0.066667,0.050000,0.050000
M02-D10-PIN01,20,100.0,3,0.160000,0.010000,0.4615,0.74,0.450000,0.200000,0.050000,0.050000,0.050000
M03-D10-PIN01,20,100.0,3,0.056667,0.005774,0.5296,0.83,0.083333,0.050000,0.050000,0.050000,0.050000
M04-D10-PIN01,20,100.0,3,0.080000,0.010000,0.6333,0.8,0.116667,0.100000,0.083333,0.050000,0.050000
M05-D10-PIN01,20,100.0,3,0.050000,0.000000,0.6742,0.8,0.050000,0.050000,0.050000,0.050000,0.050000
M06-D10-PIN01,20,100.0,3,0.110000,0.127671,0.3823,0.6,0.183333,0.183333,0.116667,0.033333,0.033333
M07-D10-PIN01,20,100.0,3,0.043333,0.011547,0.4959,0.6,0.050000,0.050000,0.050000,0.033333,0.033333
M08-D10-PIN01,20,100.0,3,0.040000,0.000000,0.6421,0.8,0.050000,0.050000,0.050000,0.050000,0.000000
M09-D10-PIN01,10,100.0,3,0.220000,0.020000,0.4593,0.54,0.500000,0.300000,0.100000,0.100000,0.100000
M10-D10-PIN01,10,100.0,3,0.140000,0.069282,0.6309,0.84,0.233333,0.166667,0.100000,0.100000,0.100000
M11-D10-PIN01,10,100.0,3,0.113333,0.011547,0.5188,0.6,0.166667,0.100000,0.100000,0.100000,0.100000
M12-D10-PIN01,10,100.0,3,0.106667,0.011547,0.7464,0.8,0.133333,0.100000,0.100000,0.100000,0.100000
M13-D10-PIN01,10,100.0,3,0.100000,0.000000,0.7975,0.9,0.100000,0.100000,0.100000,0.100000,0.100000
M14-D10-PIN01,10,100.0,3,0.046667,0.080829,0.2979,0.3,0.066667,0.066667,0.033333,0.033333,0.033333
M15-D10-PIN01,10,100.0,3,0.086667,0.023094,0.4185,0.66,0.100000,0.100000,0.100000,0.066667,0.066667
M16-D10-PIN01,10,100.0,3,0.080000,0.000000,0.5692,0.6,0.100000,0.100000,0.100000,0.100000,0.000000
