problem,K,rule,seeds,n_reported_mean,mpr_5level,mpr_pr_1e-1,mpr_pr_1e-2,mpr_pr_1e-3,mpr_pr_1e-4,mpr_pr_1e-5
M01-D10-PIN01,20,current,1,100.0,0.210000,0.650000,0.250000,0.050000,0.050000,0.050000
M01-D10-PIN01,20,reselect,1,100.0,0.210000,0.650000,0.250000,0.050000,0.050000,0.050000
M01-D10-PIN01,20,history,1,500000.0,0.210000,0.650000,0.250000,0.050000,0.050000,0.050000
M02-D10-PIN01,20,current,1,100.0,0.170000,0.450000,0.250000,0.050000,0.050000,0.050000
M02-D10-PIN01,20,reselect,1,100.0,0.180000,0.500000,0.250000,0.050000,0.050000,0.050000
M02-D10-PIN01,20,history,1,500000.0,0.180000,0.500000,0.250000,0.050000,0.050000,0.050000
M03-D10-PIN01,20,current,1,100.0,0.050000,0.050000,0.050000,0.050000,0.050000,0.050000
M03-D10-PIN01,20,reselect,1,100.0,0.050000,0.050000,0.050000,0.050000,0.050000,0.050000
M03-D10-PIN01,20,history,1,500000.0,0.050000,0.050000,0.050000,0.050000,0.050000,0.050000
M04-D10-PIN01,20,current,1,100.0,0.070000,0.100000,0.100000,0.050000,0.050000,0.050000
M04-D10-PIN01,20,reselect,1,100.0,0.070000,0.100000,0.100000,0.050000,0.050000,0.050000
M04-D10-PIN01,20,history,1,500000.0,0.070000,0.100000,0.100000,0.050000,0.050000,0.050000
M05-D10-PIN01,20,current,1,100.0,0.050000,0.050000,0.050000,0.050000,0.050000,0.050000
M05-D10-PIN01,20,reselect,1,100.0,0.050000,0.050000,0.050000,0.050000,0.050000,0.050000
M05-D10-PIN01,20,history,1,500000.0,0.050000,0.050000,0.050000,0.050000,0.050000,0.050000
M06-D10-PIN01,20,current,1,100.0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
M06-D10-PIN01,20,reselect,1,100.0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
M06-D10-PIN01,20,history,1,500000.0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
M07-D10-PIN01,20,current,1,100.0,0.030000,0.050000,0.050000,0.050000,0.000000,0.000000
M07-D10-PIN01,20,reselect,1,100.0,0.030000,0.050000,0.050000,0.050000,0.000000,0.000000
M07-D10-PIN01,20,history,1,500000.0,0.030000,0.050000,0.050000,0.050000,0.000000,0.000000
M08-D10-PIN01,20,current,1,100.0,0.040000,0.050000,0.050000,0.050000,0.050000,0.000000
M08-D10-PIN01,20,reselect,1,100.0,0.040000,0.050000,0.050000,0.050000,0.050000,0.000000
M08-D10-PIN01,20,history,1,500000.0,0.040000,0.050000,0.050000,0.050000,0.050000,0.000000
M09-D10-PIN01,10,current,1,100.0,0.240000,0.600000,0.300000,0.100000,0.100000,0.100000
M09-D10-PIN01,10,reselect,1,100.0,0.240000,0.600000,0.300000,0.100000,0.100000,0.100000
M09-D10-PIN01,10,history,1,500000.0,0.240000,0.600000,0.300000,0.100000,0.100000,0.100000
M10-D10-PIN01,10,current,1,100.0,0.220000,0.500000,0.300000,0.100000,0.100000,0.100000
M10-D10-PIN01,10,reselect,1,100.0,0.220000,0.500000,0.300000,0.100000,0.100000,0.100000
M10-D10-PIN01,10,history,1,500000.0,0.220000,0.500000,0.300000,0.100000,0.100000,0.100000
M11-D10-PIN01,10,current,1,100.0,0.120000,0.200000,0.100000,0.100000,0.100000,0.100000
M11-D10-PIN01,10,reselect,1,100.0,0.120000,0.200000,0.100000,0.100000,0.100000,0.100000
M11-D10-PIN01,10,history,1,500000.0,0.120000,0.200000,0.100000,0.100000,0.100000,0.100000
M12-D10-PIN01,10,current,1,100.0,0.100000,0.100000,0.100000,0.100000,0.100000,0.100000
M12-D10-PIN01,10,reselect,1,100.0,0.100000,0.100000,0.100000,0.100000,0.100000,0.100000
M12-D10-PIN01,10,history,1,500000.0,0.100000,0.100000,0.100000,0.100000,0.100000,0.100000
M13-D10-PIN01,10,current,1,100.0,0.100000,0.100000,0.100000,0.100000,0.100000,0.100000
M13-D10-PIN01,10,reselect,1,100.0,0.100000,0.100000,0.100000,0.100000,0.100000,0.100000
M13-D10-PIN01,10,history,1,500000.0,0.100000,0.100000,0.100000,0.100000,0.100000,0.100000
M14-D10-PIN01,10,current,1,100.0,0.140000,0.200000,0.200000,0.100000,0.100000,0.100000
M14-D10-PIN01,10,reselect,1,100.0,0.140000,0.200000,0.200000,0.100000,0.100000,0.100000
M14-D10-PIN01,10,history,1,500000.0,0.140000,0.200000,0.200000,0.100000,0.100000,0.100000
M15-D10-PIN01,10,current,1,100.0,0.100000,0.100000,0.100000,0.100000,0.100000,0.100000
M15-D10-PIN01,10,reselect,1,100.0,0.120000,0.200000,0.100000,0.100000,0.100000,0.100000
M15-D10-PIN01,10,history,1,500000.0,0.120000,0.200000,0.100000,0.100000,0.100000,0.100000
M16-D10-PIN01,10,current,1,100.0,0.080000,0.100000,0.100000,0.100000,0.100000,0.000000
M16-D10-PIN01,10,reselect,1,100.0,0.080000,0.100000,0.100000,0.100000,0.100000,0.000000
M16-D10-PIN01,10,history,1,500000.0,0.080000,0.100000,0.100000,0.100000,0.100000,0.000000
