problem,K,seeds,n_reported_mean,nmmso_mpr,nmmso_mpr_sd,mceso_mpr,null_mpr,null_sup,nmmso_pr_1e-1,nmmso_pr_1e-2,nmmso_pr_1e-3,nmmso_pr_1e-4,nmmso_pr_1e-5
M01-D10-PIN01,20,2,15.0,0.135000,0.021213,0.200000,0.5898,0.80,0.275000,0.175000,0.100000,0.075000,0.050000
M02-D10-PIN01,20,2,16.0,0.255000,0.021213,0.160000,0.4615,0.74,0.725000,0.425000,0.100000,0.025000,0.000000
M03-D10-PIN01,20,2,18.0,0.375000,0.106066,0.056667,0.5296,0.83,0.650000,0.475000,0.350000,0.225000,0.175000
M04-D10-PIN01,20,2,13.0,0.125000,0.007071,0.080000,0.6333,0.80,0.225000,0.150000,0.100000,0.075000,0.075000
M05-D10-PIN01,20,2,62.0,0.025000,0.035355,0.050000,0.6742,0.80,0.025000,0.025000,0.025000,0.025000,0.025000
M06-D10-PIN01,20,2,100.0,0.010000,0.014142,0.110000,0.3823,0.60,0.025000,0.025000,0.000000,0.000000,0.000000
M07-D10-PIN01,20,2,32.5,0.045000,0.007071,0.043333,0.4959,0.60,0.225000,0.000000,0.000000,0.000000,0.000000
M08-D10-PIN01,20,2,82.0,0.000000,0.000000,0.040000,0.6421,0.80,0.000000,0.000000,0.000000,0.000000,0.000000
M09-D10-PIN01,10,2,11.0,0.220000,0.000000,0.220000,0.4593,0.54,0.300000,0.250000,0.250000,0.150000,0.150000
M10-D10-PIN01,10,2,10.5,0.460000,0.028284,0.140000,0.6309,0.84,0.950000,0.750000,0.450000,0.100000,0.050000
M11-D10-PIN01,10,2,60.5,0.150000,0.042426,0.113333,0.5188,0.60,0.350000,0.200000,0.100000,0.050000,0.050000
M12-D10-PIN01,10,2,10.0,0.110000,0.014142,0.106667,0.7464,0.80,0.150000,0.100000,0.100000,0.100000,0.100000
M13-D10-PIN01,10,2,100.0,0.030000,0.014142,0.100000,0.7975,0.90,0.100000,0.050000,0.000000,0.000000,0.000000
M14-D10-PIN01,10,2,100.0,0.050000,0.070711,0.046667,0.2979,0.30,0.050000,0.050000,0.050000,0.050000,0.050000
M15-D10-PIN01,10,2,27.0,0.010000,0.014142,0.086667,0.4185,0.66,0.050000,0.000000,0.000000,0.000000,0.000000
M16-D10-PIN01,10,2,100.0,0.000000,0.000000,0.080000,0.5692,0.60,0.000000,0.000000,0.000000,0.000000,0.000000
