function,method,rule,seed,evals,n_optima,n_reported,pr_1e-1,pr_1e-2,pr_1e-3,pr_1e-4,pr_1e-5
M01-D10-PIN01,NMMSO,current,0,500000,20,17,0.4000,0.3000,0.3000,0.3000,0.3000
M01-D10-PIN01,NMMSO,reselect,0,500000,20,100,0.4000,0.3000,0.3000,0.3000,0.3000
M01-D10-PIN01,NMMSO,history,0,500000,20,500000,0.4000,0.3000,0.3000,0.3000,0.3000
M03-D10-PIN01,NMMSO,current,0,500000,20,18,0.7000,0.3500,0.2000,0.1500,0.0500
M03-D10-PIN01,NMMSO,reselect,0,500000,20,100,0.7000,0.3500,0.2000,0.1500,0.0500
M03-D10-PIN01,NMMSO,history,0,500000,20,500000,0.7000,0.3500,0.2000,0.1500,0.0500
M04-D10-PIN01,NMMSO,current,0,500000,20,14,0.2000,0.1000,0.1000,0.1000,0.0500
M04-D10-PIN01,NMMSO,reselect,0,500000,20,100,0.2000,0.1000,0.1000,0.1000,0.0500
M04-D10-PIN01,NMMSO,history,0,500000,20,500000,0.2000,0.1000,0.1000,0.1000,0.0500
M12-D10-PIN01,NMMSO,current,0,500000,10,10,0.1000,0.1000,0.1000,0.1000,0.0000
M12-D10-PIN01,NMMSO,reselect,0,500000,10,100,0.1000,0.1000,0.1000,0.1000,0.0000
M12-D10-PIN01,NMMSO,history,0,500000,10,500000,0.1000,0.1000,0.1000,0.1000,0.0000
