function,method,rule,seed,evals,n_optima,n_reported,pr_1e-1,pr_1e-2,pr_1e-3,pr_1e-4,pr_1e-5
M01-D10-PIN01,NMMSO,current,0,500000,20,16,0.2500,0.1500,0.1500,0.1000,0.1000
M01-D10-PIN01,NMMSO,current,1,500000,20,14,0.3000,0.2000,0.0500,0.0500,0.0000
M02-D10-PIN01,NMMSO,current,0,500000,20,15,0.7500,0.4000,0.0500,0.0000,0.0000
M02-D10-PIN01,NMMSO,current,1,500000,20,17,0.7000,0.4500,0.1500,0.0500,0.0000
M03-D10-PIN01,NMMSO,current,0,500000,20,18,0.6500,0.4000,0.2500,0.1000,0.1000
M03-D10-PIN01,NMMSO,current,1,500000,20,18,0.6500,0.5500,0.4500,0.3500,0.2500
M04-D10-PIN01,NMMSO,current,0,500000,20,13,0.2000,0.1000,0.1000,0.1000,0.1000
M04-D10-PIN01,NMMSO,current,1,500000,20,13,0.2500,0.2000,0.1000,0.0500,0.0500
M05-D10-PIN01,NMMSO,current,0,500000,20,24,0.0500,0.0500,0.0500,0.0500,0.0500
M05-D10-PIN01,NMMSO,current,1,500000,20,100,0.0000,0.0000,0.0000,0.0000,0.0000
M05-D10-PIN01,NMMSO,current,2,500000,20,100,0.0000,0.0000,0.0000,0.0000,0.0000
M06-D10-PIN01,NMMSO,current,0,500000,20,100,0.0000,0.0000,0.0000,0.0000,0.0000
M06-D10-PIN01,NMMSO,current,1,500000,20,100,0.0500,0.0500,0.0000,0.0000,0.0000
M06-D10-PIN01,NMMSO,current,2,500000,20,100,0.0500,0.0500,0.0500,0.0500,0.0000
M07-D10-PIN01,NMMSO,current,0,500000,20,29,0.2000,0.0000,0.0000,0.0000,0.0000
M07-D10-PIN01,NMMSO,current,1,500000,20,36,0.2500,0.0000,0.0000,0.0000,0.0000
M08-D10-PIN01,NMMSO,current,0,500000,20,84,0.0000,0.0000,0.0000,0.0000,0.0000
M08-D10-PIN01,NMMSO,current,1,500000,20,80,0.0000,0.0000,0.0000,0.0000,0.0000
M09-D10-PIN01,NMMSO,current,0,500000,10,11,0.3000,0.2000,0.2000,0.2000,0.2000
M09-D10-PIN01,NMMSO,current,1,500000,10,11,0.3000,0.3000,0.3000,0.1000,0.1000
M10-D10-PIN01,NMMSO,current,0,500000,10,11,0.9000,0.7000,0.4000,0.1000,0.1000
M10-D10-PIN01,NMMSO,current,1,500000,10,10,1.0000,0.8000,0.5000,0.1000,0.0000
M11-D10-PIN01,NMMSO,current,0,500000,10,69,0.4000,0.2000,0.0000,0.0000,0.0000
M11-D10-PIN01,NMMSO,current,1,500000,10,52,0.3000,0.2000,0.2000,0.1000,0.1000
M12-D10-PIN01,NMMSO,current,0,500000,10,10,0.2000,0.1000,0.1000,0.1000,0.1000
M12-D10-PIN01,NMMSO,current,1,500000,10,10,0.1000,0.1000,0.1000,0.1000,0.1000
M13-D10-PIN01,NMMSO,current,0,500000,10,100,0.1000,0.1000,0.0000,0.0000,0.0000
M13-D10-PIN01,NMMSO,current,1,500000,10,100,0.1000,0.0000,0.0000,0.0000,0.0000
M14-D10-PIN01,NMMSO,current,0,500000,10,100,0.0000,0.0000,0.0000,0.0000,0.0000
M14-D10-PIN01,NMMSO,current,1,500000,10,100,0.1000,0.1000,0.1000,0.1000,0.1000
M15-D10-PIN01,NMMSO,current,0,500000,10,26,0.0000,0.0000,0.0000,0.0000,0.0000
M15-D10-PIN01,NMMSO,current,1,500000,10,28,0.1000,0.0000,0.0000,0.0000,0.0000
M16-D10-PIN01,NMMSO,current,0,500000,10,100,0.0000,0.0000,0.0000,0.0000,0.0000
M16-D10-PIN01,NMMSO,current,1,500000,10,100,0.0000,0.0000,0.0000,0.0000,0.0000
