descent,evals,best_f,land_opt,dist,stop
0,12510,7.14791070777e-08,18,7.36694e-07,maxfevals
1,4850,2.70858890872e-11,16,4.79054e-11,tolxstagnation
2,12510,7.43240491374e-09,4,7.26744e-08,maxfevals
3,12510,2.06441259252e-05,11,0.000417114,maxfevals
4,5530,3.15623083225e-11,16,5.61065e-11,tolxstagnation
5,4690,4.97664132126e-11,16,9.16584e-11,tolxstagnation
6,12510,1.44700051408e-06,6,2.19444e-05,maxfevals
7,11890,3.88993726119e-10,15,3.18869e-09,tolxstagnation
8,12510,9.53477297116e-10,15,6.98858e-09,maxfevals
9,12510,6.447326939e-08,18,6.86113e-07,maxfevals
10,4580,1.36481048685e-10,16,1.97063e-10,tolxstagnation
11,4770,3.7474023884e-11,16,4.62686e-11,tolxstagnation
12,4470,2.01296757041e-10,16,2.86149e-10,tolxstagnation
13,12510,8.8099129556e-06,13,0.000163928,maxfevals
14,12510,3.06475399725e-07,8,3.47575e-06,maxfevals
15,12510,9.35740729346e-09,4,8.79835e-08,maxfevals
16,12510,9.18036846542e-09,4,8.51566e-08,maxfevals
17,12510,1.12495825988e-08,4,1.0174e-07,maxfevals
18,12510,6.2669869294e-10,15,4.93381e-09,maxfevals
19,12510,2.20019444441e-07,8,2.70972e-06,maxfevals
20,12510,5.76531533625e-09,4,5.91438e-08,maxfevals
21,12510,2.46880588861e-07,8,2.96458e-06,maxfevals
22,4620,1.10290443445e-10,16,1.60638e-10,tolxstagnation
23,5070,5.28359578311e-11,16,5.95124e-11,tolxstagnation
24,4950,7.983658179e-11,16,1.12843e-10,tolxstagnation
25,4460,1.04179775917e-10,16,1.5083e-10,tolxstagnation
26,4820,4.75779415865e-11,16,7.45493e-11,tolxstagnation
27,12510,5.55315438078e-08,18,6.0618e-07,maxfevals
28,12510,1.36007258789e-08,4,1.17266e-07,maxfevals
29,12510,2.69499892624e-07,8,3.17537e-06,maxfevals
30,4750,1.18447474051e-10,16,1.61211e-10,tolxstagnation
31,4060,1.88975946003e-10,16,2.35468e-10,tolxstagnation
32,4570,5.40438804819e-11,16,9.04952e-11,tolxstagnation
33,12510,2.85374099178e-05,1,0.000813865,maxfevals
34,4490,4.69384531243e-11,16,7.66041e-11,tolxstagnation
35,4130,1.30242483465e-10,16,2.1419e-10,tolxstagnation
36,12510,8.55228843477e-06,13,0.000160194,maxfevals
37,12510,9.80578818144e-09,4,8.9262e-08,maxfevals
38,12510,8.44089242946e-09,4,7.99948e-08,maxfevals
39,4780,2.04778416446e-11,16,3.31463e-11,tolxstagnation
40,12510,6.40278543074e-07,3,8.76455e-06,maxfevals
41,12510,5.50046763692e-09,4,5.73292e-08,maxfevals
42,5250,5.18269871463e-11,16,7.11212e-11,tolxstagnation
43,4850,1.86929582924e-10,16,2.86489e-10,tolxstagnation
44,5060,2.25384155783e-11,16,4.16258e-11,tolxstagnation
45,12510,2.96019102564e-06,7,6.0608e-05,maxfevals
46,12510,6.94726054462e-08,18,7.21696e-07,maxfevals
47,12510,1.5779891811e-06,6,2.34264e-05,maxfevals
48,12510,8.81226041827e-06,13,0.000164024,maxfevals
49,12510,5.47089484826e-10,15,4.39521e-09,maxfevals
50,12510,3.10217401989e-07,8,3.51094e-06,maxfevals
51,12510,1.42872522702e-08,4,1.22326e-07,maxfevals
52,5550,1.96205050713e-05,13,0.000266858,budget
