problem,K,seeds,mpr_run,n_reported,mpr_run_capped_chk,mpr_run_uncapped,mpr_multinom_on_run,mpr_boot_lo,mpr_boot_hi,descents,descent_cost,n_prime_e103,mpr_est_e103,sup_est_e103,mpr_mceso,mpr_nmmso
M01-D10-PIN01,20,1,0.72,76.0,0.72,0.72,0.613020607412107,0.5000000000000001,0.7,76.0,6578.9473684210525,76.0,0.5898,0.8,0.2,0.135
M02-D10-PIN01,20,1,0.53,53.0,0.53,0.53,0.454995812254127,0.35,0.53,53.0,9433.962264150943,53.0,0.4615,0.74,0.16,0.255
M03-D10-PIN01,20,1,0.49000000000000005,45.0,0.49000000000000005,0.49000000000000005,0.4702750212085288,0.39,0.49000000000000005,45.0,11111.111111111111,45.0,0.5296,0.83,0.056667,0.375
M04-D10-PIN01,20,1,0.65,100.0,0.65,0.65,0.6170187989090244,0.5,0.65,114.0,4385.964912280701,114.00000000000001,0.6333,0.8,0.08,0.125
M05-D10-PIN01,20,1,0.65,100.0,0.65,0.65,0.5921061411661123,0.5,0.65,118.0,4237.28813559322,118.0,0.6742,0.8,0.05,0.025
M06-D10-PIN01,20,1,0.4,100.0,0.4,0.4,0.33758625316579094,0.25,0.4,156.0,3205.128205128205,156.0,0.3823,0.6,0.11,0.01
M07-D10-PIN01,20,1,0.44000000000000006,100.0,0.44000000000000006,0.44000000000000006,0.42705604707239847,0.4,0.44000000000000006,113.0,4424.778761061947,113.0,0.4959,0.6,0.043333,0.045
M08-D10-PIN01,20,1,0.65,100.0,0.65,0.65,0.62589562994535,0.55,0.65,123.0,4065.040650406504,123.0,0.6421,0.8,0.04,0.0
M09-D10-PIN01,10,1,0.5,57.0,0.5,0.5,0.45725091340060525,0.38,0.5,57.0,8771.929824561403,57.00000000000001,0.4593,0.54,0.22,0.22
M10-D10-PIN01,10,1,0.5999999999999999,42.0,0.5999999999999999,0.5999999999999999,0.5056605410267604,0.36,0.5999999999999999,42.0,11904.761904761905,42.0,0.6309,0.84,0.14,0.46
M11-D10-PIN01,10,1,0.45999999999999996,46.0,0.45999999999999996,0.45999999999999996,0.4426381824515245,0.36,0.45999999999999996,46.0,10869.565217391304,46.0,0.5188,0.6,0.113333,0.15
M12-D10-PIN01,10,1,0.78,100.0,0.78,0.8200000000000001,0.7858986543927549,0.6,0.8200000000000001,106.0,4716.981132075472,106.0,0.7464,0.8,0.106667,0.11
M13-D10-PIN01,10,1,0.8,100.0,0.8,0.8,0.749245888951233,0.6,0.8,113.0,4424.778761061947,113.0,0.7975,0.9,0.1,0.03
M14-D10-PIN01,10,1,0.3,100.0,0.3,0.3,0.29766949774239126,0.3,0.3,130.0,3846.153846153846,130.0,0.2979,0.3,0.046667,0.05
M15-D10-PIN01,10,1,0.3,100.0,0.3,0.32,0.29173995791099444,0.2,0.32,119.0,4201.680672268908,118.99999999999999,0.4185,0.66,0.086667,0.01
M16-D10-PIN01,10,1,0.7,100.0,0.7,0.7,0.6219337725072921,0.5,0.7,113.0,4424.778761061947,113.0,0.5692,0.6,0.08,0.0
