problem,K,mpr_seed0,mpr_seed1,mpr_2seed,gap,boot_lo_seed0,boot_hi_seed0,seed1_in_boot0,n_rep_seed0,n_rep_seed1,descents_seed0,descents_seed1,cost_seed1,mpr_est_e103,mpr_mceso,mpr_nmmso
M01-D10-PIN01,20,0.72,0.6300000000000001,0.675,0.08999999999999986,0.5000000000000001,0.7,1,76.0,72.0,76.0,72.0,6944.444444444444,0.5898,0.2,0.135
M02-D10-PIN01,20,0.53,0.62,0.575,0.08999999999999997,0.35,0.53,0,53.0,52.0,53.0,52.0,9615.384615384615,0.4615,0.16,0.255
M03-D10-PIN01,20,0.49000000000000005,0.57,0.53,0.0799999999999999,0.39,0.49000000000000005,0,45.0,44.0,45.0,44.0,11363.636363636364,0.5296,0.056667,0.375
M04-D10-PIN01,20,0.65,0.45,0.55,0.2,0.5,0.65,0,100.0,100.0,114.0,118.0,4237.28813559322,0.6333,0.08,0.125
M05-D10-PIN01,20,0.65,0.65,0.65,0.0,0.5,0.65,1,100.0,100.0,118.0,120.0,4166.666666666667,0.6742,0.05,0.025
M06-D10-PIN01,20,0.4,0.4,0.4,0.0,0.25,0.4,1,100.0,100.0,156.0,157.0,3184.7133757961783,0.3823,0.11,0.01
M07-D10-PIN01,20,0.44000000000000006,0.4,0.42000000000000004,0.040000000000000036,0.4,0.44000000000000006,1,100.0,100.0,113.0,112.0,4464.285714285715,0.4959,0.043333,0.045
M08-D10-PIN01,20,0.65,0.8,0.7250000000000001,0.15000000000000002,0.55,0.65,0,100.0,100.0,123.0,124.0,4032.2580645161293,0.6421,0.04,0.0
M09-D10-PIN01,10,0.5,0.52,0.51,0.020000000000000018,0.38,0.5,0,57.0,56.0,57.0,56.0,8928.57142857143,0.4593,0.22,0.22
M10-D10-PIN01,10,0.5999999999999999,0.66,0.6299999999999999,0.060000000000000164,0.36,0.5999999999999999,0,42.0,45.0,42.0,45.0,11111.111111111111,0.6309,0.14,0.46
M11-D10-PIN01,10,0.45999999999999996,0.45999999999999996,0.45999999999999996,0.0,0.36,0.45999999999999996,1,46.0,47.0,46.0,47.0,10638.297872340425,0.5188,0.113333,0.15
M12-D10-PIN01,10,0.78,0.7,0.74,0.08000000000000007,0.6,0.8200000000000001,1,100.0,100.0,106.0,108.0,4629.62962962963,0.7464,0.106667,0.11
M13-D10-PIN01,10,0.8,0.7,0.75,0.10000000000000009,0.6,0.8,1,100.0,100.0,113.0,113.0,4424.778761061947,0.7975,0.1,0.03
M14-D10-PIN01,10,0.3,0.3,0.3,0.0,0.3,0.3,1,100.0,100.0,130.0,139.0,3597.122302158273,0.2979,0.046667,0.05
M15-D10-PIN01,10,0.3,0.3,0.3,0.0,0.2,0.32,1,100.0,100.0,119.0,117.0,4273.504273504273,0.4185,0.086667,0.01
M16-D10-PIN01,10,0.7,0.4,0.55,0.29999999999999993,0.5,0.7,0,100.0,100.0,113.0,112.0,4464.285714285715,0.5692,0.08,0.0
