problem,K,method,seeds,n_reported,mpr,mean_f1,score,pr_1e-1,pr_1e-2,pr_1e-3,pr_1e-4,pr_1e-5,f1_1e-1,f1_1e-2,f1_1e-3,f1_1e-4,f1_1e-5
M01-D10-PIN01,20,Restart-Lander,2,74.0,0.6750,0.2870,0.4810,0.7500,0.7250,0.6500,0.6250,0.6250,0.3188,0.3080,0.2763,0.2659,0.2659
M01-D10-PIN01,20,NMMSO,2,15.0,0.1350,0.1539,0.1445,0.2750,0.1750,0.1000,0.0750,0.0500,0.3154,0.2010,0.1127,0.0850,0.0556
M01-D10-PIN01,20,MC-ESO,3,100.0,0.2000,0.0667,0.1333,0.5500,0.2833,0.0667,0.0500,0.0500,0.1833,0.0944,0.0222,0.0167,0.0167
M02-D10-PIN01,20,Restart-Lander,2,52.5,0.5750,0.3174,0.4462,0.6000,0.6000,0.6000,0.6000,0.4750,0.3312,0.3312,0.3312,0.3312,0.2622
M02-D10-PIN01,20,NMMSO,2,16.0,0.2550,0.2831,0.2690,0.7250,0.4250,0.1000,0.0250,0.0000,0.8069,0.4718,0.1097,0.0270,0.0000
M02-D10-PIN01,20,MC-ESO,3,100.0,0.1600,0.0533,0.1067,0.4500,0.2000,0.0500,0.0500,0.0500,0.1500,0.0667,0.0167,0.0167,0.0167
M03-D10-PIN01,20,Restart-Lander,2,44.5,0.5300,0.3289,0.4294,0.5500,0.5500,0.5250,0.5250,0.5000,0.3413,0.3413,0.3257,0.3257,0.3103
M03-D10-PIN01,20,NMMSO,2,18.0,0.3750,0.3947,0.3849,0.6500,0.4750,0.3500,0.2250,0.1750,0.6842,0.5000,0.3684,0.2368,0.1842
M03-D10-PIN01,20,MC-ESO,3,100.0,0.0567,0.0189,0.0378,0.0833,0.0500,0.0500,0.0500,0.0500,0.0278,0.0167,0.0167,0.0167,0.0167
M04-D10-PIN01,20,Restart-Lander,2,100.0,0.5500,0.1833,0.3667,0.5500,0.5500,0.5500,0.5500,0.5500,0.1833,0.1833,0.1833,0.1833,0.1833
M04-D10-PIN01,20,NMMSO,2,13.0,0.1250,0.1515,0.1383,0.2250,0.1500,0.1000,0.0750,0.0750,0.2727,0.1818,0.1212,0.0909,0.0909
M04-D10-PIN01,20,MC-ESO,3,100.0,0.0800,0.0267,0.0533,0.1167,0.1000,0.0833,0.0500,0.0500,0.0389,0.0333,0.0278,0.0167,0.0167
M05-D10-PIN01,20,Restart-Lander,2,100.0,0.6500,0.2167,0.4333,0.6500,0.6500,0.6500,0.6500,0.6500,0.2167,0.2167,0.2167,0.2167,0.2167
M05-D10-PIN01,20,NMMSO,3,74.7,0.0167,0.0152,0.0159,0.0167,0.0167,0.0167,0.0167,0.0167,0.0152,0.0152,0.0152,0.0152,0.0152
M05-D10-PIN01,20,MC-ESO,3,100.0,0.0500,0.0167,0.0333,0.0500,0.0500,0.0500,0.0500,0.0500,0.0167,0.0167,0.0167,0.0167,0.0167
M06-D10-PIN01,20,Restart-Lander,2,100.0,0.4000,0.1333,0.2667,0.4000,0.4000,0.4000,0.4000,0.4000,0.1333,0.1333,0.1333,0.1333,0.1333
M06-D10-PIN01,20,NMMSO,3,100.0,0.0200,0.0067,0.0133,0.0333,0.0333,0.0167,0.0167,0.0000,0.0111,0.0111,0.0056,0.0056,0.0000
M06-D10-PIN01,20,MC-ESO,3,100.0,0.1100,0.0367,0.0733,0.1833,0.1833,0.1167,0.0333,0.0333,0.0611,0.0611,0.0389,0.0111,0.0111
M07-D10-PIN01,20,Restart-Lander,2,100.0,0.4200,0.1400,0.2800,0.4250,0.4250,0.4250,0.4250,0.4000,0.1417,0.1417,0.1417,0.1417,0.1333
M07-D10-PIN01,20,NMMSO,2,32.5,0.0450,0.0342,0.0396,0.2250,0.0000,0.0000,0.0000,0.0000,0.1709,0.0000,0.0000,0.0000,0.0000
M07-D10-PIN01,20,MC-ESO,3,100.0,0.0433,0.0144,0.0289,0.0500,0.0500,0.0500,0.0333,0.0333,0.0167,0.0167,0.0167,0.0111,0.0111
M08-D10-PIN01,20,Restart-Lander,2,100.0,0.7250,0.2417,0.4833,0.7250,0.7250,0.7250,0.7250,0.7250,0.2417,0.2417,0.2417,0.2417,0.2417
M08-D10-PIN01,20,NMMSO,2,82.0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
M08-D10-PIN01,20,MC-ESO,3,100.0,0.0400,0.0133,0.0267,0.0500,0.0500,0.0500,0.0500,0.0000,0.0167,0.0167,0.0167,0.0167,0.0000
M09-D10-PIN01,10,Restart-Lander,2,56.5,0.5100,0.1534,0.3317,0.6000,0.5000,0.5000,0.5000,0.4500,0.1805,0.1504,0.1504,0.1504,0.1355
M09-D10-PIN01,10,NMMSO,2,11.0,0.2200,0.2095,0.2148,0.3000,0.2500,0.2500,0.1500,0.1500,0.2857,0.2381,0.2381,0.1429,0.1429
M09-D10-PIN01,10,MC-ESO,3,100.0,0.2200,0.0400,0.1300,0.5000,0.3000,0.1000,0.1000,0.1000,0.0909,0.0545,0.0182,0.0182,0.0182
M10-D10-PIN01,10,Restart-Lander,2,43.5,0.6300,0.2354,0.4327,0.7500,0.7500,0.7500,0.6000,0.3000,0.2801,0.2801,0.2801,0.2245,0.1122
M10-D10-PIN01,10,NMMSO,2,10.5,0.4600,0.4495,0.4548,0.9500,0.7500,0.4500,0.1000,0.0500,0.9286,0.7333,0.4405,0.0976,0.0476
