problem,K,arm,n_reported,mpr,mean_f1,score
M01-D10-PIN01,20,cur,74.0,0.6750,0.2870,0.4810
M02-D10-PIN01,20,cur,52.5,0.5750,0.3174,0.4462
M03-D10-PIN01,20,cur,44.5,0.5300,0.3289,0.4294
M04-D10-PIN01,20,cur,100.0,0.5250,0.1750,0.3500
M05-D10-PIN01,20,cur,100.0,0.6500,0.2167,0.4333
M06-D10-PIN01,20,cur,100.0,0.4000,0.1333,0.2667
M07-D10-PIN01,20,cur,100.0,0.4200,0.1400,0.2800
M08-D10-PIN01,20,cur,100.0,0.7250,0.2417,0.4833
M09-D10-PIN01,10,cur,56.5,0.5100,0.1534,0.3317
M10-D10-PIN01,10,cur,43.5,0.6300,0.2354,0.4327
M11-D10-PIN01,10,cur,46.5,0.4600,0.1628,0.3114
M12-D10-PIN01,10,cur,100.0,0.7400,0.1345,0.4373
M13-D10-PIN01,10,cur,100.0,0.7500,0.1364,0.4432
M14-D10-PIN01,10,cur,100.0,0.3000,0.0545,0.1773
M15-D10-PIN01,10,cur,100.0,0.3000,0.0545,0.1773
M16-D10-PIN01,10,cur,100.0,0.5500,0.1000,0.3250
M01-D10-PIN01,20,cap100,74.0,0.6750,0.2870,0.4810
M02-D10-PIN01,20,cap100,52.5,0.5750,0.3174,0.4462
M03-D10-PIN01,20,cap100,44.5,0.5300,0.3289,0.4294
M04-D10-PIN01,20,cap100,100.0,0.5250,0.1750,0.3500
M05-D10-PIN01,20,cap100,100.0,0.6500,0.2167,0.4333
M06-D10-PIN01,20,cap100,100.0,0.4000,0.1333,0.2667
M07-D10-PIN01,20,cap100,100.0,0.4200,0.1400,0.2800
M08-D10-PIN01,20,cap100,100.0,0.7250,0.2417,0.4833
M09-D10-PIN01,10,cap100,56.5,0.5100,0.1534,0.3317
M10-D10-PIN01,10,cap100,43.5,0.6300,0.2354,0.4327
M11-D10-PIN01,10,cap100,46.5,0.4600,0.1628,0.3114
M12-D10-PIN01,10,cap100,100.0,0.7400,0.1345,0.4373
M13-D10-PIN01,10,cap100,100.0,0.7500,0.1364,0.4432
M14-D10-PIN01,10,cap100,100.0,0.3000,0.0545,0.1773
M15-D10-PIN01,10,cap100,100.0,0.3000,0.0545,0.1773
M16-D10-PIN01,10,cap100,100.0,0.5500,0.1000,0.3250
M01-D10-PIN01,20,eps_loose,74.0,0.6750,0.2870,0.4810
M02-D10-PIN01,20,eps_loose,52.5,0.5750,0.3174,0.4462
M03-D10-PIN01,20,eps_loose,44.5,0.5300,0.3289,0.4294
M04-D10-PIN01,20,eps_loose,115.5,0.5750,0.1700,0.3725
M05-D10-PIN01,20,eps_loose,106.5,0.6750,0.2134,0.4442
M06-D10-PIN01,20,eps_loose,19.5,0.4000,0.4056,0.4028
M07-D10-PIN01,20,eps_loose,106.0,0.4300,0.1365,0.2833
M08-D10-PIN01,20,eps_loose,96.0,0.7250,0.2496,0.4873
M09-D10-PIN01,10,eps_loose,38.0,0.5100,0.2127,0.3613
