problem,K,method,arm,n_reported,mpr,mean_f1,score
M01-D10-PIN01,20,Restart-Lander,cur,76.0,0.7200,0.3000,0.5100
M02-D10-PIN01,20,Restart-Lander,cur,53.0,0.5300,0.2904,0.4102
M03-D10-PIN01,20,Restart-Lander,cur,45.0,0.4900,0.3015,0.3958
M04-D10-PIN01,20,Restart-Lander,cur,100.0,0.6500,0.2167,0.4333
M05-D10-PIN01,20,Restart-Lander,cur,100.0,0.6500,0.2167,0.4333
M06-D10-PIN01,20,Restart-Lander,cur,100.0,0.4000,0.1333,0.2667
M07-D10-PIN01,20,Restart-Lander,cur,100.0,0.4400,0.1467,0.2933
M08-D10-PIN01,20,Restart-Lander,cur,100.0,0.6500,0.2167,0.4333
M09-D10-PIN01,10,Restart-Lander,cur,57.0,0.5000,0.1493,0.3246
M10-D10-PIN01,10,Restart-Lander,cur,42.0,0.6000,0.2308,0.4154
M11-D10-PIN01,10,Restart-Lander,cur,46.0,0.4600,0.1643,0.3121
M12-D10-PIN01,10,Restart-Lander,cur,100.0,0.7800,0.1418,0.4609
M13-D10-PIN01,10,Restart-Lander,cur,100.0,0.8000,0.1455,0.4727
M14-D10-PIN01,10,Restart-Lander,cur,100.0,0.3000,0.0545,0.1773
M15-D10-PIN01,10,Restart-Lander,cur,100.0,0.3000,0.0545,0.1773
M16-D10-PIN01,10,Restart-Lander,cur,100.0,0.7000,0.1273,0.4136
M01-D10-PIN01,20,Restart-Lander,legal,16.0,0.7200,0.8000,0.7600
M02-D10-PIN01,20,Restart-Lander,legal,11.0,0.5300,0.6839,0.6069
M03-D10-PIN01,20,Restart-Lander,legal,10.0,0.4900,0.6533,0.5717
M04-D10-PIN01,20,Restart-Lander,legal,13.0,0.6500,0.7879,0.7189
M05-D10-PIN01,20,Restart-Lander,legal,13.0,0.6500,0.7879,0.7189
M06-D10-PIN01,20,Restart-Lander,legal,8.0,0.4000,0.5714,0.4857
M07-D10-PIN01,20,Restart-Lander,legal,9.0,0.4400,0.6069,0.5234
M08-D10-PIN01,20,Restart-Lander,legal,13.0,0.6500,0.7879,0.7189
M09-D10-PIN01,10,Restart-Lander,legal,6.0,0.5000,0.6250,0.5625
M10-D10-PIN01,10,Restart-Lander,legal,7.0,0.6000,0.7059,0.6529
M11-D10-PIN01,10,Restart-Lander,legal,6.0,0.4600,0.5750,0.5175
M12-D10-PIN01,10,Restart-Lander,legal,9.0,0.8200,0.8632,0.8416
M13-D10-PIN01,10,Restart-Lander,legal,8.0,0.8000,0.8889,0.8444
M14-D10-PIN01,10,Restart-Lander,legal,3.0,0.3000,0.4615,0.3808
M15-D10-PIN01,10,Restart-Lander,legal,4.0,0.3200,0.4571,0.3886
M16-D10-PIN01,10,Restart-Lander,legal,7.0,0.7000,0.8235,0.7618
M01-D10-PIN01,20,Restart-Lander,oracle_e112,16.0,0.7200,0.8000,0.7600
M02-D10-PIN01,20,Restart-Lander,oracle_e112,11.0,0.5300,0.6839,0.6069
M03-D10-PIN01,20,Restart-Lander,oracle_e112,10.0,0.4900,0.6533,0.5717
M04-D10-PIN01,20,Restart-Lander,oracle_e112,13.0,0.6500,0.7879,0.7189
M05-D10-PIN01,20,Restart-Lander,oracle_e112,13.0,0.6500,0.7879,0.7189
M06-D10-PIN01,20,Restart-Lander,oracle_e112,8.0,0.4000,0.5714,0.4857
M07-D10-PIN01,20,Restart-Lander,oracle_e112,9.0,0.4400,0.6069,0.5234
M08-D10-PIN01,20,Restart-Lander,oracle_e112,13.0,0.6500,0.7879,0.7189
M09-D10-PIN01,10,Restart-Lander,oracle_e112,6.0,0.5000,0.6250,0.5625
M10-D10-PIN01,10,Restart-Lander,oracle_e112,7.0,0.6000,0.7059,0.6529
M11-D10-PIN01,10,Restart-Lander,oracle_e112,6.0,0.4600,0.5750,0.5175
M12-D10-PIN01,10,Restart-Lander,oracle_e112,9.0,0.8200,0.8632,0.8416
M13-D10-PIN01,10,Restart-Lander,oracle_e112,8.0,0.8000,0.8889,0.8444
M14-D10-PIN01,10,Restart-Lander,oracle_e112,3.0,0.3000,0.4615,0.3808
M15-D10-PIN01,10,Restart-Lander,oracle_e112,4.0,0.3200,0.4571,0.3886
M16-D10-PIN01,10,Restart-Lander,oracle_e112,7.0,0.7000,0.8235,0.7618
M01-D10-PIN01,20,MC-ESO,cur,100.0,0.2100,0.0700,0.1400
M02-D10-PIN01,20,MC-ESO,cur,100.0,0.1700,0.0567,0.1133
M03-D10-PIN01,20,MC-ESO,cur,100.0,0.0500,0.0167,0.0333
M04-D10-PIN01,20,MC-ESO,cur,100.0,0.0700,0.0233,0.0467
M05-D10-PIN01,20,MC-ESO,cur,100.0,0.0500,0.0167,0.0333
M06-D10-PIN01,20,MC-ESO,cur,100.0,0.0000,0.0000,0.0000
