pid,K,rl_touch,rl_deep,mc_touch,mc_deep,n_unlanded_rl,unlanded_rl,nn_unlanded,nn_landed,mwu_p
M01,20,0.8,0.65,0.95,0.05,4,4;6;17;19,3.220965722202126,7.156172949782695,0.003924736859123195
M02,20,0.55,0.45,0.5,0.05,9,0;2;5;9;10;12;14;17;19,4.299892867458988,7.555636693597475,0.0062175411244363805
M03,20,0.5,0.45,0.75,0.05,10,1;3;5;6;9;10;11;12;17;18,4.156637667490087,8.162702575914047,0.0001806347208075351
M04,20,0.65,0.65,0.4,0.05,7,0;2;7;10;15;18;19,3.6521331830009003,7.466777909092328,0.0006526705105124469
M05,20,0.65,0.65,0.05,0.05,7,0;4;6;8;9;15;18,3.6142960634247747,7.733012455465458,0.0003570379573744808
M06,20,0.75,0.4,0.05,0.0,5,2;3;12;14;17,3.1822608546304196,7.18390596510017,0.0012290305080728597
M07,20,0.5,0.4,0.05,0.0,10,0;1;7;10;11;12;15;16;18;19,4.671746499060275,8.772942455664541,0.0007615179826145427
M08,20,0.65,0.65,0.05,0.0,7,4;11;14;15;16;17;19,4.088024113657828,7.587130539922288,0.003356069970716428
M09,10,0.9,0.4,1.0,0.1,1,5,7.916176766173846,8.309403471476875,1.0
M10,10,0.7,0.3,0.5,0.1,3,3;7;8,9.022755863284596,8.576885163802716,0.8191681817537204
M11,10,0.9,0.4,0.8,0.1,1,9,10.309281077518412,8.762770839132493,0.2933255737660211
M12,10,0.9,0.7,0.1,0.1,1,9,6.370918710240147,9.075842059004852,0.2216119602090857
M13,10,0.9,0.8,0.1,0.1,1,5,6.363558600802657,9.011859524511092,0.2216119602090857
M14,10,1.0,0.3,0.9,0.1,0,,nan,nan,nan
M15,10,0.8,0.3,0.2,0.1,2,2;7,6.7591956207238555,9.15301125490386,0.11607394330990008
M16,10,1.0,0.7,0.1,0.0,0,,nan,nan,nan
