pid,K,deep_support,n_unlanded,unlanded,nn_unlanded,nn_landed,mwu_p,absorbed
M01,20,0.65,7,1;4;6;13;17;18;19,4.7165417854652825,7.25898750669805,0.01735609681595064,1
M02,20,0.45,11,0;1;2;5;9;10;11;12;14;17;19,4.622725488527375,7.884562118100222,0.004922150545072377,0
M03,20,0.45,11,1;2;3;5;6;9;10;11;12;17;18,4.425448049572747,8.279274876526792,0.0002627681660312851,1
M04,20,0.65,7,0;2;7;10;15;18;19,3.6521331830009003,7.466777909092328,0.0006526705105124469,0
M05,20,0.65,7,0;4;6;8;9;15;18,3.6142960634247747,7.733012455465458,0.0003570379573744808,0
M06,20,0.4,12,2;3;5;6;7;8;12;13;14;16;17;18,5.890858960417744,6.622448278080214,0.6431790917859157,4
M07,20,0.4,12,0;1;2;7;10;11;12;14;15;16;18;19,5.591782923081706,8.41818680878346,0.025150533825082838,3
M08,20,0.65,7,4;11;14;15;16;17;19,4.088024113657828,7.587130539922288,0.003356069970716428,0
M09,10,0.4,6,0;1;2;4;5;6,8.0355364431777,8.621897337599881,0.5917776474723879,5
M10,10,0.3,7,0;1;2;3;6;7;8,8.501002057392286,9.199816444908933,0.4928108968427015,2
M11,10,0.4,6,0;2;5;7;8;9,8.796998928332641,9.098056264928752,1.0,1
M12,10,0.7,3,4;7;9,7.652139134352045,9.299582834032526,0.3035889878768999,3
M13,10,0.8,2,2;5,6.735499917879844,9.249911810705349,0.11607394330990008,2
M14,10,0.3,7,0;1;2;3;6;7;8,8.544832325989962,10.013983021301785,0.13608003089141343,1
M15,10,0.3,7,2;3;4;5;6;7;9,8.01236941627782,10.21863178891128,0.1095309716779272,1
M16,10,0.7,3,2;4;9,8.894972779065192,9.594086472220242,0.6464996322637693,3
