pid,K,T_a,null_med,null_lo,null_hi,p_a,kind_a,sig_a,A_med,B_med,ratio,p_b,rb_b,sig_b,eff_rank,min_distinct,nn_min,nn_max
M01,20,6.369131504266582,8.262457901566906,7.457917577346302,9.135694524026581,0.0,clustered,True,6.239716565965887,8.064038443788426,0.7737706869158368,0.009435653686523438,-0.6476190476190476,True,8.226989159853716,20,2.742370696278598,11.379978217630597
M02,20,6.090551971835156,8.312101984594104,7.394548354759879,9.151661696634598,0.0,clustered,True,5.693123834196422,7.8198398933309115,0.7280358564696137,0.009435653686523438,-0.6476190476190476,True,8.534704085410034,20,2.676408224744145,10.980224844952556
M03,20,6.159670121702066,8.268481361260609,7.438515720777719,9.104734941280675,0.0,clustered,True,5.923921132814453,8.031571982497502,0.7375792865610783,0.002712249755859375,-0.7333333333333333,True,8.28400123941938,20,2.8810636256982334,10.260373596008604
M04,20,6.131652254960328,8.327642282606547,7.4447900734830705,9.135096904072881,0.0,clustered,True,6.087108456197237,7.8760383206997275,0.7728642508250827,0.0072956085205078125,-0.6666666666666666,True,8.414013579130419,20,2.7854723012498304,10.317297652310401
M05,20,6.291461718251219,8.321745422680014,7.496886691308495,9.144858286690024,0.0,clustered,True,6.069066596388374,8.183570471289066,0.7416159752861983,0.0019855499267578125,-0.7523809523809524,True,7.880527094892693,20,2.661886081486238,10.74210306935663
M06,20,6.183494687482731,8.287781978921625,7.443220285224856,9.079056463974988,0.0,clustered,True,6.767682907389879,7.967605647010272,0.8493998331769035,0.00830841064453125,-0.6571428571428571,True,7.980553281138334,20,2.687989141532595,9.265736264644353
M07,20,6.722344477362408,8.301215919202573,7.447052589803922,9.135699974442362,0.0,clustered,True,6.952960802160087,8.135103557706753,0.8546862068612798,0.039989471435546875,-0.5238095238095238,True,8.06645721227221,20,2.978719741816097,10.557552259113661
M08,20,6.362443290729727,8.28417315268193,7.426452967159189,9.18992164803306,0.0,clustered,True,6.489734606440194,7.925967361538638,0.8187940109281963,0.013616561889648438,-0.6190476190476191,True,8.468209243395933,20,2.754564666855015,10.951864398562167
M09,10,8.270080800946571,9.186783906960502,7.89292792663375,10.50842558763947,0.218,clustered,False,7.672034589082022,8.409639261587854,0.9122905692429711,0.76953125,-0.12727272727272726,False,7.329935141900173,10,6.685663277361207,10.449493083220693
M10,10,8.71064637364728,9.208228324436412,7.906199113638193,10.443732833668314,0.474,clustered,False,8.347306830622998,9.01905311907666,0.9255192003434577,0.556640625,-0.23636363636363636,False,6.37251590806232,10,6.65913229217432,11.329558282124998
M11,10,8.917421862971086,9.170842114049861,7.894396315105898,10.55020675817794,0.724,clustered,False,8.984563716582358,8.726259651694043,1.0296007768733044,1.0,0.01818181818181818,False,6.658042505484588,10,6.528054279192434,12.160663610879578
M12,10,8.805349724128382,9.22080149311223,7.73419318413592,10.639518595176714,0.578,clustered,False,9.078559988301222,8.49536134849443,1.0686490681070497,0.6953125,0.16363636363636364,False,7.290386410646323,10,6.370918710240147,11.818836544778696
M13,10,8.747029432140248,9.22728117226522,7.830545531983577,10.521488929271573,0.532,clustered,False,8.841950799052356,8.813985612779277,1.003172819596226,1.0,0.01818181818181818,False,6.766595490816273,10,6.363558600802657,11.563523952218071
M14,10,8.98557753458351,9.16714115877379,7.705452808437475,10.56738551424848,0.788,clustered,False,8.71686210052666,8.768594243973403,0.9941002922466964,0.76953125,0.12727272727272726,False,6.74009223389549,10,7.256287119183319,11.124060138891544
M15,10,8.674248128067857,9.237662273292297,7.799232808417751,10.489156489167293,0.466,clustered,False,8.741105260105122,8.900630278948999,0.9820771098400558,0.76953125,-0.12727272727272726,False,6.708409019590612,10,6.337145589659005,10.506054621023688
M16,10,9.38435236427373,9.155357270323902,7.860028025768862,10.481691873782099,0.778,regular,False,9.016863304896368,8.63078305012231,1.0447329347212113,0.275390625,0.41818181818181815,False,7.419377289630277,10,7.582001010740407,12.280258078780415
