pid,idx,clustered,nn,cell,hits,hits_near,enrich,enrich_near
M01,0,0,6.557516354298224,0.07314,1,1,0.1799001194536793,0.1799001194536793
M01,1,0,5.0352805060948995,0.026225,1,1,0.5017309718528925,0.5017309718528925
M01,2,1,3.917427087446501,0.01633,1,1,0.8057498307925355,0.8057498307925355
M01,3,0,11.379978217630597,0.03914,7,7,2.3532259365839225,2.3532259365839225
M01,4,1,3.0608052442788254,0.010695,0,0,0.0,0.0
M01,5,0,9.500747008947608,0.044535,5,5,1.4772532543889194,1.4772532543889194
M01,6,1,2.742370696278598,0.00049,0,0,0.0,0.0
M01,7,0,5.50123120231752,0.03898,2,2,0.6751100429369987,0.6751100429369987
M01,8,0,5.92191677763355,0.05299,3,3,0.7449270468112156,0.7449270468112156
M01,9,0,7.296986120968001,0.030325,1,1,0.4338959517507701,0.4338959517507701
M01,10,0,5.166207728061161,0.08911,1,1,0.14765901399216816,0.14765901399216816
M01,11,0,6.811799442125604,0.133145,2,2,0.19764759828520942,0.19764759828520942
M01,12,0,8.194756807925787,0.107145,12,12,1.473654737431567,1.473654737431567
M01,13,0,9.957134541266477,0.060955,9,9,1.9427619166857344,1.9427619166857344
M01,14,0,7.865206456231657,0.058805,12,12,2.685056319056292,2.685056319056292
M01,15,0,7.296986120968001,0.0527,3,3,0.7490262658543893,0.7490262658543893
M01,16,0,8.956078262520432,0.072035,15,15,2.7398961762008964,2.7398961762008964
M01,17,1,2.742370696278598,0.00598,0,0,0.0,0.0
M01,18,0,5.1395145620871014,0.073385,1,1,0.17929951266392455,0.17929951266392455
M01,19,1,4.338316251972482,0.01389,0,0,0.0,0.0
M02,0,0,5.301773241453657,0.09939,0,0,0.0,0.0
M02,1,0,7.250872782336485,0.04397,1,1,0.42910904089838264,0.42910904089838264
M02,2,0,7.327148989283911,0.03854,0,0,0.0,0.0
M02,3,0,7.311904898549686,0.066075,1,1,0.2855531521498583,0.2855531521498583
M02,4,0,10.980224844952556,0.04063,10,10,4.64384064196453,4.64384064196453
M02,5,1,2.676408224744145,0.002745,0,0,0.0,0.0
M02,6,0,10.978837598999524,0.02936,2,2,1.2852809624183845,1.2852809624183845
M02,7,1,3.824116366130127,0.027715,1,1,0.6807838545301059,0.6807838545301059
M02,8,0,8.422624645891895,0.07354,5,5,1.282834139808396,1.282834139808396
M02,9,1,3.8726063934815005,0.021695,0,0,0.0,0.0
M02,10,1,3.7089428152392103,0.03638,0,0,0.0,0.0
M02,11,1,4.9000717843337425,0.04148,1,1,0.4548679973071814,0.4548679973071814
M02,12,1,3.0572247261741037,0.029115,0,0,0.0,0.0
M02,13,0,8.018213179035158,0.097415,4,4,0.7747441165447574,0.7747441165447574
M02,14,0,5.0120940252763955,0.045495,0,0,0.0,0.0
M02,15,0,6.109670323033087,0.07007,4,4,1.077090025877088,1.077090025877088
M02,16,0,9.230992779370773,0.058185,20,20,6.485494381129806,6.485494381129806
M02,17,0,5.066429166733829,0.060295,0,0,0.0,0.0
M02,18,0,6.084474426939186,0.09942,4,4,0.7591198764152841,0.7591198764152841
M02,19,1,2.676408224744145,0.018485,0,0,0.0,0.0
M03,0,0,7.450975414097136,0.10132,3,3,0.6579813133307014,0.6579813133307014
M03,1,1,4.772313107632551,0.02578,0,0,0.0,0.0
M03,2,0,7.113551870399344,0.08599,4,4,1.033711930327816,1.033711930327816
M03,3,1,3.481777180294085,0.018705,0,0,0.0,0.0
M03,4,0,9.852954034512067,0.05191,2,2,0.8561827093901839,0.8561827093901839
M03,5,1,4.776665740879042,0.058345,0,0,0.0,0.0
M03,6,1,3.781640317057941,0.045535,0,0,0.0,0.0
M03,7,0,9.657372721905913,0.03562,6,6,3.743215422047539,3.743215422047539
M03,8,0,10.260373596008604,0.05032,6,6,2.6497085320614735,2.6497085320614735
M03,9,1,2.8810636256982334,0.001105,0,0,0.0,0.0
M03,10,0,5.8932625406470756,0.06198,0,0,0.0,0.0
M03,11,0,5.647939642019232,0.036335,0,0,0.0,0.0
M03,12,1,2.8810636256982334,0.013275,0,0,0.0,0.0
M03,13,0,5.95457972498183,0.08275,3,3,0.8056394763343403,0.8056394763343403
M03,14,0,8.635998127933878,0.0848,4,4,1.0482180293501049,1.0482180293501049
M03,15,0,7.450975414097136,0.07085,6,6,1.8819101387908728,1.8819101387908728
M03,16,0,7.41242770732423,0.06761,8,8,2.629459810350211,2.629459810350211
M03,17,1,3.3853659194650194,0.01571,0,0,0.0,0.0
M03,18,1,4.065284975509461,0.013355,0,0,0.0,0.0
M03,19,0,7.837817147880334,0.078705,3,3,0.8470448722021049,0.8470448722021049
M04,0,1,4.0955929729631,0.023255,0,0,0.0,0.0
M04,1,0,10.317297652310401,0.038815,6,6,1.3559597822328588,1.3559597822328588
M04,2,1,3.3347597636482114,0.020245,0,0,0.0,0.0
M04,3,0,5.6150940765163675,0.07532,2,2,0.23292431823052054,0.23292431823052054
M04,4,0,7.782574023884448,0.10133,35,35,3.0298780603932607,3.0298780603932607
M04,5,0,9.111250755785074,0.09372,13,13,1.2167636333685259,1.2167636333685259
M04,6,0,6.047512159252739,0.048285,1,1,0.18166987313992758,0.18166987313992758
M04,7,1,4.342617262550687,0.03852,0,0,0.0,0.0
M04,8,0,6.759853164422447,0.065115,5,5,0.6735721281241959,0.6735721281241959
M04,9,0,8.319209760588816,0.04098,8,8,1.7124313957172088,1.7124313957172088
M04,10,1,2.7854723012498304,0.0009,0,0,0.0,0.0
M04,11,0,6.486096105528957,0.0671,7,7,0.915104452636808,0.915104452636808
M04,12,0,6.126704753141735,0.056495,4,4,0.6210765430258539,0.6210765430258539
M04,13,1,4.221957220288798,0.030075,2,2,0.5833369791894533,0.5833369791894533
M04,14,0,8.943743381930506,0.076745,10,10,1.1429969150513264,1.1429969150513264
M04,15,0,5.001150644452359,0.03737,0,0,0.0,0.0
M04,16,0,7.643988195081893,0.09366,7,7,0.6556001363648284,0.6556001363648284
M04,17,0,9.692831569468087,0.06872,14,14,1.7870637011621018,1.7870637011621018
M04,18,1,3.219867034892288,0.017295,0,0,0.0,0.0
M04,19,1,2.7854723012498304,0.006055,0,0,0.0,0.0
M05,0,1,2.661886081486238,0.010645,0,0,0.0,0.0
M05,1,0,10.74210306935663,0.028675,9,6,2.6598495707298335,1.9927761863245734
M05,2,0,7.869599901264569,0.06719,8,7,1.009028280540133,0.9922111425311306
M05,3,0,8.181723659272524,0.141075,18,18,1.0812856486362286,1.215159109895952
M05,4,1,3.940132199010773,0.011695,0,0,0.0,0.0
M05,5,0,6.069066596388374,0.061225,1,1,0.13841692562166502,0.15555425927006164
M05,6,1,4.514369778787761,0.02197,0,0,0.0,0.0
M05,7,0,8.165860866931334,0.042855,5,5,0.9887500024718751,1.1111666694445834
M05,8,1,3.3471177754526438,0.012925,0,0,0.0,0.0
M05,9,1,3.603121422840007,0.011275,0,0,0.0,0.0
M05,10,0,9.099297688804011,0.121465,19,15,1.3256242469233306,1.176117752909421
M05,11,0,5.292493450915859,0.037125,1,1,0.2282714147120927,0.25653358986692326
M05,12,0,9.965846027375868,0.06252,18,18,2.4398971989980156,2.741979709350151
M05,13,0,7.936475421681828,0.060565,8,6,1.119402462965269,0.9434963616421553
M05,14,0,5.698044310315543,0.05711,3,3,0.44517122769321177,0.5002876654076094
M05,15,1,4.571559104909762,0.015275,0,0,0.0,0.0
M05,16,0,7.2737234654247125,0.07341,16,14,1.8470674341231854,1.816282976887799
M05,17,0,6.069066596388374,0.059235,1,1,0.14306704264685474,0.16078010506979867
M05,18,1,2.661886081486238,0.000195,0,0,0.0,0.0
M05,19,0,8.165860866931334,0.10357,11,10,0.9000708601240789,0.9195529133735177
M06,0,0,5.037402218382052,0.0367,2,2,0.3493327744008942,3.027550711474417
M06,1,0,9.265736264644353,0.057625,18,2,2.002336058735191,1.9281754639672208
M06,2,1,3.7842423335616595,0.026125,0,0,0.0,0.0
M06,3,1,3.0027703223400506,0.025275,0,0,0.0,0.0
M06,4,0,7.127344762316589,0.02457,5,1,1.3044884839756632,2.261113372224483
M06,5,0,7.673342563851309,0.091155,22,0,1.5470971534818827,0.0
M06,6,0,9.160692203501368,0.03171,11,0,2.223677720366462,0.0
M06,7,1,4.141219138534877,0.03386,1,0,0.1893164917382283,0.0
M06,8,0,9.041641906875656,0.076785,13,0,1.0852814134705127,0.0
M06,9,0,7.538358315120409,0.12833,20,2,0.9990269477528886,0.8658233547191702
M06,10,0,5.604314219418555,0.040685,4,3,0.6302329025691444,4.096513866699438
M06,11,0,6.833384509181026,0.07903,11,3,0.8922285273038151,2.1089037918090177
M06,12,1,2.687989141532595,0.00174,0,0,0.0,0.0
M06,13,0,7.206352308277926,0.09017,15,0,1.0663618293650456,0.0
M06,14,1,3.748313334185197,0.03544,0,0,0.0,0.0
M06,15,1,4.8710646299799985,0.02659,1,1,0.24107771381182438,2.0893401863691445
M06,16,0,9.265736264644353,0.085455,19,0,1.4252515568997928,0.0
M06,17,1,2.687989141532595,0.005235,0,0,0.0,0.0
M06,18,0,8.290018866175338,0.05694,5,0,0.5628957156881287,0.0
M06,19,0,6.701981305598733,0.04658,9,4,1.2385639264127886,4.77076475359
M07,0,0,5.2958239829812745,0.06098,0,0,0.0,0.0
M07,1,1,4.075204927634593,0.013225,0,0,0.0,0.0
M07,2,0,10.211895149062462,0.07992,3,2,0.33219059767732334,0.2360851417455191
M07,3,0,7.584465126522341,0.05232,13,13,2.1988579470109064,2.3440655472852114
M07,4,0,7.436127785691167,0.073795,6,6,0.7195249696150602,0.7670407694953
M07,5,0,6.191893789468493,0.06412,6,6,0.8280933426815871,0.8827787521039561
M07,6,0,9.817914137707092,0.08709,23,22,2.33712048465782,2.3831343416158086
M07,7,1,3.58562626042944,0.011105,0,0,0.0,0.0
M07,8,0,10.172034937315265,0.09636,16,14,1.4694159438976993,1.3706462401215567
M07,9,0,8.193600263401695,0.071405,17,17,2.106889963953592,2.246024206856187
M07,10,1,2.978719741816097,0.000385,0,0,0.0,0.0
M07,11,0,7.646719283592097,0.04548,0,0,0.0,0.0
M07,12,0,6.514015433272204,0.052275,0,0,0.0,0.0
M07,13,0,7.391906171047971,0.1242,13,13,0.9262821883060436,0.9874517667790842
M07,14,0,10.172034937315265,0.04432,1,0,0.19967413181687488,0.0
M07,15,1,2.978719741816097,0.003305,0,0,0.0,0.0
M07,16,1,4.604115758127875,0.01949,0,0,0.0,0.0
M07,17,0,10.557552259113661,0.06316,15,13,2.101699854842597,1.941759174065267
M07,18,1,3.4861397671824643,0.009605,0,0,0.0,0.0
M07,19,0,5.5523800937506005,0.02746,0,0,0.0,0.0
M08,0,0,6.226070705966198,0.111205,7,3,0.5117626824845201,0.28699153470636457
M08,1,0,8.416315013393977,0.04104,12,12,2.377216754623687,3.1106134129650362
M08,2,0,6.753398506914191,0.03154,5,5,1.288852457326095,1.68647715160755
M08,3,0,5.5669169544680095,0.051075,4,4,0.6367170867009698,0.8331510815342477
M08,4,1,2.754564666855015,0.00164,0,0,0.0,0.0
M08,5,0,9.48562425986812,0.05473,16,15,2.376782401114711,2.91566724072915
M08,6,0,8.8182712220722,0.080725,14,14,1.4099862274559567,1.8449819784796029
M08,7,0,9.842881390053963,0.05258,9,3,1.3916076779634283,0.6069778169840485
M08,8,1,4.808810295616192,0.04901,2,2,0.3317723444526835,0.4341276422093624
M08,9,0,8.645539365873226,0.06111,10,2,1.3304011292444786,0.34816880616398055
M08,10,0,8.023343297699403,0.11195,22,21,1.5976935115487825,1.9955717313010177
M08,11,0,7.08132408084112,0.06783,0,0,0.0,0.0
M08,12,0,10.951864398562167,0.037085,11,7,2.4115112392865874,2.008037888806336
M08,13,1,4.261752175515596,0.025755,3,3,0.9470100525117074,1.2391727282865959
M08,14,1,3.5691106443392697,0.017945,0,0,0.0,0.0
M08,15,1,3.151384487661698,0.00975,0,0,0.0,0.0
M08,16,1,2.754564666855015,0.01092,0,0,0.0,0.0
M08,17,1,4.786218627642103,0.0595,0,0,0.0,0.0
M08,18,0,6.8319094329865,0.09463,8,3,0.687315337699504,0.3372597867169108
M08,19,1,4.519001621410577,0.02998,0,0,0.0,0.0
M09,0,0,7.350280755274436,0.144435,5,5,0.6073271592454323,0.8876320019740934
M09,1,0,8.924907372655621,0.11268,3,0,0.4670889150458681,0.0
M09,2,0,9.908298075610888,0.083915,15,2,3.136005419017364,0.6111190047315889
M09,3,0,6.685663277361207,0.012085,1,1,1.4517053909079691,2.121723263634724
M09,4,0,7.427892411990199,0.104975,1,0,0.16712416907952185,0.0
M09,5,0,7.916176766173846,0.05564,0,0,0.0,0.0
M09,6,0,6.685663277361207,0.080625,1,0,0.21759825921392628,0.0
M09,7,0,9.924540577827427,0.07104,5,5,1.234787418997945,1.8046893046893044
M09,8,0,10.449493083220693,0.0839,15,15,3.1365660874474623,4.5842119739616765
M09,9,0,7.427892411990199,0.250705,11,11,0.769759103888438,1.1250325364523326
M10,0,0,7.790923945418571,0.332265,1,1,0.07165823607519242,0.07165823607519242
M10,1,0,6.65913229217432,0.006085,1,1,3.9128223187385056,3.9128223187385056
M10,2,0,11.329558282124998,0.06288,10,10,3.786501878104931,3.786501878104931
M10,3,0,9.870169996281886,0.16688,0,0,0.0,0.0
M10,4,0,10.904835673480806,0.07385,23,23,7.415288390237612,7.415288390237612
M10,5,0,8.423001443904447,0.05909,4,4,1.6117464078201935,1.6117464078201935
M10,6,0,6.65913229217432,0.063875,1,1,0.37275184046221227,0.37275184046221227
M10,7,0,7.451666388737094,0.062195,0,0,0.0,0.0
M10,8,0,9.746431204834806,0.10836,0,0,0.0,0.0
M10,9,0,8.27161221734155,0.06452,2,2,0.7380509550379358,0.7380509550379358
M11,0,0,9.266470956766007,0.16774,5,3,0.6480007879689581,0.5769297338046208
M11,1,0,6.921107889921832,0.09859,2,2,0.4410007188311717,0.6543881634269
M11,2,0,10.075066488663282,0.06381,1,0,0.34068532259493195,0.0
M11,3,0,8.702656476398708,0.15213,9,9,1.2860854132192434,1.9083848067124258
M11,4,0,12.160663610879578,0.03979,8,8,4.370772643334026,6.485662632044038
M11,5,0,6.528054279192434,0.056185,1,0,0.38692053812908445,0.0
M11,6,0,8.60779708251489,0.11563,8,8,1.5040477685571294,2.231812817858966
M11,7,0,10.075066488663282,0.121025,11,1,1.975876346065761,0.2665405041613636
M11,8,0,6.528054279192434,0.122645,1,0,0.17725248020532927,0.0
M11,9,0,10.309281077518412,0.062455,0,0,0.0,0.0
M12,0,0,6.370918710240147,0.03475,2,2,0.5429618569295507,0.5481329222336416
M12,1,0,11.818836544778696,0.0404,14,14,3.2691948440127034,3.3003300330033003
M12,2,0,10.03073730763181,0.05948,5,5,0.7930365050564009,0.8005892336759856
M12,3,0,10.837113622399464,0.100725,56,56,5.244992671059348,5.294944982212295
M12,4,0,9.119386482530938,0.057735,3,3,0.49020328730324464,0.494871890039466
M12,5,0,7.179734351963636,0.24204,4,4,0.15590749073129967,0.1573923239763597
M12,6,0,9.822005807142423,0.09125,11,11,1.137244766089429,1.148075668623614
M12,7,0,7.4661122102850515,0.065795,4,3,0.573536728575177,0.43424923734977683
M12,8,0,9.037733494071508,0.135945,7,7,0.48576803743467284,0.49039439969595544
M12,9,0,6.370918710240147,0.17188,0,0,0.0,0.0
M13,0,0,8.735806962001861,0.12358,7,2,0.5012696443993143,0.18184099459750405
M13,1,0,8.94809463610285,0.16901,32,29,1.6755567168094467,1.9279492138288474
M13,2,0,7.107441234957031,0.097915,1,0,0.09037999818336204,0.0
M13,3,0,11.563523952218071,0.03971,12,8,2.674255609808278,2.263602126654198
M13,4,0,11.27207027349953,0.125795,11,6,0.7738394430888575,0.5359174079818646
M13,5,0,6.363558600802657,0.04704,0,0,0.0,0.0
M13,6,0,9.04987541730568,0.085695,19,19,1.9620933884165237,2.4911972234951367
M13,7,0,9.798130941882453,0.128205,22,19,1.5185855893820495,1.665170204496047
M13,8,0,6.363558600802657,0.01087,1,1,0.8141267269663196,1.0336665185077991
M13,9,0,8.268233701829693,0.17218,8,5,0.41117702507254705,0.32628513927807457
M14,0,0,7.9192415283739725,0.13026,13,0,0.7676953784738217,0.0
M14,1,0,10.092775396356261,0.168705,27,0,1.2310975234421488,0.0
M14,2,0,7.256287119183319,0.01616,1,0,0.476009139375476,0.0
M14,3,0,9.855510917779547,0.09042,14,0,1.1910230888333078,0.0
M14,4,0,8.147284997099407,0.102835,16,16,1.1968388493890514,6.223562016823067
M14,5,0,11.124060138891544,0.13714,27,4,1.5144546280611615,1.1666909727285983
M14,6,0,7.256287119183319,0.078775,4,0,0.3905963918658302,0.0
M14,7,0,9.286439203953913,0.118865,14,0,0.906005196586949,0.0
M14,8,0,8.147284997099407,0.0857,5,0,0.4487927475092003,0.0
M14,9,0,10.77060392791441,0.07114,9,5,0.9731623451049936,2.8113578858588704
M15,0,0,9.876182409526955,0.19169,76,76,3.3317098554169435,3.812244930717464
M15,1,0,10.456664876285707,0.086075,24,24,2.3430807118083945,2.681025045242298
M15,2,0,6.337145589659005,0.0058,0,0,0.0,0.0
