pid,K,n_cl,n_iso,touch_cl,touch_iso,touch_all,touch_cf,deep_cl,deep_iso,deep_all,deep_cf
M01,20,5,15,0.2,1.0,0.8,1.0,0.2,0.8,0.65,0.8
M02,20,7,13,0.2857142857142857,0.6923076923076923,0.55,0.6923076923076923,0.14285714285714285,0.6153846153846154,0.45,0.6153846153846154
M03,20,8,12,0.0,0.8333333333333334,0.5,0.8333333333333334,0.0,0.75,0.45,0.75
M04,20,7,13,0.14285714285714285,0.9230769230769231,0.65,0.923076923076923,0.14285714285714285,0.9230769230769231,0.65,0.923076923076923
M05,20,7,13,0.0,1.0,0.65,1.0,0.0,1.0,0.65,1.0
M06,20,7,13,0.2857142857142857,1.0,0.75,1.0,0.14285714285714285,0.5384615384615384,0.4,0.5384615384615385
M07,20,6,14,0.0,0.7142857142857143,0.5,0.7142857142857142,0.0,0.5714285714285714,0.4,0.5714285714285714
M08,20,8,12,0.25,0.9166666666666666,0.65,0.9166666666666666,0.25,0.9166666666666666,0.65,0.9166666666666666
M09,10,0,10,nan,0.9,0.9,0.9,nan,0.4,0.4,0.4
M10,10,0,10,nan,0.7,0.7,0.7,nan,0.3,0.3,0.3
M11,10,0,10,nan,0.9,0.9,0.9,nan,0.4,0.4,0.4
M12,10,0,10,nan,0.9,0.9,0.9,nan,0.7,0.7,0.7
M13,10,0,10,nan,0.9,0.9,0.9,nan,0.8,0.8,0.8
M14,10,0,10,nan,1.0,1.0,1.0,nan,0.3,0.3,0.3
M15,10,0,10,nan,0.8,0.8,0.8,nan,0.3,0.3,0.3
M16,10,0,10,nan,1.0,1.0,1.0,nan,0.7,0.7,0.7
