pid,n_land,land_mean,unif_mean,p,a12,land_deep_mean,land_shallow_mean,n_deep
M01,76,0.005837406501726314,7.996709925932591,2.5251696865435622e-51,0.0,3.869376696239413e-05,0.027582579257091015,60
M02,53,4.000390876824893e-05,7.738619214640685,2.3214239779319336e-36,0.0,1.2447413532665513e-05,0.0004992788293613058,50
M03,45,0.0008897818929737763,7.944830200507575,3.8597826783401068e-31,0.0,2.9531278551817025e-05,0.00777178680834945,40
M04,114,4.23869343887158e-06,7.810437194612765,6.240097766610886e-76,0.0,1.0770372260423361e-08,0.0004819939999659322,113
M05,118,0.06278736260393797,8.139515068731844,1.632653542994282e-78,2.5423728813559323e-06,1.4537715906534351e-11,0.5699160604414015,105
M06,156,0.7279955337518854,7.901862756122728,5.4235386943462095e-103,0.0,8.20521907547863e-09,0.8229514718666681,18
M07,113,0.17836668993453822,8.034253728000182,9.78424508406515e-75,0.0018743362831858408,4.737769883885824e-09,0.43816164446026606,67
M08,123,0.38434812129560536,7.876467586613907,1.3656347838240896e-81,0.0004707317073170732,1.4035161586030817e-11,1.575827297268473,93
M09,57,0.5457505561243728,8.272614633128093,2.718350168182005e-38,0.004555263157894737,1.598081667875039e-08,1.2443112475081248,32
M10,42,0.0008173338797502659,8.90951273061565,3.5240757211158557e-29,0.0,1.0407641005636038e-05,0.002431186357239525,28
M11,46,0.15266624629475997,8.520496588381715,8.578533293639767e-32,0.0,1.2869414611202294e-06,0.3696111885336583,27
M12,106,0.0028319581397162866,8.342300430693772,9.230640761464805e-71,0.0,6.054904640426932e-07,0.042875374179140884,99
M13,113,0.1450821555951024,8.651082824675848,2.7616028035498325e-75,0.0,1.4314290280671836e-11,0.6557713432394766,88
M14,130,1.0147638898894606,8.59751127993645,2.954238748222003e-86,0.0,2.214226920069403e-08,1.2563743345911729,25
M15,119,0.6669515073040173,8.756817634831167,8.217561046743941e-75,0.014269747899159664,2.53321350509958e-08,3.1746890795182945,94
M16,113,0.8231145318523785,8.491639562254912,1.0191971919023575e-72,0.008819469026548673,1.3749366430608226e-11,2.325298552457877,73
