pid,idx,nn,tau,clustered,hits,reached
M01,0,6.557516354298224,4.957474740940143,0,1,1
M01,1,5.0352805060948995,4.957474740940143,0,1,1
M01,2,3.917427087446501,4.957474740940143,1,1,1
M01,3,11.379978217630597,4.957474740940143,0,7,1
M01,4,3.0608052442788254,4.957474740940143,1,0,0
M01,5,9.500747008947608,4.957474740940143,0,5,1
M01,6,2.742370696278598,4.957474740940143,1,0,0
M01,7,5.50123120231752,4.957474740940143,0,2,1
M01,8,5.92191677763355,4.957474740940143,0,3,1
M01,9,7.296986120968001,4.957474740940143,0,1,1
M01,10,5.166207728061161,4.957474740940143,0,1,1
M01,11,6.811799442125604,4.957474740940143,0,2,1
M01,12,8.194756807925787,4.957474740940143,0,12,1
M01,13,9.957134541266477,4.957474740940143,0,9,1
M01,14,7.865206456231657,4.957474740940143,0,12,1
M01,15,7.296986120968001,4.957474740940143,0,3,1
M01,16,8.956078262520432,4.957474740940143,0,15,1
M01,17,2.742370696278598,4.957474740940143,1,0,0
M01,18,5.1395145620871014,4.957474740940143,0,1,1
M01,19,4.338316251972482,4.957474740940143,1,0,0
M02,0,5.301773241453657,4.987261190756462,0,0,0
M02,1,7.250872782336485,4.987261190756462,0,1,1
M02,2,7.327148989283911,4.987261190756462,0,0,0
M02,3,7.311904898549686,4.987261190756462,0,1,1
M02,4,10.980224844952556,4.987261190756462,0,10,1
M02,5,2.676408224744145,4.987261190756462,1,0,0
M02,6,10.978837598999524,4.987261190756462,0,2,1
M02,7,3.824116366130127,4.987261190756462,1,1,1
M02,8,8.422624645891895,4.987261190756462,0,5,1
M02,9,3.8726063934815005,4.987261190756462,1,0,0
M02,10,3.7089428152392103,4.987261190756462,1,0,0
M02,11,4.9000717843337425,4.987261190756462,1,1,1
M02,12,3.0572247261741037,4.987261190756462,1,0,0
M02,13,8.018213179035158,4.987261190756462,0,4,1
M02,14,5.0120940252763955,4.987261190756462,0,0,0
M02,15,6.109670323033087,4.987261190756462,0,4,1
M02,16,9.230992779370773,4.987261190756462,0,20,1
M02,17,5.066429166733829,4.987261190756462,0,0,0
M02,18,6.084474426939186,4.987261190756462,0,4,1
M02,19,2.676408224744145,4.987261190756462,1,0,0
M03,0,7.450975414097136,4.961088816756365,0,3,1
M03,1,4.772313107632551,4.961088816756365,1,0,0
M03,2,7.113551870399344,4.961088816756365,0,4,1
