pid,instance,K,n_reported,mpr,mean_f1,score
M01,PIN01,20,16.0,0.7200,0.8000,0.7600
M02,PIN01,20,11.0,0.5300,0.6839,0.6069
M03,PIN01,20,10.0,0.4900,0.6533,0.5717
M04,PIN01,20,13.0,0.6500,0.7879,0.7189
M05,PIN01,20,13.0,0.6500,0.7879,0.7189
M06,PIN01,20,8.0,0.4000,0.5714,0.4857
M07,PIN01,20,9.0,0.4400,0.6069,0.5234
M08,PIN01,20,13.0,0.6500,0.7879,0.7189
M09,PIN01,10,6.0,0.5000,0.6250,0.5625
M10,PIN01,10,7.0,0.6000,0.7059,0.6529
M11,PIN01,10,6.0,0.4600,0.5750,0.5175
M12,PIN01,10,9.0,0.8200,0.8632,0.8416
M13,PIN01,10,8.0,0.8000,0.8889,0.8444
M14,PIN01,10,3.0,0.3000,0.4615,0.3808
M15,PIN01,10,4.0,0.3200,0.4571,0.3886
M16,PIN01,10,7.0,0.7000,0.8235,0.7618
M01,PIN02,20,11.0,0.5300,0.6839,0.6069
M02,PIN02,20,13.0,0.6300,0.7636,0.6968
M03,PIN02,20,11.0,0.5100,0.6581,0.5840
M04,PIN02,20,14.0,0.7000,0.8235,0.7618
M05,PIN02,20,12.0,0.6000,0.7500,0.6750
M06,PIN02,20,8.0,0.4000,0.5714,0.4857
M07,PIN02,20,9.0,0.4400,0.6069,0.5234
M08,PIN02,20,13.0,0.6500,0.7879,0.7189
M09,PIN02,10,6.0,0.5400,0.6750,0.6075
M10,PIN02,10,8.0,0.6400,0.7111,0.6756
M11,PIN02,10,5.0,0.4600,0.6133,0.5367
M12,PIN02,10,8.0,0.7600,0.8444,0.8022
M13,PIN02,10,9.0,0.9000,0.9474,0.9237
M14,PIN02,10,3.0,0.3000,0.4615,0.3808
M15,PIN02,10,5.0,0.5000,0.6667,0.5833
M16,PIN02,10,5.0,0.5000,0.6667,0.5833
M01,PIN03,20,12.0,0.5700,0.7125,0.6412
M02,PIN03,20,11.0,0.5100,0.6581,0.5840
M03,PIN03,20,12.0,0.6000,0.7500,0.6750
M04,PIN03,20,13.0,0.6500,0.7879,0.7189
M05,PIN03,20,15.0,0.7500,0.8571,0.8036
M06,PIN03,20,8.0,0.4000,0.5714,0.4857
M07,PIN03,20,12.0,0.5300,0.6625,0.5962
M08,PIN03,20,13.0,0.6500,0.7879,0.7189
M09,PIN03,10,5.0,0.5000,0.6667,0.5833
M10,PIN03,10,8.0,0.6800,0.7556,0.7178
M11,PIN03,10,6.0,0.5400,0.6750,0.6075
M12,PIN03,10,8.0,0.8000,0.8889,0.8444
M13,PIN03,10,8.0,0.8000,0.8889,0.8444
M14,PIN03,10,3.0,0.3000,0.4615,0.3808
M15,PIN03,10,8.0,0.6600,0.7333,0.6967
M16,PIN03,10,5.0,0.5000,0.6667,0.5833
