function,method,rule,seed,evals,n_optima,n_reported,pr_1e-1,pr_1e-2,pr_1e-3,pr_1e-4,pr_1e-5
M01-D10-PIN01,Restart-Lander,current,1,500000,20,72,0.7000,0.6500,0.6000,0.6000,0.6000
M01-D10-PIN01,Restart-Lander,current,2,500000,20,67,0.6500,0.6500,0.6000,0.5500,0.5500
M01-D10-PIN02,Restart-Lander,current,1,500000,20,63,0.6000,0.6000,0.6000,0.5000,0.5000
M01-D10-PIN02,Restart-Lander,current,2,500000,20,64,0.5500,0.5500,0.5000,0.5000,0.4500
M01-D10-PIN03,Restart-Lander,current,1,500000,20,98,0.6000,0.5500,0.5500,0.5000,0.5000
M01-D10-PIN03,Restart-Lander,current,2,500000,20,92,0.5500,0.5000,0.5000,0.5000,0.5000
M02-D10-PIN01,Restart-Lander,current,1,500000,20,52,0.6500,0.6500,0.6500,0.6500,0.5000
M02-D10-PIN01,Restart-Lander,current,2,500000,20,53,0.4500,0.4500,0.4500,0.4500,0.4500
M02-D10-PIN02,Restart-Lander,current,1,500000,20,63,0.4500,0.4500,0.4500,0.4500,0.4000
M02-D10-PIN02,Restart-Lander,current,2,500000,20,67,0.5000,0.5000,0.5000,0.5000,0.4000
M02-D10-PIN03,Restart-Lander,current,1,500000,20,47,0.5500,0.5500,0.5500,0.5500,0.4000
M02-D10-PIN03,Restart-Lander,current,2,500000,20,45,0.5000,0.5000,0.5000,0.5000,0.3000
M03-D10-PIN01,Restart-Lander,current,1,500000,20,44,0.6000,0.6000,0.5500,0.5500,0.5500
M03-D10-PIN01,Restart-Lander,current,2,500000,20,46,0.6000,0.6000,0.6000,0.4500,0.4500
M03-D10-PIN02,Restart-Lander,current,1,500000,20,52,0.5500,0.5500,0.5500,0.4500,0.3500
M03-D10-PIN02,Restart-Lander,current,2,500000,20,53,0.4000,0.4000,0.4000,0.3500,0.3500
M03-D10-PIN03,Restart-Lander,current,1,500000,20,49,0.6000,0.6000,0.6000,0.6000,0.5500
M03-D10-PIN03,Restart-Lander,current,2,500000,20,47,0.6500,0.6500,0.6500,0.6500,0.6000
M05-D10-PIN01,Restart-Lander,current,1,500000,20,100,0.6500,0.6500,0.6500,0.6500,0.6500
M05-D10-PIN01,Restart-Lander,current,2,500000,20,100,0.7000,0.7000,0.7000,0.7000,0.7000
M05-D10-PIN02,Restart-Lander,current,1,500000,20,100,0.7000,0.7000,0.7000,0.7000,0.7000
M05-D10-PIN02,Restart-Lander,current,2,500000,20,100,0.7000,0.7000,0.7000,0.7000,0.7000
M05-D10-PIN03,Restart-Lander,current,1,500000,20,100,0.7000,0.7000,0.7000,0.7000,0.7000
M05-D10-PIN03,Restart-Lander,current,2,500000,20,100,0.6500,0.6500,0.6500,0.6500,0.6500
