pid,instance,seed,K,n_reported,mpr,mean_f1,score
M01,PIN01,0,20,16,0.7200,0.8000,0.7600
M01,PIN01,100,20,14,0.6300,0.7412,0.6856
M01,PIN01,200,20,13,0.6000,0.7273,0.6636
M01,PIN02,0,20,11,0.5300,0.6839,0.6069
M01,PIN02,100,20,12,0.5600,0.7000,0.6300
M01,PIN02,200,20,11,0.5100,0.6581,0.5840
M01,PIN03,0,20,12,0.5700,0.7125,0.6412
M01,PIN03,100,20,12,0.5400,0.6750,0.6075
M01,PIN03,200,20,11,0.5100,0.6581,0.5840
M02,PIN01,0,20,11,0.5300,0.6839,0.6069
M02,PIN01,100,20,13,0.6200,0.7515,0.6858
M02,PIN01,200,20,9,0.4500,0.6207,0.5353
M02,PIN02,0,20,13,0.6300,0.7636,0.6968
M02,PIN02,100,20,9,0.4400,0.6069,0.5234
M02,PIN02,200,20,10,0.4800,0.6400,0.5600
M02,PIN03,0,20,11,0.5100,0.6581,0.5840
M02,PIN03,100,20,11,0.5200,0.6710,0.5955
M02,PIN03,200,20,10,0.4600,0.6133,0.5367
M03,PIN01,0,20,10,0.4900,0.6533,0.5717
M03,PIN01,100,20,12,0.5700,0.7125,0.6412
M03,PIN01,200,20,12,0.5400,0.6750,0.6075
M03,PIN02,0,20,11,0.5100,0.6581,0.5840
M03,PIN02,100,20,11,0.4900,0.6323,0.5611
M03,PIN02,200,20,8,0.3800,0.5429,0.4614
M03,PIN03,0,20,12,0.6000,0.7500,0.6750
M03,PIN03,100,20,12,0.5900,0.7375,0.6637
M03,PIN03,200,20,13,0.6400,0.7758,0.7079
M05,PIN01,0,20,13,0.6500,0.7879,0.7189
M05,PIN01,100,20,14,0.7000,0.8235,0.7618
M05,PIN01,200,20,14,0.7000,0.8235,0.7618
M05,PIN02,0,20,12,0.6000,0.7500,0.6750
M05,PIN02,100,20,15,0.7500,0.8571,0.8036
M05,PIN02,200,20,14,0.7000,0.8235,0.7618
M05,PIN03,0,20,15,0.7500,0.8571,0.8036
M05,PIN03,100,20,14,0.7000,0.8235,0.7618
M05,PIN03,200,20,13,0.6500,0.7879,0.7189
M15,PIN01,0,10,4,0.3200,0.4571,0.3886
M15,PIN01,100,10,4,0.3400,0.4857,0.4129
M15,PIN02,0,10,5,0.5000,0.6667,0.5833
M15,PIN03,0,10,8,0.6600,0.7333,0.6967
M16,PIN01,0,10,7,0.7000,0.8235,0.7618
M16,PIN01,100,10,4,0.4000,0.5714,0.4857
M16,PIN02,0,10,5,0.5000,0.6667,0.5833
M16,PIN03,0,10,5,0.5000,0.6667,0.5833
