problem,arm,K,mpr,f1,score,n_reported,n_descents
M01-D10-PIN01,null,20,0.720000,0.800000,0.760000,16,76
M01-D10-PIN01,reseed,20,0.630000,0.763636,0.696818,13,80
M01-D10-PIN01,bhop,20,0.150000,0.260870,0.205435,3,65
M02-D10-PIN01,null,20,0.530000,0.683871,0.606935,11,53
M02-D10-PIN01,reseed,20,0.350000,0.518519,0.434259,7,46
M02-D10-PIN01,bhop,20,0.100000,0.181818,0.140909,2,110
M03-D10-PIN01,null,20,0.490000,0.653333,0.571667,10,45
M03-D10-PIN01,reseed,20,0.560000,0.700000,0.630000,12,45
M03-D10-PIN01,bhop,20,0.150000,0.260870,0.205435,3,42
M04-D10-PIN01,null,20,0.650000,0.787879,0.718939,13,114
M04-D10-PIN01,reseed,20,0.600000,0.750000,0.675000,12,106
M04-D10-PIN01,bhop,20,0.050000,0.095238,0.072619,1,184
M05-D10-PIN01,null,20,0.650000,0.787879,0.718939,13,118
M05-D10-PIN01,reseed,20,0.550000,0.709677,0.629839,11,125
M05-D10-PIN01,bhop,20,0.100000,0.181818,0.140909,2,105
M06-D10-PIN01,null,20,0.400000,0.571429,0.485714,8,156
M06-D10-PIN01,reseed,20,0.550000,0.709677,0.629839,11,160
M06-D10-PIN01,bhop,20,0.050000,0.095238,0.072619,1,158
M07-D10-PIN01,null,20,0.440000,0.606897,0.523448,9,113
M07-D10-PIN01,reseed,20,0.450000,0.620690,0.535345,9,115
M07-D10-PIN01,bhop,20,0.100000,0.181818,0.140909,2,118
M08-D10-PIN01,null,20,0.650000,0.787879,0.718939,13,123
M08-D10-PIN01,reseed,20,0.550000,0.709677,0.629839,11,124
M08-D10-PIN01,bhop,20,0.100000,0.181818,0.140909,2,132
M09-D10-PIN01,null,10,0.500000,0.625000,0.562500,6,57
M09-D10-PIN01,reseed,10,0.400000,0.533333,0.466667,5,62
M09-D10-PIN01,bhop,10,0.100000,0.181818,0.140909,1,118
M10-D10-PIN01,null,10,0.600000,0.705882,0.652941,7,42
M10-D10-PIN01,reseed,10,0.520000,0.650000,0.585000,6,43
M10-D10-PIN01,bhop,10,0.180000,0.300000,0.240000,2,40
M11-D10-PIN01,null,10,0.460000,0.575000,0.517500,6,46
M11-D10-PIN01,reseed,10,0.440000,0.586667,0.513333,5,50
M11-D10-PIN01,bhop,10,0.200000,0.333333,0.266667,2,47
M12-D10-PIN01,null,10,0.820000,0.863158,0.841579,9,106
M12-D10-PIN01,reseed,10,0.800000,0.842105,0.821053,9,114
M12-D10-PIN01,bhop,10,0.200000,0.333333,0.266667,2,184
M13-D10-PIN01,null,10,0.800000,0.888889,0.844444,8,113
M13-D10-PIN01,reseed,10,0.700000,0.823529,0.761765,7,109
M13-D10-PIN01,bhop,10,0.200000,0.333333,0.266667,2,137
M14-D10-PIN01,null,10,0.300000,0.461538,0.380769,3,130
M14-D10-PIN01,reseed,10,0.400000,0.571429,0.485714,4,142
M14-D10-PIN01,bhop,10,0.100000,0.181818,0.140909,1,194
M15-D10-PIN01,null,10,0.320000,0.457143,0.388571,4,119
M15-D10-PIN01,reseed,10,0.400000,0.571429,0.485714,4,120
M15-D10-PIN01,bhop,10,0.100000,0.181818,0.140909,1,135
M16-D10-PIN01,null,10,0.700000,0.823529,0.761765,7,113
M16-D10-PIN01,reseed,10,0.500000,0.666667,0.583333,5,119
M16-D10-PIN01,bhop,10,0.200000,0.333333,0.266667,2,106
