problem,n_descents,n_distinct,rho_raw,rho_dedup,nn_optima_median,pct_exact_duplicate
M01-D10-PIN01,76,16,0.0000,7.0560,6.2397,69.7368
M02-D10-PIN01,53,11,0.0000,8.0183,5.6931,79.2453
M03-D10-PIN01,45,10,0.0000,7.9494,5.9239,60.0000
M04-D10-PIN01,114,13,0.0000,7.9039,6.0871,98.2456
M05-D10-PIN01,118,16,0.0000,6.4672,6.0691,86.4407
M06-D10-PIN01,156,124,0.6848,0.8372,6.7677,14.1026
M07-D10-PIN01,113,15,0.0000,4.5679,6.9530,61.9469
M08-D10-PIN01,123,42,0.0000,1.4694,6.4897,76.4228
M09-D10-PIN01,57,16,0.0000,5.6065,7.6720,54.3860
M10-D10-PIN01,42,7,0.0000,8.2749,8.3473,14.2857
M11-D10-PIN01,46,11,0.0000,6.7740,8.9846,54.3478
M12-D10-PIN01,106,9,0.0000,9.1187,9.0786,88.6792
M13-D10-PIN01,113,21,0.0000,0.9586,8.8420,78.7611
M14-D10-PIN01,130,95,0.9862,1.3122,8.7169,20.7692
M15-D10-PIN01,119,19,0.0000,6.2940,8.7411,77.3109
M16-D10-PIN01,113,44,0.0000,1.4804,9.0169,62.8319
