problem,K,method,arm,n_reported,mpr,mean_f1,score,source
M01-D10-PIN01,20,RR-CMA-ES,eps_loose+dedup,13,0.650000,0.787879,0.718939,e127 run
M01-D10-PIN01,20,Restart-Lander,eps_loose+dedup,16,0.720000,0.800000,0.760000,e127 run
M01-D10-PIN01,20,MC-ESO,eps_loose+dedup,13,0.210000,0.254500,0.232300,e116 record
M01-D10-PIN01,20,NMMSO,eps_loose+dedup,6,0.140000,0.215400,0.177700,e116 record
M02-D10-PIN01,20,RR-CMA-ES,eps_loose+dedup,6,0.300000,0.461538,0.380769,e127 run
M02-D10-PIN01,20,Restart-Lander,eps_loose+dedup,11,0.530000,0.683871,0.606935,e127 run
M02-D10-PIN01,20,MC-ESO,eps_loose+dedup,10,0.180000,0.240000,0.210000,e116 record
M02-D10-PIN01,20,NMMSO,eps_loose+dedup,14,0.290000,0.341200,0.315600,e116 record
M03-D10-PIN01,20,RR-CMA-ES,eps_loose+dedup,10,0.500000,0.666667,0.583333,e127 run
M03-D10-PIN01,20,Restart-Lander,eps_loose+dedup,10,0.490000,0.653333,0.571667,e127 run
M03-D10-PIN01,20,MC-ESO,eps_loose+dedup,1,0.050000,0.095200,0.072600,e116 record
M03-D10-PIN01,20,NMMSO,eps_loose+dedup,12,0.360000,0.450000,0.405000,e116 record
M04-D10-PIN01,20,RR-CMA-ES,eps_loose+dedup,8,0.400000,0.571429,0.485714,e127 run
M04-D10-PIN01,20,Restart-Lander,eps_loose+dedup,13,0.650000,0.787879,0.718939,e127 run
M04-D10-PIN01,20,MC-ESO,eps_loose+dedup,2,0.070000,0.127300,0.098600,e116 record
M04-D10-PIN01,20,NMMSO,eps_loose+dedup,7,0.200000,0.296300,0.248100,e116 record
M05-D10-PIN01,20,RR-CMA-ES,eps_loose+dedup,10,0.500000,0.666667,0.583333,e127 run
M05-D10-PIN01,20,Restart-Lander,eps_loose+dedup,13,0.650000,0.787879,0.718939,e127 run
M05-D10-PIN01,20,MC-ESO,eps_loose+dedup,1,0.050000,0.095200,0.072600,e116 record
M05-D10-PIN01,20,NMMSO,eps_loose+dedup,1,0.040000,0.076200,0.058100,e116 record
M06-D10-PIN01,20,RR-CMA-ES,eps_loose+dedup,9,0.450000,0.620690,0.535345,e127 run
M06-D10-PIN01,20,Restart-Lander,eps_loose+dedup,8,0.400000,0.571429,0.485714,e127 run
M06-D10-PIN01,20,MC-ESO,eps_loose+dedup,1,0.000000,0.000000,0.000000,e116 record
M06-D10-PIN01,20,NMMSO,eps_loose+dedup,2,0.060000,0.109100,0.084500,e116 record
M07-D10-PIN01,20,RR-CMA-ES,eps_loose+dedup,6,0.300000,0.461538,0.380769,e127 run
M07-D10-PIN01,20,Restart-Lander,eps_loose+dedup,9,0.440000,0.606897,0.523448,e127 run
M07-D10-PIN01,20,MC-ESO,eps_loose+dedup,1,0.030000,0.057100,0.043600,e116 record
M07-D10-PIN01,20,NMMSO,eps_loose+dedup,4,0.070000,0.116700,0.093300,e116 record
M08-D10-PIN01,20,RR-CMA-ES,eps_loose+dedup,13,0.650000,0.787879,0.718939,e127 run
M08-D10-PIN01,20,Restart-Lander,eps_loose+dedup,13,0.650000,0.787879,0.718939,e127 run
M08-D10-PIN01,20,MC-ESO,eps_loose+dedup,1,0.040000,0.076200,0.058100,e116 record
M08-D10-PIN01,20,NMMSO,eps_loose+dedup,1,0.000000,0.000000,0.000000,e116 record
M09-D10-PIN01,10,RR-CMA-ES,eps_loose+dedup,6,0.600000,0.750000,0.675000,e127 run
M09-D10-PIN01,10,Restart-Lander,eps_loose+dedup,6,0.500000,0.625000,0.562500,e127 run
M09-D10-PIN01,10,MC-ESO,eps_loose+dedup,6,0.240000,0.300000,0.270000,e116 record
M09-D10-PIN01,10,NMMSO,eps_loose+dedup,3,0.220000,0.338500,0.279200,e116 record
M10-D10-PIN01,10,RR-CMA-ES,eps_loose+dedup,4,0.400000,0.571429,0.485714,e127 run
M10-D10-PIN01,10,Restart-Lander,eps_loose+dedup,7,0.600000,0.705882,0.652941,e127 run
M10-D10-PIN01,10,MC-ESO,eps_loose+dedup,5,0.220000,0.293300,0.256700,e116 record
M10-D10-PIN01,10,NMMSO,eps_loose+dedup,9,0.420000,0.442100,0.431100,e116 record
M11-D10-PIN01,10,RR-CMA-ES,eps_loose+dedup,6,0.600000,0.750000,0.675000,e127 run
M11-D10-PIN01,10,Restart-Lander,eps_loose+dedup,6,0.460000,0.575000,0.517500,e127 run
M11-D10-PIN01,10,MC-ESO,eps_loose+dedup,2,0.120000,0.200000,0.160000,e116 record
M11-D10-PIN01,10,NMMSO,eps_loose+dedup,5,0.140000,0.186700,0.163300,e116 record
M12-D10-PIN01,10,RR-CMA-ES,eps_loose+dedup,4,0.400000,0.571429,0.485714,e127 run
M12-D10-PIN01,10,Restart-Lander,eps_loose+dedup,9,0.820000,0.863158,0.841579,e127 run
M12-D10-PIN01,10,MC-ESO,eps_loose+dedup,1,0.100000,0.181800,0.140900,e116 record
M12-D10-PIN01,10,NMMSO,eps_loose+dedup,2,0.060000,0.100000,0.080000,e116 record
M13-D10-PIN01,10,RR-CMA-ES,eps_loose+dedup,7,0.700000,0.823529,0.761765,e127 run
M13-D10-PIN01,10,Restart-Lander,eps_loose+dedup,8,0.800000,0.888889,0.844444,e127 run
M13-D10-PIN01,10,MC-ESO,eps_loose+dedup,1,0.100000,0.181800,0.140900,e116 record
M13-D10-PIN01,10,NMMSO,eps_loose+dedup,1,0.000000,0.000000,0.000000,e116 record
M14-D10-PIN01,10,RR-CMA-ES,eps_loose+dedup,3,0.300000,0.461538,0.380769,e127 run
M14-D10-PIN01,10,Restart-Lander,eps_loose+dedup,3,0.300000,0.461538,0.380769,e127 run
M14-D10-PIN01,10,MC-ESO,eps_loose+dedup,2,0.140000,0.233300,0.186700,e116 record
M14-D10-PIN01,10,NMMSO,eps_loose+dedup,1,0.100000,0.181800,0.140900,e116 record
M15-D10-PIN01,10,RR-CMA-ES,eps_loose+dedup,2,0.200000,0.333333,0.266667,e127 run
M15-D10-PIN01,10,Restart-Lander,eps_loose+dedup,4,0.320000,0.457143,0.388571,e127 run
M15-D10-PIN01,10,MC-ESO,eps_loose+dedup,2,0.120000,0.200000,0.160000,e116 record
M15-D10-PIN01,10,NMMSO,eps_loose+dedup,1,0.000000,0.000000,0.000000,e116 record
M16-D10-PIN01,10,RR-CMA-ES,eps_loose+dedup,4,0.400000,0.571429,0.485714,e127 run
M16-D10-PIN01,10,Restart-Lander,eps_loose+dedup,7,0.700000,0.823529,0.761765,e127 run
M16-D10-PIN01,10,MC-ESO,eps_loose+dedup,1,0.080000,0.145500,0.112700,e116 record
M16-D10-PIN01,10,NMMSO,eps_loose+dedup,1,0.000000,0.000000,0.000000,e116 record
