problem,function,method,rule,seed,evals,n_optima,n_reported,pr_1e-1,pr_1e-2,pr_1e-3,pr_1e-4,pr_1e-5
M01-D10-PIN01,M01-D10-PIN01,Restart-Lander,current,2,500000,20,67,0.6500,0.6500,0.6000,0.5500,0.5500
M02-D10-PIN01,M02-D10-PIN01,Restart-Lander,current,2,500000,20,53,0.4500,0.4500,0.4500,0.4500,0.4500
M03-D10-PIN01,M03-D10-PIN01,Restart-Lander,current,2,500000,20,46,0.6000,0.6000,0.6000,0.4500,0.4500
M04-D10-PIN01,M04-D10-PIN01,Restart-Lander,current,2,500000,20,100,0.6000,0.6000,0.6000,0.6000,0.6000
M05-D10-PIN01,M05-D10-PIN01,Restart-Lander,current,2,500000,20,100,0.7000,0.7000,0.7000,0.7000,0.7000
M06-D10-PIN01,M06-D10-PIN01,Restart-Lander,current,2,500000,20,100,0.4000,0.4000,0.4000,0.4000,0.4000
M07-D10-PIN01,M07-D10-PIN01,Restart-Lander,current,2,500000,20,100,0.5000,0.4500,0.4500,0.4500,0.4000
M08-D10-PIN01,M08-D10-PIN01,Restart-Lander,current,2,500000,20,100,0.7000,0.7000,0.7000,0.7000,0.7000
M09-D10-PIN01,M09-D10-PIN01,Restart-Lander,current,2,500000,10,63,0.6000,0.6000,0.5000,0.5000,0.4000
M10-D10-PIN01,M10-D10-PIN01,Restart-Lander,current,2,500000,10,44,0.8000,0.8000,0.8000,0.6000,0.3000
M12-D10-PIN01,M12-D10-PIN01,Restart-Lander,current,2,500000,10,100,0.6000,0.6000,0.6000,0.6000,0.6000
